<br><font color=yellow>*Lera(Bailey42) sat alone on a tree branch, samehada resting lazily across her legs. She had a good vantage point from up here, she could keep her eye on the skies and the ground; just in case something decided she looked a little tasty. Every now and then she'd glance down at Samehada fondly. Even though it was fully co-operative with her, she couldn't help but like it. It was surprisingly affectionate, at least as long as you continued to provide it with chakra anyway; which she did in bucket loads.

Ever so gently, she rubbed her hand down the blades edge; being careful not to catch her hands on the sharp scales. It still continued to suck away at her chakra, if it weren't for her exceptionally large pools; she would have run dry a long time ago. It was a wonder it was still going, it did stop every now and then; but surely there would come a point where it was well and truly full. Either way, until she truly mastered the weapon; using it in a real life and death battle would be risky.

With a sigh, she gripped Samehada's hilt and dropped from the tree; landing gracefully on the forest floor. The area was mostly clear, besides a few forest critters but they generally just left her alone. She wagered she'd traveled a good majority of the forest now, but had yet to come across a beast on the same level as the one Marissa had been fighting. She was starting to get the feeling that she'd gotten everything possible out of surviving here, it was more or less time to leave.

All she had to do was make her way to Fujitora's base and wait for him, though that was easier said than done. She reckoned she'd come pretty close to the base a number of times, but had always turned herself away so as to extend her stay for as long as possible. Despite that, things were starting to get very samey, she'd defeated most creatures with relative ease, a few had given her a little trouble; but she'd yet to sustain even a scratch. So with a yawn, she trailled off into the forest, towards Fujitora's base.
* - Sun Nov  1 14:47:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I don't u-use any elemental n-ninjutsu.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But I'm a good f-farmer.. - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its good to learn a few though, just to back yourself u- - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: A farmer? - Tue Nov  3 18:30:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm a fighter, I just don't use Ninjutsu. Elemental wise. - Tue Nov  3 18:31:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Tue Nov  3 18:31:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Nov  3 18:31:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Then why are you a shinobi if you'd rather be a farmer? - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..Uhm.. - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Because it's f-fun to farm..and uhm..I-I like being a shinobi.. - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Its not an easy life - Tue Nov  3 18:32:19 2015
<br><br><font color=teal>*Lera(Bailey42) says: People die before even reaching their twentieth birthday. - Tue Nov  3 18:33:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well....Either way, I can teach a few taijutsu to you both. - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Taijutsu? Good. - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right...then - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Attack me please. - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Taijutsu? - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes Taijutsu. - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm... - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I'll g-go first..! - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Momura, coordinate attacks! - Tue Nov  3 18:34:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well you can attack together if you want, but I just want to show you a few techniques. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright uhm... - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You go after me. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: One technique I don't need to teach I guess...She's quite a speedy one too. - Tue Nov  3 18:38:17 2015
<br><br><font color=yellow>*Lera(Bailey42) is not the daughter of Violet what.* - Tue Nov  3 18:39:08 2015
<br><br><font color=yellow>*Lera(Bailey42) took in a breath, she had no desire to take any damage and despite the giant sword on her back; lera was actually pretty bad at Taijutsu. To make up for this, she flowed chakra across her skin; hardening it to an impossible degree. With this, she could happily ignore kyubishu's punch; he would most likely hurt himself with that punch more than anything.

As for Momura's kick, she swept her hand to the side; intending to push her leg away and possibly even redirect the kick straight to Kyubishu. She wasn't actually after a spar, she just intended to teach the pair a few new taijutsu techniques.* - Tue Nov  3 18:41:42 2015
<br><br><font color=yellow>*Lera(Bailey42) raised an eyebrow at kyubishu's little performance, reaching up to grip the hilt of Samehada. Then with a great swing, she intended to slam the flat of the blade into his body as he fell towards her. She treated it sort've like a game of baseball, only with a giant sword and a spikey man.* - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: A battle maniac huh...well, I should probably tell you I'm actually an elementalist. Close combat is not my Forte....but...if you really want to play... - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll s-spar you...K-Kyubi. - Tue Nov  3 18:54:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Momura, attack her. Be aware of that sword! - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Attack.? - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Don't hold back..? - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Don't. Hold. Back. - Tue Nov  3 18:56:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Tue Nov  3 18:56:12 2015
<br><br><font color=yellow>*Lera(Bailey42) slowly slotted Samehada back into its place on her back and removed her Domu armour. She then formed a number of handseals and pointed a finger at Kyubishu. If all went well, she would give him a little wink and form a dome of earth around him; essentially trapping him in. She left a small area where the rock was thinner, so he could escape if he noticed. With that done, she faced Momura with a consprital smile, waiting for her to attack.* - Tue Nov  3 18:56:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lera let be handle it if me is close combat... - Tue Nov  3 18:59:37 2015
<br><br><font color=teal>*Lera(Bailey42) says: You can play with the other guy. - Tue Nov  3 19:00:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: C'mon, I need more. - Tue Nov  3 19:00:28 2015
<br><br><font color=yellow>*Lera(Bailey42) raised her eyebrow at the little girls odd technique, she wasn't expecting it and not being the fastest of people in the first place was actually struck by it. It stung a little bit, but no more than that.

"Come on, you can do a little better than that no?"

Clapping her hands together, she channeled chakra throughout her body and then brought a palm forward as if to strike the air. Bellowing from her palm, a gust of wind would come; aiming to unbalance Momura if anything. She had no intention of causing any real harm to the girl.* - Tue Nov  3 19:03:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Ow.. - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Youuu winnn... - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmm...You do need to get stronger. - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Quite a bit stronger. - Tue Nov  3 19:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Here....I'm going to give you some Taijutsu techniques to practice. - Tue Nov  3 19:06:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: Okay? - Tue Nov  3 19:06:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Okay.. - Tue Nov  3 19:08:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (I can make vines come out of the ground with watermelons - Tue Nov  3 19:17:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (and bind people's feet i I want - Tue Nov  3 19:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (thats pretty fun XD) - Tue Nov  3 19:17:32 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (I get why you said farmer now) - Tue Nov  3 19:17:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (I can get carrots to - Tue Nov  3 19:19:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (and pineapple - Tue Nov  3 19:19:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (and more - Tue Nov  3 19:19:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Oh? Tired already... - Tue Nov  3 19:28:38 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: You could say that. - Tue Nov  3 19:29:29 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Next time last alittle but longr for me~ - Tue Nov  3 19:29:29 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: I wonder what Lera is doing later~ - Tue Nov  3 19:30:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well... - Tue Nov  3 19:30:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Throws a bunch of scrolls at Kyubishu. You learn them as well. - Tue Nov  3 19:31:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Leraaaaaaa~ - Tue Nov  3 19:34:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hmm? - Tue Nov  3 19:36:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Nov  3 19:50:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Tue Nov  3 19:50:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: My my. - Tue Nov  3 19:50:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: You two continue learning. I'll take care of some....business. - Tue Nov  3 19:51:40 2015
<br><br><font color=yellow>*Lera(Bailey42) reached around and gripped Violet by the waste before taking off into the sky, flying towards their home.* - Tue Nov  3 19:51:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: It feels like its been a while... - Tue Nov  3 19:53:23 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Mmmmhmmm... yes it has... - Tue Nov  3 19:54:14 2015
<br><br><font color=yellow>*Lera(Bailey42) didn't waste any time putting her equipment to the side and tearing her own clothes off and pulling Violet closer.

"I missed you to...it was a long and lonely month in the forest..."* - Tue Nov  3 19:59:21 2015
<br><br><font color=yellow>*Lera(Bailey42) grinned and put her fingers together, creating eighteen clones...thats right, eighteen. Each and every one of those clones were ready to pleasure Violet in ways she'd never experienced before. They even spoke in unison.

"This much..."* - Tue Nov  3 20:17:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: thats not bad at all - Tue Nov  3 20:18:08 2015
<br><br><font color=yellow>*Lera(Bailey42) lay panting on the bed, barely able to move a finger. All eighteen clones going at it at once was quite the experience, but it was more exhausting then it needed to be.

"That...was...awesome."* - Tue Nov  3 20:30:04 2015
<br><br><font color=yellow>*Lera(Bailey42) curled herself around Violet, cuddling up to her while they rested.

"And I you..."* - Tue Nov  3 20:37:45 2015
<br><br><font color=teal>*Lera(Bailey42) says: s.... - Wed Nov  4 13:55:24 2015
<br><br><font color=yellow>*Lera(Bailey42) LE KNOCK.* - Wed Nov  4 15:18:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yan - Wed Nov  4 16:23:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh, hello Lera. - Wed Nov  4 16:23:02 2015
<br><br><font color=teal>*Lera(Bailey42) says: I need you to give a message to my father - Wed Nov  4 16:23:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: Since we never seem to be awake at the same time - Wed Nov  4 16:23:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sure, sure. - Wed Nov  4 16:23:53 2015
<br><br><font color=teal>*Lera(Bailey42) says: May we talk in privacy? - Wed Nov  4 16:23:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh,yeah. - Wed Nov  4 16:24:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anyways. - Wed Nov  4 16:25:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Kirigakure is done for - Wed Nov  4 16:25:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What do you mean? - Wed Nov  4 16:26:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: Be carefuly of Ortho, it seems he was responsible. - Wed Nov  4 16:26:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kirie is deady, almost all of the higher ranked shinobi are dead. - Wed Nov  4 16:26:27 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Violet is...dead... - Wed Nov  4 16:26:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Ortho was recently taking refuge here. - Wed Nov  4 16:26:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It seems some of his accomplices murdered Kilm. - Wed Nov  4 16:27:18 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....And he did the same in Kirigakure... - Wed Nov  4 16:27:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...I'm sorry to hear that. - Wed Nov  4 16:27:18 2015
<br><br><font color=teal>*Lera(Bailey42) says: Kilm too? - Wed Nov  4 16:27:18 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see... - Wed Nov  4 16:27:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm glad to see you made it out alive. - Wed Nov  4 16:27:18 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Wed Nov  4 16:27:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You should stay here and take refuge. - Wed Nov  4 16:27:18 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well...I came with a single request... - Wed Nov  4 16:27:18 2015
<br><br><font color=teal>*Lera(Bailey42) says: But, it looks like you have your own troubles too... - Wed Nov  4 16:28:09 2015
<br><br><font color=teal>*Lera(Bailey42) says: As much as I want to take refuge here. I can't leave the few remaining genin without assistance - Wed Nov  4 16:28:09 2015
<br><br><font color=teal>*Lera(Bailey42) says: Which is why - Wed Nov  4 16:28:09 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm requesting that they be allowed to take refuge here - Wed Nov  4 16:29:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm willing to pay for them. - Wed Nov  4 16:29:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Just give me a list of their names and specializations and send them this way. - Wed Nov  4 16:29:00 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well thats the issue. I spent quite some time away in the labyrinth...I've only recently returned to Kirigakure. - Wed Nov  4 16:29:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll have to get them to travel here some how... - Wed Nov  4 16:30:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I still don't know what this Labyrinth is yet I hear more and more about it. - Wed Nov  4 16:32:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well..... - Wed Nov  4 16:32:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: You'll have to ask Fujitora. - Wed Nov  4 16:32:25 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its not an easy place to survive though. - Wed Nov  4 16:33:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm not too interested in asking Fujitora anything. - Wed Nov  4 16:33:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anyways. - Wed Nov  4 16:33:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Send them this way. - Wed Nov  4 16:33:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes I will - Wed Nov  4 16:33:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you need us to meet you half way, send messenger bird. - Wed Nov  4 16:33:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I need to get Hassan's permission before I permit anyone to leave the village on a misison to help you. - Wed Nov  4 16:33:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'll have them travel here. - Wed Nov  4 16:33:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: I know. I'll get the details of however much I need to pay from my father. - Wed Nov  4 16:34:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Good. - Wed Nov  4 16:34:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anything else? - Wed Nov  4 16:34:59 2015
<br><br><font color=teal>*Lera(Bailey42) says: No. I'll see if my father is awake - Wed Nov  4 16:38:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Maybe he'll show himself soon enough. - Wed Nov  4 16:39:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Is he always with Nina? - Wed Nov  4 16:40:06 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: No, he follows her friend. - Wed Nov  4 16:40:06 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Or brother... I can't remember!  - Wed Nov  4 16:40:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I need answers Chiky not faded memories. - Wed Nov  4 16:40:57 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Mr. Racoon wo - Wed Nov  4 16:40:57 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Mr. Raccoon would probably tell you something like, memories lead to the real answers of life.... or something! - Wed Nov  4 16:41:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Mr. Raccoon sounds like he is really smart.  *laughs* - Wed Nov  4 16:42:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hes very wise. - Wed Nov  4 16:42:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: The more we talk about him, the more I want to ca- I mean meet him. . . .  - Wed Nov  4 16:43:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Shit. - Wed Nov  4 16:43:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He told me I be a good student for him, if I cared to summon raccoons. But, I'm not good at things that he teaches. - Wed Nov  4 16:43:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What does he teach? - Wed Nov  4 16:43:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, well, well... - Wed Nov  4 16:43:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Yup act like nothing happened Hiro. . .  - Wed Nov  4 16:43:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Shin. - Wed Nov  4 16:43:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He told me the unlimited power and lessons of nature. - Wed Nov  4 16:43:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Any news? - Wed Nov  4 16:44:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is the nlimited power? - Wed Nov  4 16:44:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: A simple yes or no will do. - Wed Nov  4 16:44:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Okay. - Wed Nov  4 16:44:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Thanks, man. - Wed Nov  4 16:44:22 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ha ha, dummy. I just said it... nature. - Wed Nov  4 16:44:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Haaaa you did. - Wed Nov  4 16:44:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sorry dumb moment. *laughs* - Wed Nov  4 16:45:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: How are ya, Chikyu? - Wed Nov  4 16:47:47 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Good, exhausted from kicking all over the training grounds. - Wed Nov  4 16:48:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see..I have a few new techniques I am training myself. - Wed Nov  4 16:50:20 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: My dad has some techini - Wed Nov  4 16:54:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: My dad has some techiniques for me to learn, but I have to master all my basics. And, I was handed so many scrolls from someone else. That, I didn't feel right till I master them all. - Wed Nov  4 16:54:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see...I tell all of my students that they will master what I teach them before I allow them to learn something else. - Wed Nov  4 16:56:19 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well, thats why I'm doing it. - Wed Nov  4 16:58:52 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: ... - Wed Nov  4 17:03:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hm? - Wed Nov  4 17:05:42 2015
<br><br><font color=teal>*Shin(Yaori) says: It was pretty interesting - Wed Nov  4 17:06:33 2015
<br><br><font color=teal>*Shin(Yaori) says: I was impressed, I didn't expect anyone to be that physically capable - Wed Nov  4 17:06:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I guess.. - Wed Nov  4 17:06:33 2015
<br><br><font color=teal>*Shin(Yaori) says: He was a big guy and yet you managed to crush him no problem with your strength alone - Wed Nov  4 17:06:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If anyone wnats to train. - Wed Nov  4 17:06:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be around that way. - Wed Nov  4 17:07:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I should reovate something - Wed Nov  4 17:07:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Pretty boring today. - Wed Nov  4 17:57:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Whatcha' mean? - Wed Nov  4 17:58:36 2015
<br><br><font color=teal>*Shin(Yaori) says: haos isn't reeally a bright spot - Wed Nov  4 17:58:36 2015
<br><br><font color=teal>*Shin(Yaori) says: In someone's day - Wed Nov  4 17:59:28 2015
<br><br><font color=teal>*Shin(Yaori) says: That's pointless - Wed Nov  4 18:00:19 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: ... - Wed Nov  4 18:01:10 2015
<br><br><font color=teal>*Shin(Yaori) says: I feel today may be rather uneventful - Wed Nov  4 18:02:01 2015
<br><br><font color=teal>*Shin(Yaori) says: I am unsure - Wed Nov  4 18:02:52 2015
<br><br><font color=teal>*Shin(Yaori) says: Just a feeling - Wed Nov  4 18:02:52 2015
<br><br><font color=teal>*Shin(Yaori) says: Which is a bad sign - Wed Nov  4 18:02:52 2015
<br><br><font color=teal>*Shin(Yaori) says: Because Im usually wrong about those things - Wed Nov  4 18:02:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't. When you find out, let me nkow. - Wed Nov  4 18:11:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I heard he attacked Kirigakure.. - Wed Nov  4 18:13:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That's the last I heard about him. - Wed Nov  4 18:13:07 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Anyone want to go to my house and smoke a blunt? - Wed Nov  4 18:16:32 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't smoke, sorry - Wed Nov  4 18:16:32 2015
<br><br><font color=teal>*Shin(Yaori) thinks: following Hideki? - Wed Nov  4 18:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm waiting on Hassan's word but if he plans on continuing causing trouble in the ninja world. - Wed Nov  4 18:17:23 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then I will do my best to make sure he can't. - Wed Nov  4 18:17:23 2015
<br><br><font color=teal>*Shin(Yaori) says: I need to continue my training - Wed Nov  4 18:18:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I see.. - Wed Nov  4 19:10:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Did you find anything out? - Wed Nov  4 19:15:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yan. Were you able to talk to my father? - Wed Nov  4 19:16:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No I wasn't, not yet. - Wed Nov  4 19:16:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. - Wed Nov  4 19:16:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We've been having trouble. - Wed Nov  4 19:16:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: I...heard, a little too late it seems. - Wed Nov  4 19:16:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Have you seen anyone suspicious moving around the village? IT seemed there was some bombs placed - Wed Nov  4 19:16:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Bombs... - Wed Nov  4 19:16:16 2015
<br><br><font color=teal>*Lera(Bailey42) says: Ortho? A similar thing happened in Kirigakure, thats how Kirie lost her life. - Wed Nov  4 19:17:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It's not Ortho. - Wed Nov  4 19:17:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: How do you know? - Wed Nov  4 19:17:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Thhe culprit is someone from this village. - Wed Nov  4 19:17:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: I see. Well, I can only assume. - Wed Nov  4 19:17:07 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It's neither Katsune or Trilliam either. - Wed Nov  4 19:17:58 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro knows Ortho's chakra. - Wed Nov  4 19:17:58 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He'd be able to determine if the material was infused with Ortho's. - Wed Nov  4 19:17:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: Katsune? Why would Katsune do it? As a matter of fact, why would Trilliam do it. - Wed Nov  4 19:18:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Katsune killed Kilm. - Wed Nov  4 19:18:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And is now on the run. - Wed Nov  4 19:18:49 2015
<br><br><font color=teal>*Shin(Yaori) says: Perhaps it wasn't an inside job - Wed Nov  4 19:18:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: That was Katsune? I see... - Wed Nov  4 19:18:49 2015
<br><br><font color=teal>*Shin(Yaori) says: Perhaps it was someone who was originally from here - Wed Nov  4 19:18:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: There was an explosion, so the first suspects were those two. - Wed Nov  4 19:18:49 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro. - Wed Nov  4 19:18:49 2015
