<br><font color=teal>*Lera(Bailey42) says: I love you too...always. - Sat Oct  3 12:53:07 2015
<br><br><font color=yellow>*Lera(Bailey42) tossed the scroll over to him.* - Sun Oct  4 08:36:41 2015
<br><br><font color=teal>*Lera(Bailey42) says: He's just stressed out, got a lot on his plate. - Sun Oct  4 08:36:41 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . .Like what? He grew up with a silver spoon in his mouth. - Sun Oct  4 08:37:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Work mostly. - Sun Oct  4 08:38:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That ain't no excuse to treat other people like dirt. - Sun Oct  4 08:38:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: *shrug* - Sun Oct  4 08:39:15 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well...anyway, i'm gonna head back. - Sun Oct  4 08:40:57 2015
<br><br><font color=teal>*Lera(Bailey42) says: Cya later Sanoke - Sun Oct  4 08:40:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Roger. - Sun Oct  4 08:40:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We oughta spar later too. - Sun Oct  4 08:41:48 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uh, sure. - Sun Oct  4 08:41:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lera? - Sun Oct  4 08:45:13 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Why are you here? - Sun Oct  4 08:45:13 2015
<br><br><font color=teal>*Lera(Bailey42) says: Vi? - Sun Oct  4 08:47:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: I came here with Seisuke. - Sun Oct  4 08:47:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: chasing this guy - Sun Oct  4 08:48:38 2015
<br><br><font color=yellow>*Lera(Bailey42) pointed at the dozing old man.* - Sun Oct  4 08:48:38 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Oh Lord  Hassan - Sun Oct  4 08:50:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Uh huh. My old man. - Sun Oct  4 08:53:45 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Lord....thats still funny. - Sun Oct  4 08:53:45 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well do you have tie to teach me that lighining move? - Sun Oct  4 08:54:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: ty - Sun Oct  4 08:55:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: -brak- - Sun Oct  4 08:55:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sure - Sun Oct  4 08:57:10 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mmk.. - Sun Oct  4 08:59:44 2015
<br><br><font color=yellow>*Lera(Bailey42) clapped her hands together and gathered chakra to her palms. Ever so slowly, she pulled them apart; sparks flying between her skin and forming a ball. She held the ball for a few moments before throwing it forward, to hit the ground and spread lightning around it.

"Its quite simple really, more so if you have those swords of yours. Just gather the chakra and form it into a ball like I just did."* - Sun Oct  4 09:00:35 2015
<br><br><font color=teal>*Lera(Bailey42) says: Not bad~ - Sun Oct  4 09:21:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I  try not to let you down~ - Sun Oct  4 09:21:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hehe. - Sun Oct  4 09:24:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Morning. - Sun Oct  4 09:37:16 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Morning - Sun Oct  4 09:38:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, oh sure. - Sun Oct  4 09:39:50 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hey. - Sun Oct  4 09:50:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Both of you, battle me. - Sun Oct  4 09:50:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I want to see if you all still stink at fighting. - Sun Oct  4 09:50:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Are you refering to me? - Sun Oct  4 09:51:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And Lera, yes. - Sun Oct  4 09:52:38 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I dot know if she is up, but I can take you on... - Sun Oct  4 09:53:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That works. - Sun Oct  4 09:53:29 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Dont expect a challange... Im still not as skilled as a normal genin and you are a chunin - Sun Oct  4 09:54:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm not even a shinobi. - Sun Oct  4 09:54:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Your still stronger than me... - Sun Oct  4 09:55:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Who knows. I might not be. - Sun Oct  4 09:55:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Where ever is fine unless you want to use that arena full of sand south of here... that is if you want your techniques and strategies exposed - Sun Oct  4 09:57:45 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: we can more alittle farther out - Sun Oct  4 09:58:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Doesn't matter. - Sun Oct  4 11:54:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Hey Beautiful. - Sun Oct  4 12:09:10 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Hey~ - Sun Oct  4 12:10:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: How're you? - Sun Oct  4 12:10:01 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I - Sun Oct  4 12:10:01 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I'm pretty good~ - Sun Oct  4 12:10:01 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: What about you? - Sun Oct  4 12:10:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Now that I'm with you? I feel like I'm in heaven. - Sun Oct  4 12:11:44 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Hehehe, You flatter me~ - Sun Oct  4 12:11:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I was thinking, What would you like to do ttosay? - Sun Oct  4 12:13:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Today* - Sun Oct  4 12:13:26 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Hmmmm - Sun Oct  4 12:27:56 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: We haven't played any games for a while - Sun Oct  4 12:27:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Ever played Showdown?) - Sun Oct  4 12:27:56 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (never heard of it) - Sun Oct  4 12:27:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Pokemon Showdown) - Sun Oct  4 12:27:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Online Pokemon battle sim) - Sun Oct  4 12:28:48 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (oh, no. I don't play pokemon) - Sun Oct  4 12:28:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Same bet as always~ - Sun Oct  4 12:28:48 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (okay) - Sun Oct  4 12:28:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: And same game? - Sun Oct  4 12:29:39 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Sure~ - Sun Oct  4 12:30:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: http://s2.boardgame-online.com/g/game.php?g=jO7i&k=mnC) - Sun Oct  4 12:32:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Morning. - Sun Oct  4 12:50:59 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Mhm. - Sun Oct  4 12:50:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Sun Oct  4 12:54:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: ....You win~ - Sun Oct  4 12:58:40 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Can't believe I won that... - Sun Oct  4 12:58:40 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: (NOW i'll brb XD) - Sun Oct  4 12:58:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Kilm. - Sun Oct  4 12:59:31 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Seisuke? - Sun Oct  4 12:59:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Think you could do me a favor? - Sun Oct  4 12:59:31 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm? - Sun Oct  4 12:59:31 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm collecting scrolls for a friend, Jutsu scrolls of all trades. - Sun Oct  4 13:00:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Could you donate? - Sun Oct  4 13:00:22 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And who's your friend? - Sun Oct  4 13:00:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Not that important. - Sun Oct  4 13:00:22 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . I'm willing to donate one. - Sun Oct  4 13:00:22 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I was hoping for an exceedingly generous donation, since I helped you out last time. - Sun Oct  4 13:01:13 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . - Sun Oct  4 13:01:13 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Three then. - Sun Oct  4 13:01:13 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 13:02:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Unique Techniques would be appreciated, I already have most common techniques. - Sun Oct  4 13:02:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: After this Three., - Sun Oct  4 13:04:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll pay everyone here. - Sun Oct  4 13:04:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Two Hundred Thousand. - Sun Oct  4 13:04:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: For each technique I don't have. - Sun Oct  4 13:04:38 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Sun Oct  4 13:04:38 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mhm. - Sun Oct  4 13:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Surprisingly. - Sun Oct  4 13:05:29 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have Two of them already. - Sun Oct  4 13:06:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You have all of these? - Sun Oct  4 13:06:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Ah I see. - Sun Oct  4 13:06:20 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) whispers: Do you have Chakra Flow? - Sun Oct  4 13:06:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I do. - Sun Oct  4 13:06:20 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Heh. - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . Something else then? - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) whispers: Hm, Fire Dragon Bullet? - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm actually looking for Fire, Wind, Lightning, Or none-elemental techniques. - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have the least amount with those. - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I don't have that one. - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) whispers: How about Goukakyuu and Fire Run? - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) whispers: Those are the three techniques I know. - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Exploding Flame shot? - Sun Oct  4 13:07:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I don't have flame Bullet. - Sun Oct  4 13:08:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I do have Flame shot. - Sun Oct  4 13:08:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Dragon Bullet* - Sun Oct  4 13:08:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Genjutsu is also appreciated. - Sun Oct  4 13:08:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Kilm Any Genjutsu? Or Elemental techniques? - Sun Oct  4 13:10:36 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: I already gave you a genjutsu . . . As for elemental techniques . . .Hm. - Sun Oct  4 13:10:36 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Do you have Gantai no jutsu? - Sun Oct  4 13:12:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Never heard of it so nope. - Sun Oct  4 13:12:19 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: It's a technique that makes bandages out of materials in the ground. - Sun Oct  4 13:12:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: I'll take it. - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Any other Techniques? - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) whispers: So do you know Fire Syle: Fire Run and Fire Style: Fireball? - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How about this. - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: One Hundred Thousand for a D rank. - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Two Hundred for C rank. - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Three Hundred for B. - Sun Oct  4 13:13:10 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Gantai was D rank. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Five Hundred for A. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That was of the three you're donating. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Was it not? - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm . . . - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright then. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) whispers: Hm, now that I think about it. My Chakra Flow is made for katon. I could write a scroll for you about that. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have that one already. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Earthern Corridor? - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Subterranean Voyage? - Sun Oct  4 13:14:01 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm... - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Lightning Ball? - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Earth Flash? - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Raiton Flash? - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I have one I could maybe donate. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: But. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep----Nope. - Sun Oct  4 13:14:52 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Raiton Flash is D rank. - Sun Oct  4 13:15:44 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Alright. - Sun Oct  4 13:15:44 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Instead of money, I'd like a chance to learn from the scrolls you're getting from everyone. - Sun Oct  4 13:15:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Sun Oct  4 13:15:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Definately possible. - Sun Oct  4 13:15:44 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Interrogation? - Sun Oct  4 13:16:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Depends on the value of what you offer? - Sun Oct  4 13:16:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nope. - Sun Oct  4 13:16:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Interesting. - Sun Oct  4 13:16:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Reminds me of a Technique I discovered in Konohagakure. - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll take it. - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: So I assume we have a deal? - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Shunshin? - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have that one. - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And. - Sun Oct  4 13:17:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You can get what you put in, Sound fair? - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Get? - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you supply me with a flow of techniques. - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll supply you with the same. - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sound fair? - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Same letter ranks? - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) whispers: Hm, which katon techniques do you know? - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Not exactly when you have most by this point, haha. - Sun Oct  4 13:18:17 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Syrup Trap? - Sun Oct  4 13:19:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll let you take a few to learn. - Sun Oct  4 13:19:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But. - Sun Oct  4 13:19:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Just remember me when you learn something big, Alright? - Sun Oct  4 13:19:08 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: That's fine. - Sun Oct  4 13:19:08 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: That applies to three of us? - Sun Oct  4 13:19:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Dragon Bullet, Misty Flames, Pheonix, Fire Run, Chakra Flow, and Fire Ball. - Sun Oct  4 13:20:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Sun Oct  4 13:20:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Invest something big and it'll be a possibility. - Sun Oct  4 13:20:00 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Anyway . . . Syrup trap? - Sun Oct  4 13:20:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:20:00 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Water gun? - Sun Oct  4 13:20:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: mhm. - Sun Oct  4 13:20:51 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Headhunter? - Sun Oct  4 13:20:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:20:51 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Raging waves? - Sun Oct  4 13:20:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:20:51 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Mud silhouette? - Sun Oct  4 13:21:42 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: . . . Might need some time to master that one first though . . . - Sun Oct  4 13:21:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yep. - Sun Oct  4 13:22:33 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: I've asked about most I think . . . I've got nothing anymore. - Sun Oct  4 13:22:33 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Earth Flash? - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have. - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Hm. - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Earthern Corridor. - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have. - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Hiding like a mole. - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Do you have Genjutsu Kai? - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Yeah. - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll take. - Sun Oct  4 13:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm acting on. - Sun Oct  4 13:25:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A Referral bonus. - Sun Oct  4 13:25:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Referr someone to me, and the next scroll you give me I'll pay 50% more. - Sun Oct  4 13:25:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But they have to donate something themselves. - Sun Oct  4 13:25:58 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: . . . Welp . . . Basically gave away so much jutsu . . . Ain't ever giving him storm jutsu if I make some . . . They're going to be for Storm users and storm users alone. - Sun Oct  4 13:26:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Oh, Lera. - Sun Oct  4 13:26:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Muhhamed-san, stated he'd start up my training again. - Sun Oct  4 13:26:49 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anywho, Seisuke. - Sun Oct  4 13:27:40 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: If I give you this jutsu, which ones are you going to let me borrow? - Sun Oct  4 13:27:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Any of the same rank. - Sun Oct  4 13:27:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But it is as you said. - Sun Oct  4 13:27:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Borrowing. - Sun Oct  4 13:27:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You are to return it once you learn it, That's fine right? - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And I assume if I only turn in one, I can only borrow one? - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm going to act on an honor system more or less. - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll let you borrow one. - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And you have to return it when you're done. - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If it is returned by the deadline. - Sun Oct  4 13:28:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll let you borrow two. - Sun Oct  4 13:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Next time. - Sun Oct  4 13:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Fair enough? - Sun Oct  4 13:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Once a Month, I'll ask for a New Scroll from you as well. - Sun Oct  4 13:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Any extra is appreciated but not required. - Sun Oct  4 13:29:23 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Hm. - Sun Oct  4 13:30:14 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: So if I were to turn in this C ranked one. - Sun Oct  4 13:31:05 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'd have accesss to C ranked jutsu for a month? - Sun Oct  4 13:31:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: If you return them at the correct times. - Sun Oct  4 13:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yes. - Sun Oct  4 13:31:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Sun Oct  4 13:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Alternatively you can only receive Three Jutsu a Month. - Sun Oct  4 13:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: As a limitation. - Sun Oct  4 13:31:56 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Sun Oct  4 13:33:39 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Give me a bit of time to think about it? - Sun Oct  4 13:33:39 2015
