<br><font color=teal>*Byakuren(Guujin) thinks: Probably. . . - Fri Dec  4 05:46:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 08:13:13 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) whispers: Kumo.. we are heading there now. - Tue Dec  8 08:13:13 2015
<br><br><font color=teal>*Rias(LionHunter) whispers: Im coming... - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Hah! The orders argument always works. - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Orders.... - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are we to abandon our posts? - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lady Hokage.. - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: If you were ordered to slay your family. - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Would you? - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We are not participating in this war, correct? - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My family? - Tue Dec  8 08:14:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm.. - Tue Dec  8 08:14:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It's an order..right? - Tue Dec  8 08:14:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I took the necessary precautions for that not to be a situation. - Tue Dec  8 08:14:56 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Correct. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sanoke sent us a letter ordering us to mobilize. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So everyone here, would you fit the mold...and kill because it was an order, no matter who it was?  - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Izanami. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I am the wrong person to ask that. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I realize that now. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: 'Cus I kinda /want/ to do this. - Tue Dec  8 08:15:47 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: This is different. This an alliance.. Kumo has opted out sadly we can't afford that.  - Tue Dec  8 08:16:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They simply want their freedom. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Too bad. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They have served Sunagakure long enough.. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sanoke says they can't have it. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So they can't. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Unless they can fight for it.. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Unless they can struggle hard enough to earn it through sweat and blood.. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: He's always crying... - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Freedom will elude them. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And even if they do..? - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Freedom is just an illussion. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*ANBU Agent(Akainu_Hellhound) says: If my word means anything if this was diplomatically done Sanoke would have no problem. - Tue Dec  8 08:17:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Also true. Diplomacy was the plan until they started rioting violently in the streets.. Ah, well. - Tue Dec  8 08:18:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hokage. - Tue Dec  8 08:18:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: We meetin you at the gate to head out? - Tue Dec  8 08:18:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Got a time frame? - Tue Dec  8 08:18:20 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Kumo isnt far... just get ready and get there - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hokage. - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: We should all move at once. - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: If we jsut trickle in? - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: We'll be cut down one by one. - Tue Dec  8 08:20:03 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: No we will all leave Konoha at one - Tue Dec  8 08:20:54 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Atta Girl. - Tue Dec  8 08:20:54 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: I do intend on helping. I owe a great deal to your village.. - Tue Dec  8 08:20:54 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I see. It'll be a pleasure and an honor working with you, the. - Tue Dec  8 08:20:54 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) //Armored Individual reached out for the child in his own arms, he wasn't with the idea of random people taking care of the child, even if it may have been brief or not. On recieving the child he'd face Rias, his stare intensified through his helmet he wore, "Why are you going to kumo? I-Its not safe." his voice was distorted, but there was fear? Hinted in his voice.* - Tue Dec  8 08:20:54 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: ...... - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Nothing good will come of this...nothing... - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Osuda, I know we have differing opinions but I need you to protect village with your life  - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lady Hokage.. - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: ..... - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: There is no will left in this room.. - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes? - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: We must talk.. - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Later ok? - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Iza... - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This war is foolish.. - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Im not going to war... I telling you now... - Tue Dec  8 08:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You told me that you wouldn't eat from the hand that raised you. - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Please dont look at me like that. - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Did.. She really leave me with the kid?.. Now she's going off to war? Ughhh... - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You clearly are.. - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If anything..you'll just serve as a distraction for Sunagakure. - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Ma'am.. May I have a word with you before you go? Privately? - Tue Dec  8 08:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Welp..time to find some good seats. This war shall be something else.. - Tue Dec  8 08:25:10 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: ...Ah.. - Tue Dec  8 08:26:01 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: So... there will be a war, then... how sad. - Tue Dec  8 08:26:01 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Hmm? - Tue Dec  8 08:26:52 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Is this really a good thing, Rias? - Tue Dec  8 08:27:44 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I heard every word of this. - Tue Dec  8 08:27:44 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Look I will be fine - Tue Dec  8 08:27:44 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I'm with Izanami on this. - Tue Dec  8 08:27:44 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Im just going to see what is it im needed for...  - Tue Dec  8 08:28:35 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: This will only lead to more issues. Do you want our child to grow up in a world like this? - Tue Dec  8 08:28:35 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Without peace? - Tue Dec  8 08:28:35 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Im not going t- - Tue Dec  8 08:28:35 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I-I actually care ya'know.. Even if I may not show it. - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Of course not. But Im not going to start a war... - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hmm... - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Peace is a dream - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I've seen it all, Rias. - Tue Dec  8 08:29:26 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Life, and Death as well. - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I ally with the strong and I play their rules until I can make my own - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: If you keep o-..*sigh* - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I will not die, I will come back.. promise... - Tue Dec  8 08:30:17 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I really don't want to lose you. - Tue Dec  8 08:30:17 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) since they were in secret, he'd take better care of his son. Bounching him a little while he held the baby securely, a hand placed on its back, supporting the child.* - Tue Dec  8 08:31:08 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Stay here protect him... I will defuse this situation - Tue Dec  8 08:32:00 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: ..... - Tue Dec  8 08:32:00 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Really? - Tue Dec  8 08:32:00 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Ok? Let me do thid... - Tue Dec  8 08:32:00 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: this* - Tue Dec  8 08:32:00 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Do you think... Kumo will go peacefully? - Tue Dec  8 08:32:51 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I hope so... - Tue Dec  8 08:32:51 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I have to go... - Tue Dec  8 08:32:51 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) ignored the child's hand for now, he'd release a sigh while looking downward at the child while it played with his helmet. At certain points, the child's chubby hand moved over the eye hole of the helmet.* - Tue Dec  8 08:34:33 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Be safe.. - Tue Dec  8 08:34:33 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I will - Tue Dec  8 08:34:33 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: wit0 - Tue Dec  8 08:34:33 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Shukaku: - Tue Dec  8 08:34:33 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) stared at the child from behind of his helmet, staring the kid down while sighing a little. With the release of the sigh, he'd head back into the main office of Rias's quarters.* - Tue Dec  8 08:37:07 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: ....a baby. - Tue Dec  8 08:38:49 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: ..Ah, miss, are you okay? - Tue Dec  8 08:38:49 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mn? - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ugh.. - Tue Dec  8 08:40:32 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) //Armored individual sat back in the chair, he held the baby against his chest, well mainly his armor while cradling the poor child, since his mother decided she'd go off into war... Mothers.* - Tue Dec  8 08:41:23 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Weird... Wonder who she might be. - Tue Dec  8 08:42:14 2015
<br><br><font color=teal>*Termine, Grover(Bosshoggoutlaw) says: Aww look at my little nephew. - Tue Dec  8 08:42:14 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: SUPER WEIRD!! OH WELL... - Tue Dec  8 08:44:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Osuda-kun, will you be joining in the war?~ - Tue Dec  8 08:44:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 08:44:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No. - Tue Dec  8 08:44:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I will remain here.. - Tue Dec  8 08:44:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why are you so interested...? - Tue Dec  8 08:45:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you planning something? - Tue Dec  8 08:45:39 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *Yawn* War, War, War. Why is it all about fighting? Why can't we be friends, and have fun?! HUH?! - Tue Dec  8 08:46:30 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah... I agree! - Tue Dec  8 08:46:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Who knows.. - Tue Dec  8 08:46:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You are always so curious, Osuda-kun.~ - Tue Dec  8 08:49:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Are we going to play our game again so you can have your answers?~ - Tue Dec  8 08:49:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ...More like you're the curious one. - Tue Dec  8 08:49:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Game? Lucky you... - Tue Dec  8 08:49:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I DID tell you the meaning of my name.~ - Tue Dec  8 08:49:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Due to the situation, I can't play at the moment. - Tue Dec  8 08:49:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Lucky? - Tue Dec  8 08:49:55 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: *nod* - Tue Dec  8 08:49:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't misunderstand..the game was clean. - Tue Dec  8 08:49:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: So sad... Hmph, I just might cry, Osuda-kun.~ - Tue Dec  8 08:49:55 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Oh? What kind of game did you think I mean? *voice sounded honest and pure* - Tue Dec  8 08:50:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I doubt you would cry even if you wanted to. - Tue Dec  8 08:50:46 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oh?~ Why is that? - Tue Dec  8 08:50:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It is a game based around questions. - Tue Dec  8 08:51:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe you'll find out if we ever continue the game. - Tue Dec  8 08:51:37 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I only meant.. You're lucky that you're able to have... fun... Even if its just questions, its fun at the end of the day~ - Tue Dec  8 08:51:37 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Right? - Tue Dec  8 08:51:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose, you can take my spot if you'd like. - Tue Dec  8 08:52:28 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Nahhh... I'm busy with this little guy. - Tue Dec  8 08:52:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm sure she wouldn't mind. - Tue Dec  8 08:52:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: No no.~ - Tue Dec  8 08:52:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Would you? - Tue Dec  8 08:52:28 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah... - Tue Dec  8 08:52:28 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Mister Anbu. - Tue Dec  8 08:52:28 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: T-Trust me.. people aren't.. as open to people walking around with armor.. Ahaha. See. - Tue Dec  8 08:53:20 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: This is Osuda's game.~ - Tue Dec  8 08:53:20 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: You have the Hokage's baby to take care of. - Tue Dec  8 08:53:20 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: . . . . . - Tue Dec  8 08:53:20 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Take care of that, instead of playing games. I can help keep you and the kid amused, maybe? - Tue Dec  8 08:53:20 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah..  - Tue Dec  8 08:53:20 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I'll drop it!!! I SWEAR I'LL DROP IT!!! - Tue Dec  8 08:53:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 08:53:20 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Actually... Nahhhhh~ - Tue Dec  8 08:54:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: There's something off about this one.. - Tue Dec  8 08:54:11 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hahaha. - Tue Dec  8 08:54:11 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Oh... laughed out loud. - Tue Dec  8 08:54:11 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hmm... - Tue Dec  8 08:54:11 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: OKAY! LET'S PLAY A GAME!!! - Tue Dec  8 08:55:02 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Umm.... - Tue Dec  8 08:55:02 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Four Squa-Actually... - Tue Dec  8 08:55:02 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Umm... Hummmm...Ermmmmm - Tue Dec  8 08:55:02 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Out of ideas... - Tue Dec  8 08:55:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Tue Dec  8 08:55:53 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: She's giving you the eye!!! WILL YOU DO IT MISTER OS-...What was his name again?.. - Tue Dec  8 08:56:44 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Oh well.. Doesn't matter.. - Tue Dec  8 08:56:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Ooooooh but Osuda-kun.~ I could join you?~ - Tue Dec  8 08:57:36 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Sure... Patrolling. - Tue Dec  8 08:57:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Tue Dec  8 08:57:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's no need. - Tue Dec  8 08:57:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I could---but you don't -want- me to come?~ - Tue Dec  8 08:57:36 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) checked on the baby for a second once looking away from the two."She's a bit weird.. even for my standards.." he'd thought while remaining quiet.* - Tue Dec  8 08:58:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 08:59:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: This one is definitely off.. - Tue Dec  8 09:01:00 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: That was... Odd. - Tue Dec  8 09:01:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 09:04:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Tue Dec  8 09:05:16 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) released a sigh of relief once Hayate was sound asleep, standing up he'd wobble a bit from the weight of the armor. "I hate this thing at times." he'd mumble while wondering off into the back, where there were a number a shinobi, and a guarded room with care takers for the child. On top of that, the man was outside of the baby's room, on the floor seemingly meditating, one might've assumed he may have been asleep?* - Tue Dec  8 09:06:08 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: I'll catch you all later. - Tue Dec  8 09:06:08 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) vanished in smoke and what not, hiding his escape to the room.* - Tue Dec  8 09:06:59 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) opened his eyes, he'd raise his hands above his head while stretching a bit. So far, there weren't any threats entering or exiting his son's room.. So far he did a great job, though he wondered how the war went, were their any casualities? He was unsure, though he wanted answers. He'd look down at the child as he slept, then at the door."Should I take him for freash air?.."

Within his mind a voice boomed, making his presence known."You've become soft as a parent it seems, ahaha!" The armored guy released a sigh, he'd lowly say, "Shut Up. I have to speak with you later anyway, for now.. I'll see until then." after this, he'd focus on his son. With his hands extended outward, he'd wrap the baby within a sheet, after this was finished he'd form a secure hold around Hayate, holing his son tight against his chest or armor.

With this done, he'd leave the room. Which meant, he'd have to play a total idiot once again.* - Wed Dec  9 01:59:02 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Hmm.. She's asleep at the desk. - Wed Dec  9 02:00:44 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: And they call me lazy, ha. - Wed Dec  9 02:01:36 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: Guess we'll go outside... How dangerous can it be?..Right? - Wed Dec  9 02:01:36 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) whispers: [Get amplifier] - Wed Dec  9 02:21:13 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) whispers: (T3 chakra and T3 CC) - Wed Dec  9 02:22:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: (I already have T3 Chakra. - Wed Dec  9 02:22:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: (Had that shit for ages) - Wed Dec  9 02:22:04 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) whispers: (Get Amplifer then.) - Wed Dec  9 02:22:04 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) whispers: (That shit will boost your damage) - Wed Dec  9 02:22:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: (Foreal?) - Wed Dec  9 02:22:04 2015
<br><br><font color=teal>*Jiki, Hayate(Assassin241) whispers: Amplifier: This character has the power to amplify the power of their techniques, forcefully expanding it and creating something greater out of it by inputting much more energy for a stronger output. Note: Requires Chakra T3 and Chakra Control T3. T4   ) - Wed Dec  9 02:22:04 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) whispers: (Hmm... Well I'll try that.) - Wed Dec  9 02:22:56 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) entered the area, from a distance he watched as the child practiced alone. From behind of his helmet, he'd smile slightly. It was good to see that some people still had the determination to do things, to better themselves.. Maybe this'd inspire himself a little, but for now he had to stay from the shadows and watch everything unfold..

"WOAHHHH!!!!! YOU'RE STRONG AREN'T CHA?!" the armored guy called out at the training youth, his tone seemed over joyous, he seemed to be a little too happy.* - Wed Dec  9 02:29:45 2015
<br><br><font color=teal>*Byakuren(Hanging Shadow) says: Ahhh. .  - Wed Dec  9 02:40:00 2015
<br><br><font color=teal>*Byakuren(Hanging Shadow) says: It seems we've crossed paths yet again/ - Wed Dec  9 02:40:00 2015
<br><br><font color=teal>*Kai(Ultimate_Odyssey) says: Mm... - Wed Dec  9 02:40:00 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) //Armored individual blinked twice behind of his helmet, he'd take a step forward his child within his grasp while wrapped a little in his blanket for warmth.."Why Uhh.. Are you afraid of me?! I'M NOT SCARY! AM I SCARY? A-" he'd looked down at his startled son's face, "Uhh...." 

he'd bounce his son up and down, playing with the child a bit. From behind he'd hear another voice, his body tensed a little while turning slightly to the side, mainly so he could keep his sights on Kai, Byakuren, and the new face that appeared at his side. "Am I being attacked?" he'd ask in a frightened tone.* - Wed Dec  9 02:50:14 2015
<br><br><font color=yellow>*ANBU Agent(Bloodline Killer X) held a firmer grip of the child with his left hand, his right motioned up behind of his head, scraching behind of his helmet. He'd blink behind of his helmet for a couple of seconds, trying to see if he remembered Byakuren or not...Time passed... More time passed... More time passed... "OH! I remember you, AHAHA! How are you?" in honesty, he hadn't remembered the man, but chose to play the part, it wasn't something that was new to him...

"Hmm?.." he'd shift his gaze to the red head, examining her features as she approached. "Oh.. yeah.. Its nice to meet you as well." He'd slightly turn away from her, though still keeping a mental note of her presence, especially in thought.* - Wed Dec  9 03:07:18 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) thinks: I'd give you a baby, heh. - Wed Dec  9 03:07:18 2015
<br><br><font color=teal>*ANBU Agent(Bloodline Killer X) says: Hmm? Yes. Its her child. I'M ON AN IMPORTANT MISSION! I'm baby sitting her kid.. - Wed Dec  9 03:09:00 2015
