<br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 07:40:22 2015
<br><br><font color=teal>*Twelve(Parris111) says: Listening, and consulting you before I do anything - Which, I assume only covers... Certain things. - Fri Dec  4 04:16:51 2015
<br><br><font color=teal>*Twelve(Parris111) says: But other than that. - Fri Dec  4 04:17:42 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...not really.. I didn't say that I just said you had to be a -good boy-. - Fri Dec  4 04:17:42 2015
<br><br><font color=teal>*Twelve(Parris111) says: I have no desire to fester with the lot of you. But I will work with you, as I am a man of my word. - Fri Dec  4 04:17:42 2015
<br><br><font color=teal>*Twelve(Parris111) says: Well, I am being good. - Fri Dec  4 04:17:42 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Heyyyyyyyyyyyyy. - Fri Dec  4 04:21:58 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I just gave you -life-. - Fri Dec  4 04:21:58 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: And you can't even sit with me? - Fri Dec  4 04:21:58 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You are as ungreatful as Thirteen.~ - Fri Dec  4 04:21:58 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) frowned soon after she said that and looked away. "I mean..."* - Fri Dec  4 04:21:58 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Erg. - Fri Dec  4 04:22:49 2015
<br><br><font color=teal>*Thirteen(Jjking217) says: Hello, Yurik.. - Fri Dec  4 23:17:45 2015
<br><br><font color=teal>*Thirteen(Jjking217) says: Yuriko* - Fri Dec  4 23:17:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hai. - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Hey. - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I want to do something fun, Thirteen. - Fri Dec  4 23:28:00 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...okay then. - Fri Dec  4 23:30:33 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yori. - Fri Dec  4 23:30:33 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Hm? - Fri Dec  4 23:30:33 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Let's do something fun. - Fri Dec  4 23:30:33 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Alrighty. - Fri Dec  4 23:30:33 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Do you like chaos? - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Yes. - Fri Dec  4 23:31:24 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) smiled a cheshire grin while looking up to him. "Okay.~ You want to go on a trip?~"* - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Sure, let's go. Will Thirteen be acompanying us? - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Maybe he will catch up if he wakes up. - Fri Dec  4 23:31:24 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Alright. - Fri Dec  4 23:32:16 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) shrugged and began to strut out to the main checkpoint.* - Fri Dec  4 23:32:16 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) was le leaving with Yori.* - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Thirteen are you coming? - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Thirteen, fuck you nigga. - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Yori(Sisbro55) says: You gay lookin ass - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Yori(Sisbro55) says: With your, blonde hair - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Yori(Sisbro55) says: lookin ass - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Thirteen(Jjking217) says: Yeah. - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Yori(Sisbro55) says: nigga. - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Yori(Sisbro55) says: omit - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Yori(Sisbro55) says: -- - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Thirteen(Jjking217) says: I'm comming. - Fri Dec  4 23:36:32 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Well come ooooooooon, silly butt. - Fri Dec  4 23:37:23 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Twelve! - Fri Dec  4 23:44:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Do you want to go on a trip? - Fri Dec  4 23:44:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You get to cause chaos.~ - Fri Dec  4 23:45:04 2015
<br><br><font color=teal>*Twelve(Parris111) says: *Nods* - Fri Dec  4 23:45:04 2015
<br><br><font color=teal>*Twelve(Parris111) says: I'm game. - Fri Dec  4 23:45:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Soooo. - Fri Dec  4 23:47:37 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: This place is a stupid rock where people eat up your dreams. - Fri Dec  4 23:47:37 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: What should we do? - Fri Dec  4 23:48:28 2015
<br><br><font color=teal>*Thirteen(Jjking217) says: Hm... - Fri Dec  4 23:48:28 2015
<br><br><font color=teal>*Thirteen(Jjking217) says: Introduce ourselves of course. - Fri Dec  4 23:48:28 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Yes, they are terrible people and they steal each other's dreams and GOBBLE THEM UP! - Fri Dec  4 23:51:02 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) huffed out with distress, clearly why she wanted to be here was vindictive in some way, but granted she was insane... perhaps she read something in a book and it upset her about Kirigakure. She reached out and touched Yori and then Twelves shoulder, a small surge of chakra occured but it was entirely untraceable and what had happened would seem like she was giving some sort of odd comfort rather than anything jutsu based.

She turned and walked forward as she swayed her hips and approached the four guards. "Hello there,~" her hands behind her back as she approached and was swaying in such a way that it made her appear to be just a lovely noble rather than the handseals she was folding behind her back. Soon enough a jutsu was formed and she then used the water nearby from the ocean and had caused a giant wave that washed out the main gate area. The four guards were slammed against the concrete walls and wooden gates. Their bodies mangled in a matter of seconds as they lay dead on the ground. 

"Ahhhhhh, this is going to be a lovely visit.~" 

(have enough stats to one hit kill them)* - Fri Dec  4 23:55:18 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) smiled a maniacal grin and ran her fingers over her lips as she looked at the broken bodies. "Oooooh, I want a snack but I should wait for someone more tasty... I don't like my food soaked, I like it marinated.~" She clicked her heels against the cobble stone path and waved a hand above her head for them to follow as she entered through the gates and stepped over one of the broken bodied corpses. "What shall we do first?~ Ideas anyone?~"* - Sat Dec  5 00:03:50 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) headed through the main street, due to the area and it being so close to the gate there was hardly anyone on the way but the occasional C or D rank shinobi. She ignored them and allowed the others to do as they please. (Make sure to use specific numbers on how many killed so i can keep count) She approached the market place and hummed lightly as her hand ran over the face of the village map. "Eenie, meanie, minie, mooooooo.~" her finger poked all over the map as she sang the song and finally landed her finger on the market place on the map. 

"Oh that was easy," peering up at the market she saw before her back down to the map and then back up to the market. "Okay then,~ Start the chaos~" For now she hung back, wanting to see what the others would do when given freedom.* - Sat Dec  5 00:10:40 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Poison.. - Sat Dec  5 00:14:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Need to be careful with him. - Sat Dec  5 00:14:56 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) slowly turned to look at the two approaching as if too smoothly on cue, her doll like features were freakishly perfect and her heterochromic gaze and hair mismatching on each side as she looked Geo and Anguo up and down. "Ooooooh, you two look a little more interesting.~ Hello little children," She reached a hand up and ran it over her lips and down her chin and then neck. The 'doll's' crazed eyes bore into their souls and gave off an aura of utter insanity.

"Have you come to play with us?~"* - Sat Dec  5 00:38:49 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) hummed some and ran her hand down her cleavage and then dropped it to her side. "We are here to play of course, silly willy.~ Everything needs to stay lively, after all it IS this village's moto to spawn chaos is it not? Peace is not permitted for Kirigakure! Your past actions have shown that clearly!" Yuriko kept her focus trained and split between the two so that it wasn't at it's highest level of concentration but able to balance between the two boys. She shifted in her standing of such a delicate doll and into a position that looked to be aggressive in nature. All sanity was forgotten --then again, she didn't have any~--- and she looked to be relying on what she could see and feel around her to react.

The most alarming thing being that he was holding a handseal. With a quick drop of her body she crouched, and likely ended up flashing those in front of her with her pink panties --but who is thinking about that right?--- Her palm touched the ground and with that a sudden burst of chakra flowed out of her body and through the ground as four giant spikes formed around the two boy's, mainly in front of them, to try and block them off from advancing further. She expected the others in her group to act.* - Sat Dec  5 00:59:18 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Oh yeah suuuuuuuuuuuuuuuure, just stand there and look cute Yori-kun! - Sat Dec  5 01:16:22 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: I just came here to have a good time. - Sat Dec  5 01:18:04 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: And honestly. - Sat Dec  5 01:18:04 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: I feel so attacked right now. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: These people didn't even say hi. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: Demanding pricks. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Thirteen(Jjking217) thinks: Roses are Red. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Thirteen(Jjking217) thinks: Violets are Blue. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Thirteen(Jjking217) thinks: I wonder what these people will look like when dead. - Sat Dec  5 01:18:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: We've gotta do something. - Sat Dec  5 01:24:03 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) sighed out as she saw the mist coming over the area and she darted back as it was spreading out. Course she was a bit slower than the jutsu but given how far away she was, her darting back gave her some time to get out of it's range effectively. She wasn't sure what it was but she knew it couldn't be good if it was accompanied with a handseal, plus she swore she had seen something similar to the semi transparent mist before in her time. Her eyes immediately darted up to the person on the building as if she was all to aware of his presence. Three was enough to handle but she was concerned how long it was taking to kill them since apparently her team decided just to STAND THERE rather than do anything like they did with the others (NPC's), excluding Twelve. Her gaze flicked about the area and seeing how close Yori was she stood on standby watching to see if she needed to activate something in his aid.

Just to be safe she sank down through the ground as it turned into a liquid form before solidifying again as she was hidden away beneath the earth entirely as she monitored the fight. She was tired of these teammates of her not making decisions on their own, just because she acted like she was the boss doesn't mean they can just stand by and look pretty! She waited and lurked while moving back forward beneath the ground.* - Sat Dec  5 01:41:58 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: so iwatobi's attack and anguo - Sat Dec  5 02:18:40 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) was monitoring from below the ground. When she was 'informed' of the attack on the two she was trying to protect she immediately liquified the ground above her head just enough so that she had the ability to control techniques above the ground. Her head was still under ground but she was looking up 'through' the liquid even if she couldn't actually -see- with her eyes she was somehow able to keep tabs on what was going around upside. 

While the incoming attacks of fireball, shuriken, and the bite from the alligator beast were coming in she had activated a sudden burst of growth off of Twelve and Yori's bodies. This would not cause any visible chakra for some reason, so sensors were blind to it's activation, but as the growth replicated and surrounded their bodies it was obvious that it was some sort of white foam type of blob clone with a head of a blank female head next to their own. 

When the fire ball came towards Twelve it would have licked and burned some of the white mass but it instantly regenerated again, Twelve was only in jeopardy of being burned on his head, hands, and lower legs. As for Yori, when Iwatobi tried to bite down into him he would get a mushy bite of the mass but it would simply squish in his mouth and be unable to reach down to Yori's body. Then again... some of the shuriken PROBABLY hit the boy before the spores could properly protect him.

As the army of five hundred arrived, it was easily noticed by Yuriko due to her ability to speak and communicate with nature. This entire time and even now the plants in the area were conversing and whispering to her through telepathy. She had been using the information they provided to be aware of locations and otherwise plan her attacks the best she could. 

------
Strategist turn (This is round three of attacks)
------

She shifted under the ground and gripped onto Yori's ankle before ripping him underground with her and beginning to swim through the ground as the surface rehardened and she was trying to leave the area as quickly as she could under the cover of the army now trying to surround the people in the area. (Swim speed under ground is 9)* - Sat Dec  5 02:38:17 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: eh like probably 10 tiles would be enogh to claim you were like out of our range of knowing you were here - Sat Dec  5 02:45:58 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Fuck that nigga Rich, you see that Dragon fam? - Sat Dec  5 03:03:02 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) liquified the ground above her head and Yori's in the midst of the army being blocked off by Rashomon. Once Yori was tossed up into the fray of his army (Which followed his and Sixty-Nine's orders of course), she closed the earth again and swam under the ground towards Twelves position. Swimming right under the Rashomon gate, once she had reached twelve she opened the liquid ground under his body and he dropped down into her hands to be safe underground---hopefully.* - Sat Dec  5 03:12:25 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) says: no\ - Sat Dec  5 03:23:31 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) swam under the ground towards the troops once more to joint them. Instead of coming above ground though she stayed swimming below them to leave the area. She knew Thirteen was dead but honestly? She was going to kill him anyway, so it hadn't bothered her much, the only thing that bothered her is that she wasn't going to get to eat his body. 

As she swam from the area she had managed to put more room between her and the army as she left but keep close to them a few yards ahead. She wanted to be further out of combat with the injured Twelve but still close enough to aid if she was needed. 

(Second use of strategist, so double tile movement)* - Sat Dec  5 04:01:55 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) gathered the troops and all of the people who lived in the base to the cafeteria, thousands of people were present as Yuriko made an effort to tear off part of her body and then placed it ove the third degree burns on Twelve. Within a matter of minutes his wounds were -entirely- healed and he was perfectly find once again, it was a flippin' miracle.

She stepped up onto the little stage and spoke into the microphone. "I know some of you were loyal to Thirteen when he took control over me. Know this now, this has been my base since Yosuke passed it down to me... never again will someone own me as he did. If they try? They will die just as he did. It is the dawn of a new era, an era of the monsters... not the monsters who use and abuse those around them but the monsters who are -unique- to this world. The monsters who are special and stand out and make this world something special to live in. We aren't like Thirteen, he was a flaw... a number that needed erased. If any of you dare to try my patience with his regulations or his desires... if you try to overthrow me because he was the leader and I let him die, then I will devour you." Her menacing aura filled the room as she looked over the thousands before her and knew good and well she could kill all of them with ease... it would just take time. 

The spores that were protecting Yori and Twelve had returned to a single cell by now, completely untraceable or noticable by them or anyone else.* - Sat Dec  5 04:09:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: ...He wants to be experimented on? - Sat Dec  5 04:14:43 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) glanced down before her speech as he questioned her about treatment but she said nothing on it for the moment and then finished her speech. She dismissed the general populace and then had people bring food to the troops who had gone out, of all kinds and flavors. She herself sat there without anything in front of her and stared across the room at the many faces she now controlled the lives of once again. "You are welcome, I couldn't let you die... you came back to the base after being gone for so long...and you are my friend, monster or not." She thought again about what he said, "why is it you want to be experimented on?"* - Sat Dec  5 04:16:25 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) looked the boy up and down as he spoke those words and thought on it. When he mentioned Hokori she closed her eyes and sighed out with a bit of pain and turned her head way from Yori's position. "You couldn't have done anything, that was my fault... I should have had safety percautions in measure before then... I shouldn't have hesitated later when he ... did things to me... and then broke my mind because I hesitated." She paused for a long moment and then began to smiel brightly and looked over towards Yori. It seemed everything she was just talking about was forgotten or ignored. "He was a disease."* - Sat Dec  5 04:24:57 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) 's smile faded some, "not like mine...but we can look into it.~"* - Sat Dec  5 04:27:31 2015
<br><br><font color=teal>*Yori(Sisbro55) says: I see. . .Alri- - Sat Dec  5 04:28:22 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Oh. - Sat Dec  5 04:28:22 2015
<br><br><font color=teal>*Yori(Sisbro55) says: What was that uh, white foam? - Sat Dec  5 04:28:22 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mn... part of me. - Sat Dec  5 04:28:22 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) gave him a devilishly lustful look.* - Sat Dec  5 04:28:22 2015
<br><br><font color=teal>*Yori(Sisbro55) says: --- - Sat Dec  5 04:29:13 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: Do I want to know? - Sat Dec  5 04:29:13 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: DO I REALLY. - Sat Dec  5 04:29:13 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: WANT TO KNOW. - Sat Dec  5 04:29:13 2015
<br><br><font color=teal>*Yori(Sisbro55) says: A, part of you? - Sat Dec  5 04:29:13 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm.~ - Sat Dec  5 04:30:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: To protect you. - Sat Dec  5 04:30:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Or to punish you. - Sat Dec  5 04:30:56 2015
<br><br><font color=teal>*Yori(Sisbro55) says: -- - Sat Dec  5 04:30:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: So be a good boy.~ - Sat Dec  5 04:30:56 2015
<br><br><font color=teal>*Yori(Sisbro55) thinks: Punish? - Sat Dec  5 04:30:56 2015
<br><br><font color=teal>*Yori(Sisbro55) says: I see. - Sat Dec  5 04:31:47 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) nodded, "Are you sure you aren't hungry? You look very tired."* - Sat Dec  5 04:31:47 2015
<br><br><font color=teal>*Yori(Sisbro55) says: I'm sure, thank you though. - Sat Dec  5 04:32:38 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mkays.~ - Sat Dec  5 04:32:38 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Are you upset Thirteen is gone? - Sat Dec  5 04:32:38 2015
<br><br><font color=teal>*Yori(Sisbro55) says: Kind of, I don't know. He was still a team mate, ya know? - Sat Dec  5 04:33:29 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: .... I guess. - Sat Dec  5 04:34:20 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) shuddered.* - Sat Dec  5 04:34:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Dec  5 07:07:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sat Dec  5 07:08:48 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) stepped just inside the ramen shop, entirely silent.* - Sat Dec  5 07:08:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If you're so depressed, you should smile. - Sat Dec  5 07:08:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should really try eating some ramen. - Sat Dec  5 07:09:39 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sat Dec  5 07:10:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It is pretty great.~ - Sat Dec  5 07:10:30 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: Please don't bother me. - Sat Dec  5 07:10:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: How boring. - Sat Dec  5 07:11:21 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) walked acros the room with her heels clicking and sat down at the very end on a stool in her pretty fancy dress with her perfect doll like self. If she was examined closely it was noticed she was perfect in every way, except she only had hair on her head, none on her arms or even peach hair on her face. She ordered a sake and poured it slowly while waiting for the cup to cool. She didn't bother to look at the other two in the shop.* - Sat Dec  5 07:13:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sat Dec  5 07:13:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: What's special about this time? - Sat Dec  5 07:17:20 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) didn't catch the silent thank you and when she was spoken to her head turned and a bright smile warmed her visage even as the crazed look resided deep in her eyes. She didn't recognize Nigen at all, even if she had met him before in his other persona, even if she could make the connection she was entirely unaware of who he was from what has happened since the last time they met.

"What is wrong with drinking this time a day? Any time of day is perfect for tea time.~"

The comment sound rather 'mad hatter' type, but she simply brough the hot sake to her lips and drank it with a pinky out as if she was drinking tea.* - Sat Dec  5 07:19:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Dec  5 07:21:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You two are pretty quiet. - Sat Dec  5 07:21:36 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) (*Yuriko didn't catch the silent thank you and when she was spoken to her head turned and a bright smile warmed her visage even as the crazed look resided deep in her eyes. She didn't recognize Nigen at all, even if she had met him before in his other persona, even if she could make the connection she was entirely unaware of who he was from what has happened since the last time they met.

"What is wrong with drinking this time a day? Any time of day is perfect for tea time.~"

The comment sound rather 'mad hatter' type, but she simply brough the hot sake to her lips and drank it with a pinky out as if she was drinking tea.*)REPOST* - Sat Dec  5 07:21:36 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Oh, sake isn't tea. - Sat Dec  5 07:26:43 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: .....I got it. - Sat Dec  5 07:27:34 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: -Adult- tea time.~ - Sat Dec  5 07:27:34 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) smiled cheerfully and took another sip.* - Sat Dec  5 07:27:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Dec  5 07:29:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sat Dec  5 07:29:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't let me stop you two girls from talking. - Sat Dec  5 07:29:16 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sat Dec  5 07:29:16 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Hmph. . .I need to go find a home. . .and a -very- sturdy lock. .  - Sat Dec  5 07:30:08 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) leaned forward with perfect posture and stared over towards Saika with that stepford wives sort of smile.* - Sat Dec  5 07:30:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: I really do need to figure out how they made this broth... - Sat Dec  5 07:30:59 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) sat back up straight, "she doesn't look like a lady."* - Sat Dec  5 07:31:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .. - Sat Dec  5 07:34:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..you could try being nicer.~ - Sat Dec  5 07:35:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Try walking them home, or something. - Sat Dec  5 07:35:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Putting in effort is the best way to make a friend. - Sat Dec  5 07:35:15 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Oooooooh. - Sat Dec  5 07:36:06 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: If she comes near me. . . - Sat Dec  5 07:37:48 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: The last one to touch me kidnapped me. . . - Sat Dec  5 07:37:48 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) sat her sake down and then stood up and swayed her hips back and forth as she walked over with heels clicking and spun around in the stool between Nigen and Saika. She came to rest gracefully with her elbow on the counter and fingers propping her jaw up to stare deep into Saika's eyes if she dared to look to the side. If the girl continued to try and get up, a very soft hand was placed on her middle of back to force her back down onto the chair, but more so guiding not -forceful-. If Saika resisted then she would easily get up.

"Do you want to be my friend? I'm Yuriko-chan.~"* - Sat Dec  5 07:38:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: What's...with this broth?! - Sat Dec  5 07:40:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec  5 07:40:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can't understand how you've done this.. - Sat Dec  5 07:41:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Dec  5 07:46:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know.. - Sat Dec  5 07:47:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I think they used sea salt.. - Sat Dec  5 07:47:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I should really get this recipe. - Sat Dec  5 07:50:36 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) allowed the girl to stand and when she said that she didn't need friends, Yuriko's voice became a bit darker. 

"Even monsters need friends..." After Saika had walked away from the stool, Yuriko made her way back to her stool and picked up her sake to take another sip like it was tea.* - Sat Dec  5 07:50:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Ah, what a refreshing person. - Sat Dec  5 07:51:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: I don't know if I've met them. Must be my imagination.. - Sat Dec  5 07:52:19 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Who said anything about people, silly girl.~ - Sat Dec  5 07:54:01 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) smiled a wide cheshire grin at the girl's words and the thoughts she had soon after.* - Sat Dec  5 07:54:52 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: I bet she tastes... divine. - Sat Dec  5 07:59:08 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: I truely wish I didn't have to meet anyone. - Sat Dec  5 08:01:42 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Perhaps I could buy a few books and a house? - Sat Dec  5 08:01:42 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Sounds delightful. - Sat Dec  5 08:01:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Dec  5 08:04:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Pretty nice.~ - Sat Dec  5 08:04:16 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) simply continued drinking her sake, she had nothing to say to the girl who was so rude and ungreatful for company.* - Sat Dec  5 08:04:16 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) hummed an eerie tune with a cheerful expression.* - Sat Dec  5 08:06:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec  5 08:11:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you okay? - Sat Dec  5 08:11:05 2015
<br><br><font color=yellow>*Yuriko(TenaciousRiven) paused her humming and looked over to Nigen. 

"why wouldn't I be okay?"* - Sat Dec  5 08:11:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I mean.. - Sat Dec  5 08:12:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're pretty happy. - Sat Dec  5 08:12:48 2015
