<br><font color=yellow>*Momura(JustCallMeGnar) took a deep breathe...She'd take out a kunai and tossed it directly at mitsunara, a fake explosive tag on the end as it'd zoom past her..Wether she were distracted by it or not, momura kept up with her location. The girl suddenly zooming forward at full speed, a good 129mph in an instant. As she did this, the girl leapt into the air and aimed to nail her foot right into the female's face.

"D-Dynamic entry!"* - Mon Nov  9 21:38:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It's not that I have no money. I'm using the money I've gained from my travels and from when I lived in Kumogakure. - Tue Nov 10 04:13:26 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: A-Ah. - Tue Nov 10 04:13:26 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Yeah, it's not much, but it keeps me going from day to day. - Tue Nov 10 04:16:51 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I live a modest life. - Tue Nov 10 04:16:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Would you like to s-stay here instead of the inn?? - Tue Nov 10 04:19:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Mhmmm. - Tue Nov 10 04:21:07 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-It might be more comfortable for you. - Tue Nov 10 04:21:07 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) whispers: (is he gone?) - Tue Nov 10 04:26:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (he said he'splaying fallout new vegas - Tue Nov 10 04:27:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (so he's going to be on/off - Tue Nov 10 04:27:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Hm.. - Tue Nov 10 04:27:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Are you sure? - Tue Nov 10 04:27:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I don't want to impose myself on you two. - Tue Nov 10 04:28:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: N-No. - Tue Nov 10 04:30:30 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: You wouldn't be imposing on us. - Tue Nov 10 04:30:30 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-It'd be nice to have company. - Tue Nov 10 04:33:04 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Then I'll accept. - Tue Nov 10 04:33:55 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'd have to say thank you for allowing me to stay here. If there's anything that needs to be done, I'll help out. - Tue Nov 10 04:34:46 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmmmm... - Tue Nov 10 04:36:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Speaking of that.. - Tue Nov 10 04:36:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: C-Could you look over Momura whenever I'm out? - Tue Nov 10 04:37:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'm a bit scared for her safety. - Tue Nov 10 04:37:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I can see why. The shinobi of this village are rather aggressive. - Tue Nov 10 04:37:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'll try my best to ensure she's safe.  - Tue Nov 10 04:38:11 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: If there's anything else, I'd be happy to assist. - Tue Nov 10 04:39:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: T-Thank you. - Tue Nov 10 04:39:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'll handle the cooking and dishes. - Tue Nov 10 04:42:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: And the cleaning.... - Tue Nov 10 04:42:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Momura usually helps run my store while I'm out. - Tue Nov 10 04:42:27 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Oh that's right, you run the restaurant. - Tue Nov 10 04:45:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'll try to not be a burden on the two of you while I stay here. - Tue Nov 10 04:45:00 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmmm. - Tue Nov 10 04:50:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: You won't be. - Tue Nov 10 04:50:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I like your peaceful aura. - Tue Nov 10 04:50:08 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: That's good to know. I was just about to leave this village due to the difference of our beliefs. - Tue Nov 10 04:55:15 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Seems like there's hope in this village. - Tue Nov 10 04:55:15 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hello kazekage-San.. - Tue Nov 10 23:17:45 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: He's quite distant at the moment. - Tue Nov 10 23:18:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Tue Nov 10 23:18:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So uhm.. - Tue Nov 10 23:20:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I've never talked to y-you.. - Tue Nov 10 23:20:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-My name is...momura.. - Tue Nov 10 23:20:19 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...? - Tue Nov 10 23:21:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Ai.. - Tue Nov 10 23:21:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nice to meet you Ai.. - Tue Nov 10 23:22:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Mhm.. - Tue Nov 10 23:22:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-If you can uhm..T-Tell kazekage-san I-I need to speak with him.. - Tue Nov 10 23:22:01 2015
<br><br><font color=teal>*Jay(Serori2) says: I hail from Kumogakure, which in light of its recent destruction has left me as a refugee. I've come to Sunagakure seeking saftey and the potential to become a Shinobi. - Tue Nov 10 23:30:33 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Ah... - Tue Nov 10 23:30:33 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Talk with Hassan here.. - Tue Nov 10 23:31:24 2015
<br><br><font color=teal>*Jay(Serori2) says: Gee, thanks.. - Tue Nov 10 23:32:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ....? - Tue Nov 10 23:32:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: So a-ai.. - Tue Nov 10 23:39:05 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...? - Tue Nov 10 23:40:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-How're you? - Tue Nov 10 23:40:48 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Meh.. - Tue Nov 10 23:43:21 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Yourself..? - Tue Nov 10 23:43:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Decent.. - Tue Nov 10 23:44:12 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Uh huh.. - Tue Nov 10 23:45:55 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...? - Wed Nov 11 00:03:50 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um... Ai..? Could I stay at your place for awhile... ? - Wed Nov 11 00:11:31 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Mhm.. - Wed Nov 11 00:11:31 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Huh, really? - Wed Nov 11 00:12:22 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Yes.. - Wed Nov 11 00:12:22 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: 'Scuse me...Momura was it? - Wed Nov 11 00:12:22 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Care for a friendly test of might? - Wed Nov 11 00:13:13 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Thank you... I'll be off, then... - Wed Nov 11 00:13:13 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Mhm.. - Wed Nov 11 00:14:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I need like a mission or something.~ - Wed Nov 11 00:15:47 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: Or nah.. - Wed Nov 11 00:15:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Mmm... - Wed Nov 11 00:18:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi marrisa.. - Wed Nov 11 00:18:20 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Hello Mana. . Hello Momura. .  - Wed Nov 11 00:19:12 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Hello. - Wed Nov 11 00:20:03 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Momura. . Spar Mana for me hmmm? - Wed Nov 11 00:20:03 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: I wanna see you both in action. - Wed Nov 11 00:20:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Spar mana? - Wed Nov 11 00:20:03 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Who? - Wed Nov 11 00:20:03 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: M-me. - Wed Nov 11 00:20:54 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: The girl behind you - Wed Nov 11 00:22:36 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: She is one of my many students - Wed Nov 11 00:22:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh. - Wed Nov 11 00:27:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I see.. - Wed Nov 11 00:27:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Wed Nov 11 00:27:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So uhm.. - Wed Nov 11 00:32:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Are you strong? - Wed Nov 11 00:32:51 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Not really. - Wed Nov 11 00:33:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh uhm..a-alright.. - Wed Nov 11 00:33:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Shall I b-being? - Wed Nov 11 00:34:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: *cough* - Wed Nov 11 00:45:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (Dat free rpp 2op - Wed Nov 11 00:46:30 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Looks like i'll start things off. - Wed Nov 11 00:49:04 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Ivel! - Wed Nov 11 00:51:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi hanai. - Wed Nov 11 02:48:32 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-Hey, Momura-chan. - Wed Nov 11 02:51:05 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Been well? - Wed Nov 11 02:51:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Wed Nov 11 02:51:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You? - Wed Nov 11 02:52:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'm well. - Wed Nov 11 02:54:30 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: L-Let's go hang out. - Wed Nov 11 02:55:21 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Maybe in the square. - Wed Nov 11 02:55:21 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'm glad you're safe. - Wed Nov 11 02:55:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea..let's..g-go.. - Wed Nov 11 02:56:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So hanai.. - Wed Nov 11 03:00:28 2015
<br><br><font color=teal>*Jay(Serori2) says: Weird... She's not over here. - Wed Nov 11 03:02:11 2015
<br><br><font color=teal>*Jay(Serori2) says: Oh I know! - Wed Nov 11 03:02:11 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Yes? - Wed Nov 11 03:03:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: How're you..? - Wed Nov 11 03:03:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'm well. - Wed Nov 11 03:04:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: D-Do you want to go work at the restaurant, or train? - Wed Nov 11 03:05:36 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Or maybe go relax... - Wed Nov 11 03:05:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I don't care.. - Wed Nov 11 03:10:43 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmmmmm. - Wed Nov 11 03:10:43 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: How about we go . . . um. - Wed Nov 11 03:10:43 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Shopping, Momura-chan? - Wed Nov 11 03:11:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sure.. - Wed Nov 11 03:13:16 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-What do you want to buy? - Wed Nov 11 03:16:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Wed Nov 11 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I dunno.. - Wed Nov 11 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm not a big s-shopper.. - Wed Nov 11 03:23:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmmmm. - Wed Nov 11 03:24:22 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-We should buy some medicine just incase. - Wed Nov 11 03:24:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Wed Nov 11 03:24:22 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: A-Anything else? - Wed Nov 11 03:27:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Uhm..N-Nope. - Wed Nov 11 03:27:47 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I guess we can go... - Wed Nov 11 03:28:38 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I really want to buy you a necklace maybe. - Wed Nov 11 03:28:38 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I mean uhm..I-If you want to.. - Wed Nov 11 03:29:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I wouldn't mind. - Wed Nov 11 03:29:29 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yeah. - Wed Nov 11 03:29:29 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'd like to buy you one... - Wed Nov 11 03:29:29 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-What jewel do you like? - Wed Nov 11 03:29:29 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Any.. - Wed Nov 11 03:32:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or uhm. - Wed Nov 11 03:32:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: R-Ruby.. - Wed Nov 11 03:32:54 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Ruby? - Wed Nov 11 03:33:45 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I'll buy it for you! - Wed Nov 11 03:33:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Wed Nov 11 03:33:45 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) blinked, taking hte necklace and putting it on, "I-It's really b-beautiful.."* - Wed Nov 11 03:37:10 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-It'll be yours! - Wed Nov 11 03:38:01 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-You can wear it. - Wed Nov 11 03:38:01 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Forever. - Wed Nov 11 03:38:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Wed Nov 11 03:38:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Thank you.. - Wed Nov 11 03:41:26 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mhmmm... - Wed Nov 11 03:42:17 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-We're lovers after all... - Wed Nov 11 03:42:17 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Wed Nov 11 03:43:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So uhm.. - Wed Nov 11 03:50:49 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yeah? - Wed Nov 11 03:50:49 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I don't know.. - Wed Nov 11 03:53:23 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-Huh? - Wed Nov 11 03:53:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Let's go uhm.. - Wed Nov 11 03:54:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Meet with friends. - Wed Nov 11 03:54:14 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yeah. - Wed Nov 11 03:55:05 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Alright. - Wed Nov 11 03:55:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hai jiki. - Wed Nov 11 03:56:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi...Aoi.. - Wed Nov 11 03:56:48 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Say Hi to me! - Wed Nov 11 03:56:48 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm Shira! - Wed Nov 11 03:56:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi jiki. - Wed Nov 11 03:58:30 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: .. - Wed Nov 11 03:58:30 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Fuck you too. - Wed Nov 11 03:58:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...?.... *was lost* - Wed Nov 11 03:59:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: H-How to make friends.. - Wed Nov 11 03:59:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: O-Oh right.. - Wed Nov 11 03:59:21 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) twiddled her thumbs, "U-Uhm...S-Surprise." She'd suddenly poof right in his face with a nervous smile.* - Wed Nov 11 03:59:21 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: AH> - Wed Nov 11 04:00:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: The hell. - Wed Nov 11 04:00:12 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Wed Nov 11 04:00:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Why are you  scaring people. - Wed Nov 11 04:00:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Why are you being such a menance. - Wed Nov 11 04:00:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Why. - Wed Nov 11 04:00:12 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Heeheehee. It's fun messing with people! - Wed Nov 11 04:00:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: . . . - Wed Nov 11 04:01:04 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I really hope.. I don't owe someone else money.. That'd suc. - Wed Nov 11 04:03:37 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: suck* - Wed Nov 11 04:03:37 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) blinked, "N-No...I'm uhm..m-making conversation" T-The wild momura used awkwardness.* - Wed Nov 11 04:03:37 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: U-Um.... - Wed Nov 11 04:05:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai bought me a n-new necklace.. - Wed Nov 11 04:05:20 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) had a ruby necklace.* - Wed Nov 11 04:06:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Ooh. - Wed Nov 11 04:06:11 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: That's like when a pimp buy his prostitute some "bling". - Wed Nov 11 04:06:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Wed Nov 11 04:07:02 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Wed Nov 11 04:07:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Wed Nov 11 04:07:02 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) slowly move her hand to flick shira's forehead.

"D-Don't be so rude."* - Wed Nov 11 04:07:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: You should watch what you say... - Wed Nov 11 04:08:44 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Little-Sensei! - Wed Nov 11 04:08:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Wed Nov 11 04:09:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I asked you what was wrong, and you didn't tell me. - Wed Nov 11 04:11:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh.. that... - Wed Nov 11 04:12:09 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Little-Sensei? - Wed Nov 11 04:12:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I zoned out, sorry. - Wed Nov 11 04:12:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh..uhm.. - Wed Nov 11 04:12:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll see you later, J-Jiki.. - Wed Nov 11 04:12:09 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Let's go to the a-arena, Hanai.. - Wed Nov 11 04:12:09 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Next time you should tell me what's wrong, okay? - Wed Nov 11 04:13:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hmm? You're going already? Uh.. Okay. See ya. - Wed Nov 11 04:13:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: A'ight sis.. - Wed Nov 11 04:13:00 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Yeah... - Wed Nov 11 04:13:00 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Let's go. - Wed Nov 11 04:13:00 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: We'll see you later...Jiki-san. - Wed Nov 11 04:13:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Wed Nov 11 04:13:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-So. - Wed Nov 11 04:14:43 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: What're we doing? - Wed Nov 11 04:14:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Wed Nov 11 04:16:25 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sparring..I think.. - Wed Nov 11 04:18:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I don't h-have anything to really t-train.. - Wed Nov 11 04:18:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Sure! - Wed Nov 11 04:18:59 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Let's go. - Wed Nov 11 04:18:59 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-You can start. - Wed Nov 11 04:18:59 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) suddenly blinked forward, she'd of leapt into the air as her foot was aimed directly at hanai's face.

"D-Dynamic entry!"* - Wed Nov 11 04:18:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: (like 11 something damage - Wed Nov 11 04:19:50 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) blinked, she wasn't..even hurt by it, so she'd grab onto his hand, she could tell he was holding back as she'd leap backwards, rubbing her stomach.

"W-We wouldn't be good sparring partners."* - Wed Nov 11 04:21:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It's fine.. - Wed Nov 11 04:22:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Wed Nov 11 04:24:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: We need to m-make our shop m-more...g-get more publicity.. - Wed Nov 11 04:24:06 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yeah. - Wed Nov 11 04:25:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Should we get signs..? - Wed Nov 11 04:28:22 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yeah. - Wed Nov 11 04:30:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: That's a good idea. - Wed Nov 11 04:30:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Wed Nov 11 04:30:04 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) pulled out pre-written signs.* - Wed Nov 11 04:30:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I spent last night making them.. - Wed Nov 11 04:30:04 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-You're prepared... - Wed Nov 11 04:30:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alwyas. - Wed Nov 11 04:30:56 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) hands him some.* - Wed Nov 11 04:31:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: P-Place them down..a-around the village. - Wed Nov 11 04:32:38 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-yeah, sure! - Wed Nov 11 04:37:45 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Thanks. . . . . - Wed Nov 11 04:37:45 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: For all of this! - Wed Nov 11 04:37:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Wed Nov 11 04:37:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Meet me back at the shop. - Wed Nov 11 04:37:45 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) puts a sign down.* - Wed Nov 11 04:38:36 2015
