<br><font color=teal>*Ortho(DhatBoiNick) says: Until I claim the life of Lera. - Wed Nov  4 23:41:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mhm. - Thu Nov  5 23:23:18 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Regardless. - Thu Nov  5 23:23:18 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Even if I had once wanted to protect your sister from crying again, or be there for her. - Thu Nov  5 23:23:18 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: That is no longer my feeling. - Thu Nov  5 23:23:18 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Thus, I'm looking for another reason to stick around. - Thu Nov  5 23:24:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Speaking of. - Thu Nov  5 23:25:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Hm? - Thu Nov  5 23:25:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Why the fuck. . . - Thu Nov  5 23:31:50 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Do I keep getting drawn into this. - Thu Nov  5 23:32:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Fri Nov  6 00:02:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: P-..pfft.. - Fri Nov  6 00:03:24 2015
<br><br><font color=teal>*Keiji(Prehensile Tendrils) says: So a new village that is going to stand alone.. Go against the gezo empire and some how grow and become strong. - Fri Nov  6 00:04:16 2015
<br><br><font color=teal>*Keiji(Prehensile Tendrils) says: Sounds a tad bit like a good dream. - Fri Nov  6 00:04:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Screw the dream, what can you offer me? - Fri Nov  6 00:05:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Greedy ass holes. - Fri Nov  6 00:05:07 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Why openly defy something that is capable of killing you within seconds, are you so sure of your strength that you would defy -true- Gods? - Fri Nov  6 00:05:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They aren't gods.. - Fri Nov  6 00:05:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Fri Nov  6 00:23:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do what you want.. - Fri Nov  6 00:23:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Spreading this crap..won't do much good without the power to enforce it.~ - Fri Nov  6 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..I do not diss your beliefs by calling it crap, so please do not do that to me. - Fri Nov  6 00:29:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm..maybe that was rude of me, my apologies.. - Fri Nov  6 00:29:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let me ask you this, what are you going to do about any of this? - Fri Nov  6 00:29:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do you have a plan? - Fri Nov  6 00:29:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Gezo has already rooted itself quite deeply. - Fri Nov  6 00:30:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just like a certain bank has rooted itself into the system.. - Fri Nov  6 00:30:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Are you willing to hear the first stage of my plan? - Fri Nov  6 00:30:43 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I was pretty broad in that speech. - Fri Nov  6 00:30:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sure. - Fri Nov  6 00:30:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: This knowledge may be useful.. - Fri Nov  6 00:31:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll use the example you just used. What happens to a bank that no one place their money into? - Fri Nov  6 00:31:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: What happens to a business that has no employee's? - Fri Nov  6 00:31:34 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: As I stated, we fund our own merchants and salesman. - Fri Nov  6 00:32:25 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I have funds right now to give each business person here half a million. - Fri Nov  6 00:33:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: That is no where near minimum wage.. - Fri Nov  6 00:33:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: This'll spark a huge advancement in their business and potential. - Fri Nov  6 00:33:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: They can get better material for clothing and weaponry. - Fri Nov  6 00:33:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If I am able to do such a thing, picture what will happen once I get the economy started. - Fri Nov  6 00:34:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Money speaks. - Fri Nov  6 00:34:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If Gezo offered anyone ten million, or more to do business with them.. - Fri Nov  6 00:34:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They probably would.. - Fri Nov  6 00:34:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Gezo sadly has more funds at their disposal. - Fri Nov  6 00:35:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If they get wind of your attempts. If they deem it necessary they'll just outbuy you. - Fri Nov  6 00:35:50 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The Gezo requests high funding for a little bit of material. - Fri Nov  6 00:36:41 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 00:38:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: So Ortho isn't going to kill anyone this time it seems. Lame.  - Fri Nov  6 00:38:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They can easily change that to halt your plan. - Fri Nov  6 00:39:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly..the shinobi of this generation are cowards. - Fri Nov  6 00:39:15 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: For the most part, they've been too complacent. - Fri Nov  6 00:40:06 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Speak for yourself. - Fri Nov  6 00:40:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not a shinobi. - Fri Nov  6 00:40:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm a priest.. - Fri Nov  6 00:40:06 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Fri Nov  6 00:40:06 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Indeed, I should charge you for that information. - Fri Nov  6 00:40:57 2015
<br><br><font color=teal>*Keiji(Prehensile Tendrils) says: Figures. - Fri Nov  6 00:40:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'd like to see you try. - Fri Nov  6 00:40:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you really something worth the time? - Fri Nov  6 00:40:57 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Silly priest, talking of change when they sit and pray to a god no one cares for. - Fri Nov  6 00:41:48 2015
<br><br><font color=teal>*Keiji(Prehensile Tendrils) says: -yawns- - Fri Nov  6 00:41:48 2015
<br><br><font color=teal>*Keiji(Prehensile Tendrils) thinks: big ass snake. - Fri Nov  6 00:41:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Who knows. - Fri Nov  6 00:41:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: This is not a matter to argue over. - Fri Nov  6 00:41:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anyway, ignoring this fool.. - Fri Nov  6 00:42:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 00:42:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The point I'm trying to make is. Your goals may already be done for. Not due to their inability to work, but due to the people you are trying to communicate with. - Fri Nov  6 00:42:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I really hope Ortho kills this man. It'd be a pleasure to rip his heart out of his lifeless chest. - Fri Nov  6 00:42:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I understand your views. That is why I will stay persistant. - Fri Nov  6 00:43:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't get me wrong, though. I'm not for, or against you. - Fri Nov  6 00:44:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Watching Gezo scramble in confusion as to why their power is diminishing would be quite funny. - Fri Nov  6 00:44:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very true. - Fri Nov  6 00:45:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: That.. is why I wish to sway the minds of every shinobi I can. - Fri Nov  6 00:45:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..your only other option may be Sunagakure.. - Fri Nov  6 00:45:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I hold high respect for Hassan. Not for his ranking in the Gezo Empire, but for the wisdom he was able to grant me. - Fri Nov  6 00:46:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: In turn, I will do as much as I can without interrupting his flow of movements. - Fri Nov  6 00:46:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Wisdom, eh? - Fri Nov  6 00:46:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: However, once he dies of natural causes, Sunagakure is up for grabs. - Fri Nov  6 00:46:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's true.. - Fri Nov  6 00:46:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He may already have a successor that he's grooming. - Fri Nov  6 00:46:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I am aware of who it is. - Fri Nov  6 00:46:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Along with the other candidates. - Fri Nov  6 00:46:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Each I have preached my word to and have gained their followship. - Fri Nov  6 00:47:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ninja will always be ninja.. - Fri Nov  6 00:47:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They'll betray for anything. - Fri Nov  6 00:47:47 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You speak as if you know every single ninja personally. - Fri Nov  6 00:48:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's no need to know every single ninja when you can easily see that it's what they've been trained to do. - Fri Nov  6 00:49:29 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Whatever you say. Our opinions will just have to continue to differ. - Fri Nov  6 00:50:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh.. - Fri Nov  6 00:50:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: He has a point, Thaenan. - Fri Nov  6 00:51:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: He doesn't. - Fri Nov  6 00:51:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Take it inter consideration - Fri Nov  6 00:51:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: He sees what he wants to see. - Fri Nov  6 00:51:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: He assumes every shinobi has been trained the same way. - Fri Nov  6 00:52:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Or, that every shinobi took the training the same way. - Fri Nov  6 00:52:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: When it comes down to it in truth. - Fri Nov  6 00:52:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Everyone is different. - Fri Nov  6 00:52:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I should let you know.. - Fri Nov  6 00:52:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That it isn't even a "Shinobi" thing..persay.. - Fri Nov  6 00:52:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It goes deeper, on a human level. - Fri Nov  6 00:53:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Humans will lie to get what they want. - Fri Nov  6 00:53:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Again, you speak as if you know about every human. - Fri Nov  6 00:53:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Just because a majority have, in your view. - Fri Nov  6 00:53:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Not all are affected by it. - Fri Nov  6 00:53:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Fri Nov  6 00:55:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're saying there's a person on this planet that would give up on something they want? - Fri Nov  6 00:55:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No one in this world lacks greed.. - Fri Nov  6 00:55:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Fri Nov  6 00:55:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: How can you be so sure? - Fri Nov  6 00:55:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I know. - Fri Nov  6 00:56:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It is common. - Fri Nov  6 00:56:19 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll leave this conversation to you two. Manda and I have somewhere to be. - Fri Nov  6 00:56:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Proving to me that they don't have greed, is much more difficult than proving that they do. - Fri Nov  6 00:56:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: To have not a shred of greed? - Fri Nov  6 00:56:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: To yearn for nothing? - Fri Nov  6 00:56:19 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Sighs a bit, "I'm done agruing with you about our seperate opinions. I'm leaving."* - Fri Nov  6 00:57:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why do you run? - Fri Nov  6 00:57:10 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I have no reason to be here. - Fri Nov  6 00:57:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see.. - Fri Nov  6 00:57:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well then.. - Fri Nov  6 00:57:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I pray that we meet again.~ - Fri Nov  6 00:58:01 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) simply tucks his hands into his pockets, not wanting to even respond to the priest. Doing such, he'd attempt to walk by.* - Fri Nov  6 00:58:01 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Excuse me. - Fri Nov  6 01:00:35 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh? - Fri Nov  6 01:00:35 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Could I perhaps get past you at least? - Fri Nov  6 01:01:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And that challenge being? - Fri Nov  6 01:01:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Did you not challenge me to something? - Fri Nov  6 01:01:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Like charging you for my information? - Fri Nov  6 01:02:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 01:02:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'll simply repay with some information about myself next time. - Fri Nov  6 01:02:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah. - Fri Nov  6 01:03:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good..good. - Fri Nov  6 01:03:08 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) simply continues to walk now.* - Fri Nov  6 01:03:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I'm heading back to camp. - Fri Nov  6 01:04:51 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Going to have some alone time with Nina. - Fri Nov  6 01:05:42 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: Eh? - Fri Nov  6 01:05:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: You're free to stay here. - Fri Nov  6 01:05:42 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: Do me a favor. - Fri Nov  6 01:05:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Eh? - Fri Nov  6 01:05:42 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: While I'm currently upset with her. . .I didn't mind the old Nina. Try to bring her back will you? - Fri Nov  6 01:05:42 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: Btw, find anything?) - Fri Nov  6 01:06:33 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: I'll see what I can do. - Fri Nov  6 01:06:33 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (Yeah. Basically it grants you the ability to go full form. Like Kakuzu vs Naruto) - Fri Nov  6 01:06:33 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: Alright, if you don't want to, you don't have to. I'm fine going about as I am. - Fri Nov  6 01:07:24 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: That's actually what I'm going to try. I want to see her resolve. - Fri Nov  6 01:07:24 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: Uhoh. - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Oh how lively Konoha has become. - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: When did he get the booze? - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I've been here the entire time. - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Index(Jjking217) says: Why you looking at my Dick. - Fri Nov  6 01:15:56 2015
<br><br><font color=teal>*Index(Jjking217) says: You got something to say? - Fri Nov  6 01:15:56 2015
<br><br><font color=teal>*Index(Jjking217) says: -omit- - Fri Nov  6 01:15:56 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Glances between the lot of them, throwing his hands back into his pockets, he'd simply say, "Well, I'm out of here then. . ."* - Fri Nov  6 01:16:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oi, Thaenan wake up. - Fri Nov  6 01:49:13 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're going on a mission. - Fri Nov  6 01:49:13 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Fri Nov  6 01:49:13 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 01:49:13 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And what mission would that be? - Fri Nov  6 01:49:13 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I thought he quit? - Fri Nov  6 01:50:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're going to be the Mizukage. - Fri Nov  6 01:50:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 01:50:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You're joking right? - Fri Nov  6 01:50:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I don't joke when it comes to business. - Fri Nov  6 01:51:47 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I told you I'd only take that position when I was ready. - Fri Nov  6 01:51:47 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're ready now. - Fri Nov  6 01:54:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Lets go. - Fri Nov  6 01:54:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Ortho. - Fri Nov  6 01:54:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm not going to lead a village when I can't even defend myself. - Fri Nov  6 01:54:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .... - Fri Nov  6 01:54:20 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Speaking of. - Fri Nov  6 01:55:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Will you two excuse me? - Fri Nov  6 01:55:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Fri Nov  6 01:55:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I wish to speak with my sister dearest alone. - Fri Nov  6 01:55:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I assume we'll finish this conversation afterwards? - Fri Nov  6 01:55:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Of course. - Fri Nov  6 01:56:03 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....What's this about. - Fri Nov  6 01:56:03 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) throws his hands back into his pockets, and follows Ume.* - Fri Nov  6 01:56:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So. - Fri Nov  6 01:56:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Care to explain what Ortho has in mind for me? - Fri Nov  6 01:56:54 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I don't know, but I think you should do it. He knows what is best for you. - Fri Nov  6 01:56:54 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: And it's what you want. - Fri Nov  6 01:56:54 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Your laughing said otherwise. - Fri Nov  6 01:56:54 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Because it was 'ironic' after the effort he put in to take Kiri, he gives it to you. - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Plus. I can't defend and lead a village if I can't protect myself. - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And I refuse to be a figure head. - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: .... why? - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Maybe you don't need to be physically strong to be kage and rebuild the village. - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'd simply be a stand in for Ortho. - Fri Nov  6 01:57:45 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Even if you were, it would be helping him and Nina. Do you want that? - Fri Nov  6 01:59:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I'm unsure what I want anymore. - Fri Nov  6 02:00:19 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Well I think you should do it. - Fri Nov  6 02:01:10 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? And why is that? - Fri Nov  6 02:01:10 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Honestly... I don't think you belong out here. You belong in there... and you have a dream to be the kage, and I think if you have the opportunity now you should take it. If you don't, maybe the opportunity won't ever come along again. - Fri Nov  6 02:02:52 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) glancing her over he'd simply shake his head a bit. "I said I wanted to be it when I was ready. I don't feel that I am." pausing to pull one of his hands out of his pocket, he'd rub the back of his neck, "Sure, it may be my dream. But I'd rather wait and perhaps miss it, then rush into it and destroy it with my own hands." saying such he'd shrug his shoulders a tad.* - Fri Nov  6 02:04:35 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: You will have help. - Fri Nov  6 02:06:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Again. - Fri Nov  6 02:06:17 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Kirigakure needs a leader, and you are the only one with the inspiration to rebuild it. - Fri Nov  6 02:07:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: It'd make me but a figure head. - Fri Nov  6 02:07:08 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Sighing a bit he'd simply say, "And they wouldn't be in Ortho hadn't let an attack. But that isn't the issue." pausing again, stretching out a bit, he'd go on, "They may need inspiration, and leadership. But the one thing they need the most, I can't provide, and that's protection. Believe me from experiance, no one wants to follow someone they could beat blindfolded."* - Fri Nov  6 02:10:33 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Listening to her speak, a few questions would pop into his head, but he wouldn't voice them yet, he'd wait for her to finish, and once she had, he'd simply nod at fist. "I can agree with you I guess, but answer me this, what do you know about what it means to be a Kage? You act as if you talk from experiance, or are you simply stating what you feel they should be yourself?" having stated such, his normal blank face would form back, his hands again going to his pockets.* - Fri Nov  6 02:16:32 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) Lifting his hand out a bit, letting some threads pop up like snakes he'd say, "I didn't have the pleasure of being a 'civilian' " saying such, he'd let the threads retract, and he'd shrug a bit.* - Fri Nov  6 02:19:05 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Are you... human? - Fri Nov  6 02:19:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Of course. - Fri Nov  6 02:19:56 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Are you sure? - Fri Nov  6 02:19:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Just. . .different. - Fri Nov  6 02:19:56 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Mn. - Fri Nov  6 02:19:56 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: At least. - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I can say at one point I was. - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: So you aren't anymore? - Fri Nov  6 02:21:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. . . - Fri Nov  6 02:21:39 2015
<br><br><font color=yellow>*Thaenan(Chaos Commander2015) removing his jacket, and again tying his rather long hair back, again revealing the stiching he'd say, "You tell me? Does this look human? I'm threads, flesh, and hearts." shrugging a bit, he'd move to cover back up.* - Fri Nov  6 02:24:12 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I'm...not human either. - Fri Nov  6 02:25:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Fri Nov  6 02:25:04 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I never met anyone different...so ...I thought I could tell you. - Fri Nov  6 02:25:04 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Don't tell anyone though. - Fri Nov  6 02:25:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: And. . .do tell. - Fri Nov  6 02:25:55 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: How aren't you human? - Fri Nov  6 02:25:55 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I'm uh.... - Fri Nov  6 02:25:55 2015
