<br><font color=teal>*Sumie(Ninask115) says: Hmm....? - Fri Oct 30 17:26:36 2015
<br><br><font color=yellow>*Sumie(Ninask115) follow follow? yeeah, that's what she'll do* - Fri Oct 30 17:27:28 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: You know Suiton, correct? - Fri Oct 30 17:42:49 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: No, techniques. - Fri Oct 30 17:44:32 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: Is he serious, he knows I can kill him with a flick of my wrist-- right? - Fri Oct 30 17:47:56 2015
<br><br><font color=teal>*Alex(Ninask115) says: Oh my, hello guys. - Mon Dec  7 23:42:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: THen she became all crazy. - Sun Dec 13 17:08:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I see. - Sun Dec 13 17:08:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You did good baby. - Sun Dec 13 17:09:04 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm not going to say I told you so. - Sun Dec 13 17:09:55 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Just deal with it okay? - Sun Dec 13 17:09:55 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm going to assume she hasn't always been this way. - Sun Dec 13 17:11:37 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Probably got some power. - Sun Dec 13 17:11:37 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Now her true colors are showing. - Sun Dec 13 17:11:37 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I was really hard on you Sanoke. - Sun Dec 13 17:14:11 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It was only because I was pregnant though. - Sun Dec 13 17:15:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Know. YOu have good reason a lot of the time. - Sun Dec 13 17:15:53 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It's fine. - Sun Dec 13 17:16:44 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Did you want to do something? - Sun Dec 13 17:17:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Let's go to the training arena. - Sun Dec 13 17:17:36 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Like go on a double date -omit- - Sun Dec 13 17:17:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mm. We should go hang once Mitsunara is awake. - Sun Dec 13 17:20:09 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You wanna go on a double date Sanoke? - Sun Dec 13 17:21:00 2015
<br><br><font color=teal>*Miaka(Ninask115) says: I want double date! - Sun Dec 13 17:21:00 2015
<br><br><font color=teal>*Miaka(Ninask115) says: Mommy can I go? - Sun Dec 13 17:21:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Could be fun. - Sun Dec 13 17:21:52 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Yo sanoke. - Sun Dec 13 17:21:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: -- You're so young, haha. Worry about being a kid. - Sun Dec 13 17:21:52 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: How're you guys? - Sun Dec 13 17:21:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Decent. It's been far too long, Momu. - Sun Dec 13 17:21:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: How are ya? - Sun Dec 13 17:21:52 2015
<br><br><font color=teal>*Miaka(Ninask115) says: But I wanna hang out with mommy and daddy. - Sun Dec 13 17:21:52 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I'm good. - Sun Dec 13 17:22:43 2015
<br><br><font color=yellow>*Miaka(Ninask115) shakes her head in response to Chikyu, moving a hand to bop her on the forehead.* - Sun Dec 13 17:24:25 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Chikyu. - Sun Dec 13 17:26:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You and i should speak more, man. - Sun Dec 13 17:26:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sanoke you don't even speak with me! - Sun Dec 13 17:26:08 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: Chikyu never said hi to me but hi to kinami. - Sun Dec 13 17:26:08 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: I see. - Sun Dec 13 17:26:08 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: I SEE HOW IT IS - Sun Dec 13 17:26:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: I'm just beating you in everything.~ - Sun Dec 13 17:26:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: Even in mindreading! - Sun Dec 13 17:26:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: -omit- - Sun Dec 13 17:26:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? That's parenthood for ya. - Sun Dec 13 17:26:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I don't have a lot of time. - Sun Dec 13 17:26:59 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) thinks: Bitch said hi to me first, I got a baby in hand. You be talking to Sanoke first like yo the best of buds - Sun Dec 13 17:27:50 2015
<br><br><font color=yellow>*Miaka(Ninask115) continued giggling as she was bounced up and down, giggling the entire time. Putting her hand out, she'd bop Chikyu on the forehead once again, trying to turn her into a giant turtle. "Chakra!"* - Sun Dec 13 17:27:50 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) thinks: I see how it is. - Sun Dec 13 17:27:50 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Hanai, do you still want that spar? - Sun Dec 13 17:30:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Mmmm? - Sun Dec 13 17:30:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Well, I suppose it couldn't hurt. - Sun Dec 13 17:30:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Awesome! I've never sparred you before. This should be something.~ - Sun Dec 13 17:30:24 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Hi hanai. - Sun Dec 13 17:31:15 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hey Momu! - Sun Dec 13 17:31:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Hey honey. - Sun Dec 13 17:31:15 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Well then. - Sun Dec 13 17:31:15 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Hi chikyu. - Sun Dec 13 17:32:06 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I suppose we should get the spar underway! - Sun Dec 13 17:32:06 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'm a bit rusty, go easy on me Kinami-san. - Sun Dec 13 17:32:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sure. Lets move down a bit. There's babies over here. - Sun Dec 13 17:32:06 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Right. - Sun Dec 13 17:32:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: The rules are. - Sun Dec 13 17:32:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: If you beat me, then the spar is null and void.~ - Sun Dec 13 17:32:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Joking, the only rule is no killing or dismembering. - Sun Dec 13 17:32:57 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Deal? - Sun Dec 13 17:32:57 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: How you doing? - Sun Dec 13 17:32:57 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'd never think about killing you. - Sun Dec 13 17:32:57 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: You can start. - Sun Dec 13 17:32:57 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Psh, I'm the champ so far, you're the newcomer to the sparring arena, so you start.~ - Sun Dec 13 17:33:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: You....sure? - Sun Dec 13 17:33:48 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Good. - Sun Dec 13 17:33:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: You're very generous. - Sun Dec 13 17:33:48 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Hanai! - Sun Dec 13 17:33:48 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: You better win! - Sun Dec 13 17:34:40 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I think I've got my stance. - Sun Dec 13 17:35:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ...... - Sun Dec 13 17:36:22 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'm not playing around, Kinami-san! - Sun Dec 13 17:36:22 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: This is my stance. - Sun Dec 13 17:36:22 2015
<br><br><font color=yellow>*Miaka(Ninask115) slowly went from giggling to frowning, and then downright wailing loudly. Chikyu could probably feel the girls stomach rumbling in her hands, since the girls hands were right next to her stomach and underneath her armpits. The little baby was clearly hungry for some food.* - Sun Dec 13 17:36:22 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I see, come at me then. - Sun Dec 13 17:37:13 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Alrighty then. - Sun Dec 13 17:38:04 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Here. - Sun Dec 13 17:40:38 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: I don't think thats appropriate for her. - Sun Dec 13 17:40:38 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Mmmm..... - Sun Dec 13 17:40:38 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Stop holding back. - Sun Dec 13 17:40:38 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'm not holding back. - Sun Dec 13 17:40:38 2015
<br><br><font color=yellow>*Miaka(Ninask115) continued wailing loudly as her stomach growled, her body starting to throw a fit as her arms and legs flung around with anger. Her mouth was spread wide open in the yelling, and her face was stained with the tears that was running down her face. When would this baby get some much needed food!?* - Sun Dec 13 17:44:03 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Fine Fine, I'll give you some of my milk -omit- - Sun Dec 13 17:45:45 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: ... - Sun Dec 13 17:45:45 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Hideo. - Sun Dec 13 17:47:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How's it going Mirai? - Sun Dec 13 17:47:28 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Hey sanoke. - Sun Dec 13 17:48:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm okay. - Sun Dec 13 17:48:19 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: You got anything to teach me? I've gotten a bit stronger since before. - Sun Dec 13 17:48:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That's good. - Sun Dec 13 17:48:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How are your kids doing? - Sun Dec 13 17:49:10 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Good. - Sun Dec 13 17:49:10 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: She's very strong. - Sun Dec 13 17:49:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nice, I can't wait to have some of my own one day. - Sun Dec 13 17:49:10 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Attacks are fast and she moves fairly fast. - Sun Dec 13 17:50:01 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: How old are you? - Sun Dec 13 17:50:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I've been wanting to see what Hanai could do for a while now. - Sun Dec 13 17:50:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm 18. - Sun Dec 13 17:50:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You're dating Kinami? - Sun Dec 13 17:50:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yes. - Sun Dec 13 17:50:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: What are you two waiting on? - Sun Dec 13 17:50:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Kung Fu?  - Sun Dec 13 17:51:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: s - Sun Dec 13 17:51:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Uhh. . I'm not 100 percent sure Mirai. - Sun Dec 13 17:51:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: I almost mistook it for Taekwondo. - Sun Dec 13 17:51:44 2015
<br><br><font color=yellow>*Miaka(Ninask115) 's tears and screaming quickly cut short, her body slipping out of Chikyu's hands. her shirt being peeled off to show her bare chest even though she hadn't developed anything. Food was more important. Moving forward, she'd throw her body towards the food, beginning to devour anything her little hands could wrap around.* - Sun Dec 13 17:52:35 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) whispers: Hi sanoke. - Sun Dec 13 17:54:17 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: I don't know if there's any avoiding it. - Sun Dec 13 17:54:17 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: I'll probably have to use a technique. - Sun Dec 13 17:54:17 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: I can't just beat her by toying with her as I'd do normally. - Sun Dec 13 17:55:08 2015
<br><br><font color=yellow>*Miaka(Ninask115) felt the shirt slipping on her body, not knowing when or how it happened in the blur of sudden speed and her craze for the food. Miaka continued to stuff her face with everything that was in front of her, chewing up and down on anything and everything. After a while, she would roll over and begin eating a piece of chocolate that was just laying out for her.* - Sun Dec 13 17:58:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Chikyu's nice.. - Sun Dec 13 18:01:58 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You should work on those kids. - Sun Dec 13 18:02:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I would love to. - Sun Dec 13 18:02:49 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) whispers: Sanokeee. - Sun Dec 13 18:03:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mhm. - Sun Dec 13 18:03:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hurry up before those eggs are scrambled. - Sun Dec 13 18:04:32 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: Tehehehe. - Sun Dec 13 18:04:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  Right, thanks Mirai. - Sun Dec 13 18:04:32 2015
<br><br><font color=yellow>*Miaka(Ninask115) spun her body around with a full belly, reaching her hands up for the bottle or cup of water that was offered to her. After she drank enough to satisfy her, Miaka would turn back around and pick up a piece of ham that she had. She'd turn back and push it up to Chikyu's body, since she couldn't really reach the girls mouth, or even her stomach for that matter. "Eat."* - Sun Dec 13 18:04:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Hrm? - Sun Dec 13 18:05:23 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey, whose kid is Kyu messing with over there? - Sun Dec 13 18:05:23 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) whispers: How's the family life? - Sun Dec 13 18:05:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: The best. You should know yourself. . But there isn't any feel like looking at your children. - Sun Dec 13 18:05:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: My daughter. - Sun Dec 13 18:06:14 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) whispers: Yeah - Sun Dec 13 18:07:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You had another kid? - Sun Dec 13 18:07:05 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) whispers: I love having them around with hanai. - Sun Dec 13 18:07:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I see you Sanoke. . . .  - Sun Dec 13 18:07:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yeah i'm done though. - Sun Dec 13 18:07:56 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: I think. - Sun Dec 13 18:07:56 2015
<br><br><font color=yellow>*Miaka(Ninask115) was picked up and she pushes the piece of food into her mouth. Miaka would then turn around and grab another piece of food to be lifted up into Chikyu's mouth, this time instead of the ham it would be a piece of chocolate with some type of broccoli underneath it, maybe something that'd be good together, or utterly gross. She couldn't tell.* - Sun Dec 13 18:07:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Must have ten.. - Sun Dec 13 18:07:56 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: I dunno if I can handle another kid. - Sun Dec 13 18:07:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh?  You don't want anymore kids? - Sun Dec 13 18:08:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I can't answer that. . .  - Sun Dec 13 18:09:39 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: Hit me right in there. - Sun Dec 13 18:09:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm? - Sun Dec 13 18:10:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You are unsure? - Sun Dec 13 18:10:30 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Yes. - Sun Dec 13 18:10:30 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: You hit really hard. - Sun Dec 13 18:10:30 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) whispers: Think you could ever take time out of your life to train me a bit more, Sanoke? - Sun Dec 13 18:11:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmm, well I just want at least one for now. - Sun Dec 13 18:11:21 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Thank you... - Sun Dec 13 18:11:21 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I'll go a little tougher this time. - Sun Dec 13 18:11:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Oh. . It's still going?  Nice, I might learn something from this. . . - Sun Dec 13 18:16:28 2015
<br><br><font color=yellow>*Miaka(Ninask115) turned her head over towards the food once more, going down to pick up something else. She wrapped her hands around a large leg from what seemed to be a chicken, and lifted up to push it towards Chikyu's mouth. If she was lifted up, then the food would be inserted into her mouth, bone and all.* - Sun Dec 13 18:24:09 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) thinks: This is interesting - Sun Dec 13 18:24:09 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Haha, I see. How many can you open? - Sun Dec 13 18:25:00 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Uhm.... - Sun Dec 13 18:25:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: That's a secret. - Sun Dec 13 18:25:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: A secret? Psh, come on. - Sun Dec 13 18:25:52 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: A good match. - Sun Dec 13 18:28:25 2015
<br><br><font color=yellow>*Miaka(Ninask115) nodded and began rubbing Chikyu's belly as her parents had before done her.* - Sun Dec 13 18:28:25 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Good job hun~ - Sun Dec 13 18:28:25 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: The skinny kid held back. - Sun Dec 13 18:28:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That was interesting, - Sun Dec 13 18:28:25 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Next time, I want you to try your hardest though. Hm. - Sun Dec 13 18:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good fight Nami. - Sun Dec 13 18:29:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Thanks.~ - Sun Dec 13 18:29:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But, Hanai. I'd love to trade a few techniques with you, if you'd allow so. That would be wonderful. - Sun Dec 13 18:30:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Thanks, honey. - Sun Dec 13 18:30:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Guess Momu didn't like that idea. . . . . - Sun Dec 13 18:30:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: And uhm. - Sun Dec 13 18:30:08 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I don't normally trade techniques. - Sun Dec 13 18:30:59 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Sorry. - Sun Dec 13 18:30:59 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: What are you talking about Sanoke. We just had a few bites of food. - Sun Dec 13 18:30:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hm? It's okay, I understand. - Sun Dec 13 18:30:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Not a big deal. - Sun Dec 13 18:30:59 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I also think there's.... little chance of me going all-out against you. - Sun Dec 13 18:30:59 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: That'd be very hazardous. - Sun Dec 13 18:30:59 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Not even. - Sun Dec 13 18:31:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You mean to tell me you were holding back? - Sun Dec 13 18:31:50 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Just, let me get to S rank with my 6th gate. - Sun Dec 13 18:31:50 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Hanai is strong. . . . - Sun Dec 13 18:31:50 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I could've told you that he was, Hiroshi. - Sun Dec 13 18:31:50 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Anyway, Marco! - Sun Dec 13 18:31:50 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Well, honey. - Sun Dec 13 18:32:41 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Would you like to go home? - Sun Dec 13 18:32:41 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Mmm..Sure. - Sun Dec 13 18:32:41 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? <@Kinami> - Sun Dec 13 18:32:41 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I need to talk some business with you. How much was your katana again? - Sun Dec 13 18:33:32 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Dependso n the quality. - Sun Dec 13 18:34:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, what can five hundred thousand get me? - Sun Dec 13 18:35:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Just get a price Nami, I might be able to cover the rest. - Sun Dec 13 18:35:15 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I told you I would help you get it remember? - Sun Dec 13 18:35:15 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I'm trying to get one of the best swords that he'd ever made, Hiro. - Sun Dec 13 18:36:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That is fine. - Sun Dec 13 18:36:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I will help you pay for it. - Sun Dec 13 18:36:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm a man of my word. - Sun Dec 13 18:36:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: So, Marco? What can five hundred thousand get me? - Sun Dec 13 18:37:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So you don't want my money? - Sun Dec 13 18:38:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: alright. - Sun Dec 13 18:38:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Just let me do how I do, Hiro. - Sun Dec 13 18:38:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Trust me.~ - Sun Dec 13 18:38:40 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: For five-hundred thousand. - Sun Dec 13 18:38:40 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: You could get re-inforced steel. - Sun Dec 13 18:38:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Alright Nami. - Sun Dec 13 18:38:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, what's the best thing that you could craft?? - Sun Dec 13 18:39:31 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? A giant laser that could destroy a fvillage. - Sun Dec 13 18:41:13 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Is probably the best thing. - Sun Dec 13 18:41:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whoa. . . . .  - Sun Dec 13 18:41:13 2015
<br><br><font color=teal>*Marco(Gtgoku55) thinks: Yes. That'll be my answer for when people ask me that question. - Sun Dec 13 18:42:04 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: ..........The best sword. - Sun Dec 13 18:42:04 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: My only limit is my imagination. - Sun Dec 13 18:42:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I kinda want to know the price of that laser. . . . .  - Sun Dec 13 18:42:56 2015
<br><br><font color=teal>*Geo Dude(Wynokx) says: Hey Marco...Did you ever finish those spiked gloves? - Sun Dec 13 18:42:56 2015
<br><br><font color=teal>*Kaiser Ibbaki(Dillion13) says: Hm? - Sun Dec 13 18:42:56 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, Hiro how much do you have? We're going to make this man rich. - Sun Dec 13 18:42:56 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Uhhhh I have 700 hundred thousand on me right now. - Sun Dec 13 18:43:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: My ramen money. . . .*silent mental sobbing* - Sun Dec 13 18:43:47 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I see. I have one million. - Sun Dec 13 18:44:38 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait you want to give him all that we have? - Sun Dec 13 18:44:38 2015
