<br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Huh? - Tue Dec  1 09:05:42 2015
<br><br><font color=teal>***Mizukage**(Zoey-Lover) says: I asked . . . Where is HE?! - Wed Dec  2 19:59:47 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: It ain't even been three seconds after he asked the question. - Wed Dec  2 20:00:38 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: The fuck he yellin for. - Wed Dec  2 20:00:38 2015
<br><br><font color=teal>***Mizukage**(Zoey-Lover) says: You got something to say, nigga? - Wed Dec  2 20:00:38 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm? - Wed Dec  2 20:01:29 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You're asking for the Raikage, when the man is literally infront of you. - Wed Dec  2 20:01:29 2015
<br><br><font color=teal>***Mizukage**(Zoey-Lover) says: Shut the fuck up. - Wed Dec  2 20:02:20 2015
<br><br><font color=teal>***Mizukage**(Zoey-Lover) says: Scumbag. - Wed Dec  2 20:02:20 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Ight. - Wed Dec  2 20:02:20 2015
<br><br><font color=teal>***Mizukage**(Zoey-Lover) says: WHERE IS MY SON, JASON?! - Wed Dec  2 20:02:20 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Who the fuck is Jason? - Wed Dec  2 20:02:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: JaSON! - Wed Dec  2 20:10:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: WHERE aRE YOU!? - Wed Dec  2 20:11:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: JaSON!!!! - Wed Dec  2 20:11:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ? - Wed Dec  2 20:11:44 2015
<br><br><font color=teal>***Mizukage**(Zoey-Lover) says: . . . - Wed Dec  2 20:14:17 2015
<br><br><font color=teal>***Mizukage**(Zoey-Lover) says: Are you . . - Wed Dec  2 20:14:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ....I killed Jason. - Wed Dec  2 20:16:51 2015
<br><br><font color=teal>***Mizukage**(Zoey-Lover) says: . . . . . . . - Wed Dec  2 20:17:42 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You know, you haven't told me your answer yet. - Wed Dec  2 21:03:47 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Which question is that? - Wed Dec  2 21:22:33 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: If I could take up missions for Kumogakure. - Wed Dec  2 21:23:24 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: You'd have to be a shinobi of Kumogakure. - Wed Dec  2 21:23:24 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Would you like to become one? - Wed Dec  2 21:23:24 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I said that I was going to restore Shinkogakure, so I can't join another village. - Wed Dec  2 21:23:24 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Well, then. - Wed Dec  2 21:24:16 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: We're speaking of right now. - Wed Dec  2 21:24:16 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: You can restore your village. - Wed Dec  2 21:24:16 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: But during your stay here. - Wed Dec  2 21:24:16 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: You will be a Kumogakure shinobi. - Wed Dec  2 21:24:16 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: So I can retire my headband when I'm ready to restore my village? - Wed Dec  2 21:25:07 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Yes. - Wed Dec  2 21:29:23 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Alright. I'm fine with that. - Wed Dec  2 21:36:12 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Good. - Wed Dec  2 21:45:36 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Then the first act is eating goat ass. - Wed Dec  2 21:45:36 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: E rank missions? - Wed Dec  2 21:54:59 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: D-Rank missions. - Wed Dec  2 21:55:50 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) thinks: You don't even have steps....... - Wed Dec  2 21:55:50 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hello. - Wed Dec  2 22:09:29 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ..... - Wed Dec  2 22:10:20 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ..I..just want to make...something..very...clear... - Wed Dec  2 22:16:19 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ..Next..time..you decide to tell someone..what I can do.. - Wed Dec  2 22:16:19 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ..I will..hurt you.. - Wed Dec  2 22:16:19 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: --- - Wed Dec  2 22:19:44 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Understood. - Wed Dec  2 22:19:44 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: ... - Wed Dec  2 22:22:17 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: I am serious.. - Wed Dec  2 22:22:17 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I know. - Wed Dec  2 22:23:08 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: .... - Wed Dec  2 22:24:00 2015
<br><br><font color=teal>*Akito(Iron Zorro) says: Good.. - Wed Dec  2 22:24:00 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) kept himself silent. His eyes are shut and his head is subtly lowered. Both his arms are neatly folded across his chest and his back steadily leans against the side of the mountain, just within the path used by people to get to the Raikage's mansion.* - Thu Dec  3 03:36:19 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's head perks up a bit when Akarui approached. He didn't bother to really acknowledge her, but from what he could sense from her chakra levels, she was perfectly fine. He lowers his head again and slightly shrugged.* - Thu Dec  3 03:42:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I'll reply to her message later. - Thu Dec  3 03:42:17 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) was tempted to lift his head and examine the new presence of chakra, but decided not to. Quite frankly, it wasn't any of business. That and because he didn't want an argument to start over dumb stuff.* - Thu Dec  3 03:53:23 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes inch open. He places his focus on the primate and smirked a bit, the little guy was actually adorable. Sogeki crouches down and accepted the piece of paper, reading it and narrowing his eyes a bit. Instead of writing a reply he'd lift the primate up and carry him off to Akarui, "up for a drink?"* - Thu Dec  3 04:00:12 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) stretches his arm out and allowed the monkey to use the limb as a branch-like traveling system. Once Akarui took grasp of the primate, Sogeki would turn and head for the local shop.* - Thu Dec  3 04:03:37 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) sits himself down comfortably, leaning his shoulder against the wall and rhythmically taps his fingers on the table in front of him. There was really no expression on Sogeki's face, something that was clearly different to anyone that spent actual time with him. His eyes are, without any form of modesty, fixed on Akarui's bust. He wasn't doing it in a pervy way, they just happened to be the physical center point of his train of thought.

"So," he mutters, "how have you been?"
* - Thu Dec  3 04:08:44 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) was noticeably different physically. He wasn't the most muscular guy but it could be pointed out that he was becoming scrawny. His eyes are naturally lower than normal, making him look half dead. His skin is more toned though, giving off the idea that he has spent time in a tanning bed or sun --- any of the sort. He bears new scars on his face. One, in specific, runs horizontally across the bridge of his nose. Another ran vertically across his left cheek; he simply looked like someone recovering from battle.

The gaze on her breasts was eventually broken. In its place was a steady stare in to her eyes that had a subtly nod following the eye contact. "I want you to know I don't hate you, Akarui. The confusion you and I felt was dragged on to the point where when the view of a third person came; we went back to square one and we-.. I couldn't handle that. You, on the other hand, are free to hate me to your hearts' content. That much I can understand fully."* - Thu Dec  3 04:19:50 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) also has a scar across the left side of his neck.* - Thu Dec  3 04:20:41 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) watched the primate run off, halt to glance at him, and then continue on. Suddenly, in hesitation, he'd inch back away from Akarui's touch. His eyes widen in confusion before lowering to its new 'normal'. Sogeki leans forward to his original position, allowing her hand to rest on the side of his face. He bites down on his lower lip, trying not to think too much on certain factors during his stay in the hospital, and even before he was registered in the place. He looks down at the table and sighed.

"..Just some stuff where I got myself into trouble and paid for it.."* - Thu Dec  3 04:42:01 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) says: *You look - Thu Dec  3 04:55:40 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) couldn't manage looking Akarui in the eyes anymore. He diverts them to the nearest thing in front of him, and it so happened to be her cleavage. The common hint of lust that usual illuminate from Sogeki was barely visible. Yes, this time around, more interest was involved with the view but the blank stare and expression was just as apparent, if not stronger. He sighed once more and shook his head in an attempt to swallow the feelings tied in with the memory. Eventually, he manages to answer:

"..They say I went insane. Extreme lust, misguided views and beliefs resulted in me blacking out and doing things they won't disclose to me. All I know is I woke up in the hospital and instantly.. had the urge to kill myself. They strapped me down after the third attempt.. and did mental and physical tests on me.."* - Thu Dec  3 05:03:21 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) easily peeled his eyes away, fixing them on Akarui's face. It wasn't like he was obsessed with the her allowing his to look for a change, so it was no effort at all to stop. The look in his eyes told her that he was still half dead. The expression only confirmed what his eyes were saying, assuring everyone that Sogeki was basically.. done.

"The last thing.. you need to worry about is taking care of me. I'm reaping what I sowed, i just have to wait.. until my time is up." The subtly implication of death rang through his head. Not knowing if Akarui was going to share the bottle, he'd raise his hand for a waiter to see and extends three fingers --- that alone made the waiter know he wanted three full bottles of sake.
* - Thu Dec  3 05:23:50 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) lowered his arm and nodded. "This.. is mainly my fault. I must've put too much pressure on you or something. I don't know I can't let you take all the blame." He looks down at his hands and slowly shook his head. "I'm just a fuck up.. Maybe I am like the other guys that just want to touch you.. I don't know.. Kari and you both need to just.. let me die and forget about me."* - Thu Dec  3 05:39:12 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) kept his gaze on the table, not knowing if eye contact with her was necessary or not. He bites down on his lower lip as she spoke, accepting everything she had to say with a slightly opened mind. Everything she did physically was allowed, no real reason to rebuttal. Her fingers were noticed, but questions weren't asked --- he didn't feel that was his place. When she was done he'd release an audible sigh and nodded.

"You'll grow stronger and you'd know that even in my death I'll be there for you.. You and Kari alike. I am useless now.. just a big slop of uselessness. If anything, I'm hindering you both. That much.. I can admit."* - Thu Dec  3 06:02:14 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) placed his gaze on Akarui's for a while, granting her a sincere smile. The smile seemed a bit forced when it came to how long it was upheld but, for the most part, it was sincere. He shakes his head from left to right before sighing again. "Knowing.. you don't hate me is the best.. 'shape up'.. you can give me." With his arm gripped by Akarui he tug her a bit closer to him, he desperately wanted just a bit more physical contact with her small frame. "This.. does more than I can put into words."* - Thu Dec  3 06:16:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 06:33:48 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I'd hate to interrupt an important moment. - Thu Dec  3 06:34:40 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Buuuuuuuuuuuuuuuuuuuuuut. - Thu Dec  3 06:34:40 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Teaching my students is number one priority. - Thu Dec  3 06:34:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hey, Alberto. - Thu Dec  3 06:34:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Del. - Thu Dec  3 06:34:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: rio. - Thu Dec  3 06:34:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: my ninja my ninja - Thu Dec  3 06:34:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: my muh'fuckin ninja. - Thu Dec  3 06:34:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I got another jutsu for you to learn, do you know uh, Mud Wolves? - Thu Dec  3 06:35:31 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: W-What. . .i-is that Takuma? - Thu Dec  3 06:35:31 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: It is you hoe. - Thu Dec  3 06:35:31 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: omit - Thu Dec  3 06:35:31 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's smile widened a bit, tears swelling in his eyes too. He was aware of Takuma's presence before he said anything, but took the time out subtly hog Akarui for a minute or so --- he wasn't going to make Takuma seem like the bad guy. Of course, without making his sensei feel disrespected, he'd shake his head to say 'no' toward the question then gesture to just place the scroll on the table. Throughout this, he kept hugging the female.* - Thu Dec  3 06:37:13 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) tries to poke the pusspuss to check inside the lips.* - Thu Dec  3 06:41:29 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded his head toward Takuma, thanking him without verbally speaking.* - Thu Dec  3 06:41:29 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) was a bit sad that she broke the head for numerous reasons. It was clear why he tugged on her in the first place, her bust was amazing and he just wanted her close for comfort. He'd take her by the arm and gently pull her in again, allowing her to wrap around his arm again and tighten as much as he want. "This.. time around we'll have to work on our friendship. A relationship shouldn't be on our minds.. Just a friendship and we build on that and see how it goes."* - Thu Dec  3 06:56:00 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) quickly shook his head. He can't lie, temptation made him want to have her straddle him and just hug her full on.. but he refrained. Instead, he'd brings arms around her made 'sure' to only place them on the back of her shoulders and nowhere else --- he learned his lesson the last time he got yelled at. "It's not that.. not at all.. you're still very.. very.. veeery.. attractive. I just don't think I'm ready for titles yet.."* - Thu Dec  3 07:27:34 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) unzips pants, "taste me."* - Thu Dec  3 07:40:22 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 07:40:22 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes widened a bit and his hands slowly trail down her body, stopping at her lower back. His fingers steadily expand, a few of them threatening to graze over her upper cheeks. He places his gaze on her and smiled.

"You're fine in my eyes. We'll just work on getting you back to your regular self. Now? Still look attractive. And.. the title makes a difference. I want you to understand that having sex with you is 'not' my intentions. Yes I want to physically show you my attraction and all that, but I feel as though sex 'has' to wait until things are right.. The title makes people target you and me.. and say if they see something they don't understand and start rumors and all that. The title.. I'm honestly.. scared of. Right now.. I was kind've hoping we have that type of friendship where.. relationship type things happen, but it's just between  us.. no one else knows."* - Thu Dec  3 08:00:51 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) felt the kiss on his cheek and was inclined to just test his fate. His hands just glides down more, aiming to subtly cup one of her cheeks, "trust me.. I'm not lying." He'd squeeze just lightly, close to no excess pressure being apparent.

His gaze meet hers once more and he'd bite down on his lower lip. "You talk like I'm not going to be there to protect you either way.. The title only draws in guys to claim what's not theirs.. Just.. have faith in me.. please?"* - Thu Dec  3 08:22:11 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded his head in full understanding. Honestly? He didn't blame her. He was pushing the boundaries and he had to respect that. "Whatever makes you happy," he says in a hushed tone. He moves his hand and pats her lower back. "I gained the trust of the Raikage and.. I have to check on the missing people report." He'd plant a kiss on her forehead and rise up, sliding his way out of her grasp and helping her to her feet. From that point, he'd grab for his bow and sack of arrows --- pacing off once he gathered everything.* - Thu Dec  3 08:36:41 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) picks her up and kisses her on the cheek, dangerously close to her lips. "I'll be right back, I promise.  If I rush this with you, I'll have to leave anyways.. If I go now, do what I have to do and come back.. then we have all the time we need. Just let me handle this." With that, he'd steadily back up.* - Thu Dec  3 08:42:40 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) paced himself to the main gathering area. His bow is properly hitched to his side and the quiver of arrows is strapped to his back. He had a look of confusion and skepticism plastered on his visage --- Yuriko's presence was the last he expected. Still, he'd hang back for a few to analyze the situation at hand.* - Thu Dec  3 09:06:33 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: If she bites off my shoulder. - Thu Dec  3 09:12:32 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I'll only have one good arm left. - Thu Dec  3 09:12:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: ..eat.. people? - Thu Dec  3 09:12:32 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: About to be the next Izanami. - Thu Dec  3 09:12:32 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: omit - Thu Dec  3 09:12:32 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: What is Yuriko talking about? - Thu Dec  3 09:13:23 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Promise. - Thu Dec  3 09:13:23 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mkays.~ - Thu Dec  3 09:13:23 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Yo, Eiyu is going to be pissseeedddd. - Thu Dec  3 09:13:23 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: That nigga dead. -omit- - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Takuma(Brosis55) says: The hospital isn't far from here. - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hmmmm... I don't like doctors. - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Then I guess we can go to my place. - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Much better.~ - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I'm nervous. - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Smarty-kun.~ - Thu Dec  3 09:14:14 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Wh- - Thu Dec  3 09:15:05 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Wut. . - Thu Dec  3 09:15:05 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Maybe he isn't an idiot, he took my deal. - Thu Dec  3 09:15:05 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) reached behind his back and took grasp of three arrows. With his opposing had, the right to be exact, he'd unhook his bow and line the arrows up. His fingers trace around the wire of the bow and his arm, with the arrows gripped, pull back by the elbow and shoulders. His eyes squint slightly, narrows on the back of Yuriko's head. "Psssst! Excuse me, beautiful lady! I think you forget 'bout your dearest friends Sogeki and Akarui!~"* - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: W-What are you doing Sogeki? - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Alberto. - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: I see you.~ - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: When I launch, run. - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Del. - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Rio. - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I need my shoulder fixed. - Thu Dec  3 09:17:39 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Why you do dis. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Silly Sogeki-kun. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: My ninja, my ninja. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: W-Why are you attacking her? - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Ooooooh, Sogeki-kun. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You heard me, Akarui. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Do you.... - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Run. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: N-No. . . - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: He just wants to die. . .h-he wants to get himself killed and leave me. - Thu Dec  3 09:18:30 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 09:19:21 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Takuma* - Thu Dec  3 09:19:21 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: But my shoulder. - Thu Dec  3 09:19:21 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: S-Sogeki. . .if you never listen to me again. . .listen to me now. . .I-I don't think you should mess with her. - Thu Dec  3 09:19:21 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes narrowed, "no baby doll. I was just a bit jealous that he got a hug and I didn't!~" His arm lowers, making his arrows face the ground. "Call me selfish."* - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Heh, awwwww, you miss my legendary hugs?~ - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Yo fam, you can get all the hugs you want. I just want this shoulder fixed. - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Why wouldn't I.~ - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: W-What. . . - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Run. - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Now. - Thu Dec  3 09:20:12 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: S-Sogeki. . . - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I didn't expect you to be back so soon.~ - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Didn't even stop by the shop. - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I should.. beat you.~ - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: I don't want to leave you behind. . . - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: H-He is flirting an awful lot. - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I told you I'm not going anywhere. - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Run, Akarui. - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) whispers: N-Not yet. - Thu Dec  3 09:21:04 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) thinks: Why are the characters in my stories becoming real? - Thu Dec  3 09:21:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: B-but! - Thu Dec  3 09:21:55 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: But we had a deal! - Thu Dec  3 09:21:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 09:21:55 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) formed a single handseal, setting off all his explosive tags. Dead.* - Thu Dec  3 09:21:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeet Nigga. - Thu Dec  3 09:22:46 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) omit.* - Thu Dec  3 09:22:46 2015
<br><br><font color=teal>*Takuma(Brosis55) says: omit - Thu Dec  3 09:22:46 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I'm trying to be a good girl and clean up the mess I made.~ - Thu Dec  3 09:23:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: The deal is still set. - Thu Dec  3 09:23:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But uh, you just look like your hands are full. - Thu Dec  3 09:23:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: So I'm going to let you guys have some time with one another. - Thu Dec  3 09:23:37 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes narrowed and he wraps his arms around Yuriko. He hoists her up in the air and swirls her around like she was indeed a little doll. "See, now was this so hard?~"* - Thu Dec  3 09:27:02 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: W-What? - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Alberto. - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Del. - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: He. . . - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Rio. - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Gets all the hoes. - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Chinpu, Akarui(Weaver22) thinks: This is why I wanted a title. . . - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: To ba- - Thu Dec  3 09:27:53 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Yo. - Thu Dec  3 09:27:53 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) got serious, placing her down. "Alright, now.. explain."* - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: WAIT! - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm? - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Takuma stop being a buzz kill. - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I promised! - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I have to finish the deal! - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm not being a buzz kill! - Thu Dec  3 09:28:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Give me a moment to interrogate Mrs Perfection ehre. - Thu Dec  3 09:28:44 2015
