<br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Yeah. - Tue Oct  6 19:46:33 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hello Lord Raikage. - Wed Oct  7 17:43:15 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hello. - Wed Oct  7 17:43:15 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: How are you? - Wed Oct  7 17:44:06 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I am well. - Wed Oct  7 17:44:06 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Be good, Gene, Kaori. - Wed Oct  7 17:44:06 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: That's good. - Wed Oct  7 17:44:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ---- - Wed Oct  7 17:44:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: I think I gave him the wrong mission... - Wed Oct  7 17:44:57 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: ....He'll be fine. - Wed Oct  7 17:44:57 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I should've read the details before I left. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Would one of you like to spar me? - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: --- - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: If you'd like - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I can issue a different mission. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's fine.. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm not a weakling, Raikage-Sama. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'll make due. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ... - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Wed Oct  7 17:45:48 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No takers? - Wed Oct  7 17:50:04 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It says to fight a lower-ranked shinobi, and I honestly don't think that's possible for me.. I'm a Genin,...How about... - Wed Oct  7 17:56:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I spar you, Raikage-Sama? - Wed Oct  7 17:56:03 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....I suppose I could. - Wed Oct  7 17:56:54 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Are you sure you should be fighting, Koji? - Wed Oct  7 17:57:45 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yes. - Wed Oct  7 17:58:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I need to get stonger. - Wed Oct  7 17:58:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Thank you, Raikage-Sama. - Wed Oct  7 17:58:36 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Hrm. .  Okay. - Wed Oct  7 17:58:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Well, Hello everyone. - Wed Oct  7 18:52:22 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yoo'.. - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hm? - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Where's Suitengu. . .Hmm. . . - Wed Oct  7 18:54:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: .... - Wed Oct  7 18:54:04 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: That bar fight was way outta' hand, even for me. - Wed Oct  7 18:54:56 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 18:54:56 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Not unless I get my hands on'em first. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Nah.. I couldn't see. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Dis.. nigga.. - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So, Mah name, Is Cypher', Itsha pleasure, My Nig-qua. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... That ain't normal, yo' - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: You gotta be like. - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ey'Yo! - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ya' hear me? - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: I think I may give up. - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ---Anyway, I'm Cypher. - Wed Oct  7 19:03:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo' Cypher. Amon. - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: It's nice to meet you. - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hey, That girl Gene has a pretty nice ass am I right? - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 19:04:19 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ye' you right. - Wed Oct  7 19:05:10 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I was just about to head to Kirigakure, anyone care to come? - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- You're going to die if you go there. - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yooo', I heard word 'bout that lady. - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Y'know? - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Yeah. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I want to see what happened with my own eyes. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Well, go ahead if you want fam'. I ain't goin'. - Wed Oct  7 19:07:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Aw. - Wed Oct  7 19:08:35 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Heard what? - Wed Oct  7 19:08:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I gotta wait for them orders to come in, yo'. - Wed Oct  7 19:08:35 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: And ye' words been gettin' around. - Wed Oct  7 19:09:26 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Oh? You're a Kumogakure Shinobi? - Wed Oct  7 19:09:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Water country lady is gone. - Wed Oct  7 19:09:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Of course I am', Wut'chu think? - Wed Oct  7 19:09:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: She left Kiri? - Wed Oct  7 19:10:17 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: She was killed. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'unno man, I think she might'a ate the dirt. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: In Kirigakure. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Ye'. - Wed Oct  7 19:11:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ...Killed..... - Wed Oct  7 19:12:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Well, damn.... - Wed Oct  7 19:12:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I heard that ass was grade one while she was alive though. - Wed Oct  7 19:13:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 19:13:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Guess Kiri is uced. - Wed Oct  7 19:13:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So.. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: What do you guys fo for fun here? - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Sex isn't an answer.-omit- - Wed Oct  7 19:15:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Sex is always the answer. - Wed Oct  7 19:16:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sex. - Wed Oct  7 19:16:16 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I mean....Eh. - Wed Oct  7 19:18:49 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Kojiro how're you having sex in your past time, if the only two girls are your sisters? - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omiy- - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: He don't mind. - Wed Oct  7 19:20:32 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 19:21:23 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup. - Wed Oct  7 19:22:14 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ,,, - Wed Oct  7 19:23:05 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kaori, Gene. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Or uh.. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Oh, You know Gene? - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My sister. - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ---- - Wed Oct  7 19:27:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: Well....That leaves those two off limits. - Wed Oct  7 19:28:12 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: That ass though. - Wed Oct  7 19:28:12 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Ain't off limits for me.. - Wed Oct  7 19:28:12 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Damn.. I need a brother. - Wed Oct  7 19:29:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: In a world where girls are tuna, and men are sharks. - Wed Oct  7 19:29:55 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Does this make me a fisherman? - Wed Oct  7 19:30:46 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Mmm. - Wed Oct  7 19:31:37 2015
<br><br><font color=teal>*Kaori(Coolm3) says: . . .? - Wed Oct  7 19:31:37 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We're supposed to train. - Wed Oct  7 19:32:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You and I. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your sister isn't a fighter. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My arm. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is destroyed. - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So don't aim for my right arm, alright? - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Kaori(Coolm3) says: Uh, sure. But don't cry if I end up hurting you. - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Damn. - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -- - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Well, let's go towards the training arena.. You're welcome to come bro. - Wed Oct  7 19:35:02 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Uh. - Wed Oct  7 19:35:02 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Can I come? - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: If you want. - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: unafk - Wed Oct  7 19:46:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: - - Wed Oct  7 19:46:59 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: im such a fuck up guys smfh - Wed Oct  7 19:47:50 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Wed Oct  7 19:47:50 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: What. - Wed Oct  7 20:16:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Work upon your senses and reflexes. - Wed Oct  7 20:16:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: They're important as well. - Wed Oct  7 20:16:51 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I shall! - Wed Oct  7 20:16:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: If you cannot react, your speed and strength is for nothing. - Wed Oct  7 20:16:51 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Thanks Nizzy.~ - Wed Oct  7 20:17:42 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) waves over at Niza.* - Wed Oct  7 20:17:42 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I will train my reaction time to the best of my ability, Lord Raikage! You are a kind, youthful man indeed! - Wed Oct  7 20:17:42 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: What. - Wed Oct  7 20:18:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: .. She's not your girlfriend? - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Lord Raikage, would it be wise of me to wear my headband here? As kind and youthful as the shinobi here are, I may spite them with my affiliation! - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ... - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Wear your headband if you wish. - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: And no, Misa. - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: She is not. - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: What made you think we were dating. . ? - Wed Oct  7 20:20:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Don't you have one? I could've sworn you had a girlfriend. - Wed Oct  7 20:20:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I have none. - Wed Oct  7 20:21:07 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: D'awwwww, lonely Niza.~ - Wed Oct  7 20:21:58 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Wed Oct  7 20:21:58 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: . .  . - Wed Oct  7 20:27:05 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: Mmmm. - Wed Oct  7 20:31:21 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Wed Oct  7 20:32:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Imma' leave you with your girlfriend.~ - Wed Oct  7 20:32:12 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ...Not my girlfriend. - Wed Oct  7 20:32:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sureeeee.~ - Wed Oct  7 20:33:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Wed Oct  7 20:33:55 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Wed Oct  7 20:35:37 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) blinks, using her index finger to lightly scratch at her own cheek.* - Wed Oct  7 20:36:28 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ....Well... - Wed Oct  7 20:37:20 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Now that, that is done with... - Wed Oct  7 20:38:11 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Did you need something? - Wed Oct  7 20:38:11 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: I just wanted to check on you was all. . - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Well, I am fine. - Wed Oct  7 20:40:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I appreciate the thought. - Wed Oct  7 20:41:36 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: That's good. - Wed Oct  7 20:47:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Idiots? - Wed Oct  7 20:58:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I presume you refer to our more...rage-induced genin. - Wed Oct  7 20:58:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yes. - Wed Oct  7 20:58:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The one that turns into a wolf. - Wed Oct  7 20:59:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And his pal. - Wed Oct  7 20:59:31 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Ah. - Wed Oct  7 20:59:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah.a - Wed Oct  7 21:01:13 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Well. - Wed Oct  7 21:02:04 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Enjoy your stay. - Wed Oct  7 21:02:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Thank you. - Wed Oct  7 21:04:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo', Raikage buddy. - Wed Oct  7 21:06:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Any word yet? - Wed Oct  7 21:06:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: And no, it ain't no bird. - Wed Oct  7 21:06:20 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How are you feeling Idiot N.2 - Wed Oct  7 21:06:20 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: The order has been declined. - Wed Oct  7 21:06:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Whaaat? - Wed Oct  7 21:07:12 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .. Damn..  I was so hyped.. - Wed Oct  7 21:08:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: We're screwed. - Wed Oct  7 21:08:03 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Mm.. - Wed Oct  7 21:08:54 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: We'll gett'em sometime man. - Wed Oct  7 21:08:54 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Sometime. - Wed Oct  7 21:08:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Yeah, eventually... Hmm. - Wed Oct  7 21:08:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Oh, yeah. - Wed Oct  7 21:08:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I did my mission, Raikage-Sama. - Wed Oct  7 21:08:54 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Whom did you combat? - Wed Oct  7 21:09:45 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Kaori. - Wed Oct  7 21:09:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Wed Oct  7 21:09:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Tell them to see me for a reward. - Wed Oct  7 21:09:45 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hm, I'll get her. - Wed Oct  7 21:09:45 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Thank you. - Wed Oct  7 21:11:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yo'.. Do you think we have an armorsmith in this village somewhere? - Wed Oct  7 21:11:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Or a weaponsmith. Yeeahhh. - Wed Oct  7 21:11:28 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: We do not. - Wed Oct  7 21:12:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Kirigakure had one. - Wed Oct  7 21:12:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I am sure they are dead though. - Wed Oct  7 21:12:19 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Well shit.. - Wed Oct  7 21:12:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Wed Oct  7 21:13:10 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I see you've returned to me. - Wed Oct  7 21:14:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: ...I should finish writing my book. - Wed Oct  7 21:15:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 21:18:17 2015
<br><br><font color=teal>*Reguel(Airide) says: What? - Wed Oct  7 21:18:17 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Why are you behind me? - Wed Oct  7 21:19:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Is it because you were trying to look at my Senpai's ass? - Wed Oct  7 21:19:08 2015
<br><br><font color=teal>*Reguel(Airide) says: Why are you guys crowding the enterance to the makeshift hospital? - Wed Oct  7 21:19:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Tch. - Wed Oct  7 21:19:08 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: ...I'll stop my book once I get to the part where I become Raikage. - Wed Oct  7 21:20:00 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) thinks: niggawhatiseefuckingraikagerobeonyou??? - Wed Oct  7 21:20:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Tough love I suppose. - Wed Oct  7 21:20:51 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: To replace names however.... - Wed Oct  7 21:20:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: On a real note. - Wed Oct  7 21:20:51 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Raikage-Sama. - Wed Oct  7 21:21:42 2015
<br><br><font color=yellow>*Yamanshi, Genesis(Pokemon Bradley) stares at Kojiro.* - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Reguel(Airide) says: He doesn't have your weights. - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I know, he just told me. - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I've told them already. - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I can speak for myself Reguel. - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Reguel(Airide) says: Then why the hell do they keep asking? - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I was just going to say...  - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Allow him to finish his sentence. - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I want to be a Chuunin in the future, and I know I have to... Well... - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Impress... - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Chunnin? - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Tch. - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I wanted tips. - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Aim for Kage. - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Well. - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Why do you set the bar so low? - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmph. - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I d- I don't want to lead. - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Allow him to set his own goals. - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: His goals are too low. - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: His goals are as high as he sees them. - Wed Oct  7 21:23:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: If he expects to keep hitting on me then I expect him to accomplish something out of his life. - Wed Oct  7 21:23:24 2015
<br><br><font color=teal>*Reguel(Airide) says: Goals are goals. - Wed Oct  7 21:23:24 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ...I'll be Kage! - Wed Oct  7 21:23:24 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Personal gain. - Wed Oct  7 21:23:24 2015
