<br><font color=teal>*Kuro(Ichigo10101) says: Sure. I don't see any harm in doing so. - Sun Nov  8 00:11:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: like that* - Sun Nov  8 08:31:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: ...Hrm. Sound's good, actually. Sure, I could enjoy some good weed. - Sun Nov  8 08:31:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: DAMN..THAT WORKED?! - Sun Nov  8 08:31:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: ... - Sun Nov  8 08:31:08 2015
<br><br><font color=teal>*Shira(Osmanesanogo) thinks: Yan is going to get some Yams. - Sun Nov  8 08:32:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Goodbye Yams. - Sun Nov  8 08:32:00 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nods and waves his hand. "Come on then. The name's Yan." He'd introduce himself as he moved past her, and assuming she moved alongside with him, he'd exchange friendly conversation. "So, new graduate huh?" He'd ask.* - Sun Nov  8 08:32:00 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Should I .. - Sun Nov  8 08:32:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *ough* - Sun Nov  8 08:32:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.. - Sun Nov  8 08:32:51 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Prove myself by defeating Yams, master? - Sun Nov  8 08:32:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Have you guys seen Tetsuki around? - Sun Nov  8 08:32:51 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I can check. - Sun Nov  8 08:32:51 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm somewhat of a sensor, master. - Sun Nov  8 08:32:51 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nodded as she spoke toward him. "Swordsman, huh? In my younger days as a ninja I always aspired to learn kenjutsu.." He said as he trailed off. His brother's untimely death changed many things, and for some odd reason, it pushed him to become a true blue elementalist...It was also the reason he doned the summoning scroll upon his back. 

Now within the room, he would motion towards the pillows omni-present to the table. "Sit, please..." He'd say as he then moved towards the kitchen cabinets. "Sake or water?" He'd ask, both within reach.* - Sun Nov  8 08:37:07 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) switched the positioning of his hand, moving towards the bottle of sake which was nearby some room temperature water. Yan didn't like cold temperatures, and he hoped that the girl did not mind her Sake as he took it himself. 

As he approached, with Sake in hand, he would be carrying it upon a tray with two small glass cups for them to drink out of. He'd lower himself and the tray to the table, sitting upon it as he fluidly fell into a sitting position on the pillow which  he was upon. Of course, by this ponit, his sandals were off and he assumed hers would be to.

"Yeah, well, I was talented in ninjutsu and so I kept learning more and more." He noted as he sat down. "Plus, from my what I've been told, I have an abnormal amount of chakra for a ninja. Might as well use what God gave me..." He said with a light chuckle. He didn't know where she stood, but he was a christian.

Yan would pour them both glasses, and hold his own up to cheers with her. "To a new friendship." He'd say, a friendly smile upon his face. As for the weed, he was about to grab it as it rested on a tray underneath the table.* - Sun Nov  8 08:43:56 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nodded. Of course, there was a degree to which his hardwork could be accounted for, yet there was only so much one could do to impact the reserve of chakra they had. At a certain point, one person simply excelled further than the next based upon the genetic make-up of their being. So, he could easily agree with her statement. "Definitely," he'd say in reply, knocking the glasses together gingerly as he took a sip of his sake as well.

He pulled back the glass from his lips, setting it down as the alcoholic liquid slipped down his throat. He wasn't much of a drinker, and so it definitely did take to him differently than marijuana as that was something he indulged in quite often. "Do you smoke often?" He asked, switching from the metaphysical conversation to something more cemented in the material world...And obviously, an interest they both shared.

As he asked, he had reached underneath the table and took to the lip of a tray. He'd pull it towards his belly and lift it so that he could slide it on the table. With that done, he'd start breaking down nuggets of marijuana as he removed it from it's container. Not that you hadn't already taken in the aroma, but by breaking down the high-grade herb, the skunky aroma emanated and was much more prominant than before.* - Sun Nov  8 08:56:44 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) laughed at her question, though honed on other portions of her dialogue. Regardless, he would correct what he assumed to be a misconception. "You can buy weed from the local growth shops. It's one of our largest exports." He said as he finished breaking down the weed. At this point, it was an evenly grinded blanket of weed resting on the table. From there he pulled out yet another device from underneath the table that happened to be an expensive glass bong. "Do you mind smoking from this?" He'd ask, and if she said yes, he would pack a bowl and hand it to her. Otherwise he would begin rolling a joint.

"So, what other hobbies do you have then?" He'd say, taking another drink of his sake as he awaited clarity on the subject.
* - Sun Nov  8 09:06:59 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) smiled brightly as he watched her take the hit of weed. Truth be told, regardless of any other factors related or otherwise, he couldn't think of anything more sexy than a beautiful woman taking a hit out of a bong. Odd, perhaps..but that was Yan.

He would taket he bong himself and take a rip from it, the milkiness of the smoke encumbering the interior glass before he released the carb, sucking the smoke out completely. As he let the smoke roll out, it billowed out and streamed across the air before stilling from the momentum.

"Violence, huh? Then you're in the right trade." He noted, setting down the bong. "Help yourself, by the way. I came into the ninja world enjoying violence, and while I do have a taste for it, I've learned it as more necessary than desired." He stated, pouring another glass for Sake and filling hers if she required it. (We can just dialogue whenever you want)* - Sun Nov  8 09:16:22 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) thought for a moment, hitting the bong again before he concocted a reply to how she interpretted Yan's words. "Well, I don't enjoy the act of killing someone, yet...it's not something that I'd hesitate doing or even contemplating. If I see you as someone that needs to die, you are going to die or I am. Some people think of a reason to let evil exist based on their own compassion. I don't have that anymore." He was lost in thought for a moment following that dialogue. If she looked, she would perhaps notice that. He couldn't help but think of Edge, Baen and Katsune. To Leo. There were people in this world that didn't belong to be here--that created death and violence that just wasn't for the betterment of the ninja world.

 It'd take a second or so, but he'd shake from it as he picked up his glass. "I always make sure to challenge my peers though...Yoko was a girl who seemed to be about her business. I wasn't very impressed with her display." He said, and even though he was unsure if she knew Yoko by name, he hoped she could make the connection that he was talking about the girl he had knocked out.* - Sun Nov  8 09:27:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Indirectly or otherwise, quite a few. I'm not bragging or anything, but it's hard to find someone who really challenges me....So I take what I can get I guess. - Sun Nov  8 09:35:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I see... Mrm. - Sun Nov  8 09:35:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You? - Sun Nov  8 09:36:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: So you're pretty strong, huh..? - Sun Nov  8 09:36:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? Me..? - Sun Nov  8 09:36:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Oh, I've yet to take a life. I've thought about it, yeah.. - Sun Nov  8 09:36:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: But I've yet to.. have a chance. - Sun Nov  8 09:36:51 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. I don't see my self as that strong. There are alot of shinobi with ninjutsu, and even genjutsu, that I can't really match...But I have a skill set that allows me to move around that. I'm a pretty versatile ninja. - Sun Nov  8 09:37:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd say I'm more clever than the average ninja. - Sun Nov  8 09:38:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I see.. Mrm. Maybe we'll have a sparring match sometime- a good chance to test myself. - Sun Nov  8 09:38:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Me, I'm simply.. - Sun Nov  8 09:38:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I have a very strong body. - Sun Nov  8 09:38:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh? I'll keep that in mind. Eh-heh. - Sun Nov  8 09:38:33 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Oho? - Sun Nov  8 09:40:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well...Mitsunara, I think I'm going to jump in the shower and hit the hay. You want some to take with you? I mean, if you have no place to stay, you can sleep on my couch. - Sun Nov  8 09:40:16 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nods. He'd gather some up, and put in a baggy for her to tote within her satchel or pocket. It held about an eighth of an ounce, or three-point-five grams. "Here," he'd say reaching out to hand her the baggy. He'd finish his drink and stand up. He wasn't well-versed, though he felt it'd be proper to offer a hand in getting up from the one she was perched upon.* - Sun Nov  8 09:42:49 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nods. "Anytime. And as for the spar, whenever you want, come hit me up. I'm always done to work out kinks in my own strategy." He thought of the last kenjutsu user he had sparred, who was now dead. He kept the smile upon his face though. 

As they walked to the door, he would open it and move so she could walk out. "You're welcome to stop by anytime..." He'd also mention. (once you reply i'm just logging)* - Sun Nov  8 09:47:05 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) arrives upon the scene, yawns slightly as he had just awoken. "Yo',"* - Sun Nov  8 16:49:29 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hello Yan. - Sun Nov  8 16:50:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: How are ya, Lera? It's good to see you back... - Sun Nov  8 16:51:12 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm...actually pretty good. - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Thanks. - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yourself? - Sun Nov  8 16:52:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, I'm doing good. I am a little hung over from a night of drinking but I enjoyed myself. - Sun Nov  8 16:53:45 2015
<br><br><font color=teal>*Lera(Bailey42) says: Good. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh there you are Yan. - Sun Nov  8 16:54:36 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) begins stretching, working out his limbs as he rolled his shoulder via the movements of his arm. He braced his shoulder with the opposite hand which cupped over it. "I need to get to training soon." He'd note, meanwhile cracking his neck.* - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hey Chikyu. - Sun Nov  8 16:54:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: You and me both. - Sun Nov  8 16:55:28 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) was hit on the shoulder, and due to Yan not being exactly a athletic individual, it really hurt!

His face scrunched up as a result, yet reverted to a smile as he bucked his head up and his eyes set on the distance behind Chikyu.

"Are we doing this now or later?" He'd say. Lera knew something that not many others knew, and that was---Yan was one of the most energetic ninja around.* - Sun Nov  8 16:58:52 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) was a little set off by her level of energy though.

He'd simply nod and begin walking towards the training grounds. "Let's go, then." He'd say as he patted her on the shoulder once he passed by her.

While he trudged through the sand, he contemplated the strategy of sparring the young lady. In all probability, he would utilze one of the techniques he had first acquired on his road to becoming a ninja.* - Sun Nov  8 17:04:51 2015
<br><br><font color=teal>*Lera(Bailey42) says: Mind if I watch? - Sun Nov  8 17:05:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't see why not. Everyone watches spars. - Sun Nov  8 17:06:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I won't be showing anything particularly secret...not that I really have anything. heh. - Sun Nov  8 17:06:33 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) before he ran off with Chikyu, a guard approached him who notified him of a ninja requesting to gain entrance.

"Hold on, Chikyu," he sighed as he would head to the gate. "Meet me on the training grounds..I'll be there shortly--" He spoke upon his departure.* - Sun Nov  8 17:08:16 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) apcould be seen within the distance of the gate. He trudged through the sand, and by his side was a guard who the ninja standing at the gate had spoken with. The chunin-ranked guard had departed to fetch Yan, and upon their return, the blonde-haired ninja would brandish a friendly smile which matched the aura that one might detect if they were capable of sensing such a thing.

"Greetings," his voice would sound off once in range, a friendly wave performed as he haulted nearby the guard. The one who had accompanied him simply nodded and returned to his post and from there one, the ninja had to deal with Yan.* - Sun Nov  8 17:15:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So...what's your business here? - Sun Nov  8 17:20:12 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I'm looking for a village to call my own, I hail from Kirigakure, I was working under the late Mizukage. - Sun Nov  8 17:21:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kirie, huh? - Sun Nov  8 17:21:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Well, I was sorry to hear about her demise. - Sun Nov  8 17:21:55 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: It was truly, at the worst time. - Sun Nov  8 17:21:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: There is another Mizukage now, why aren't you following him? - Sun Nov  8 17:21:55 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I worked for Kirie, under different circumstances. - Sun Nov  8 17:22:46 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: I wasn't a shinobi, But a contract. - Sun Nov  8 17:22:46 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: The same contract doesn't extend to the new Mizukage. - Sun Nov  8 17:22:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see.  - Sun Nov  8 17:23:37 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) pondered upon the man's words.* - Sun Nov  8 17:23:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you call this village your home, there won't be any contact. You will commit to complete loyalty to our village. - Sun Nov  8 17:24:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We don't play games with people that want to come in, leave and join other villages. - Sun Nov  8 17:24:28 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) pushes an open-palmed hand forward, as to hault him. Of course, it would remain within the air and wouldn't touch the man. "You're not coming in without proper introductions, ninja. I am Yan." He said. He wanted the other's name, obviously.* - Sun Nov  8 17:29:36 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nodded with a pivot, retracting his hand as he indicated the other should enter the village. Likewise, the guard would move from the path which led within the interior of the village. "Stay out of trouble and you will find that this village is strong, safe and perfect to train within as we all enjoy a good spar." He said, the same smile maintained throughout the conversation. His demeanor was benevolent, yet his words were stern which indicated he was friendly but tolerated little deviation from what was allowed within the scope of Sand's laws.* - Sun Nov  8 17:32:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Report to Hassan or Fujitora as soon as you find them. Hassan is the Kazekage, an older man, and Fujitora wears a straw hat. You'll see one of them around. - Sun Nov  8 17:35:34 2015
<br><br><font color=teal>*Ouichi, Ryutaro(Jjking217) says: Understood. - Sun Nov  8 17:35:34 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) would follow behind Ryutaro, forming a seal as he shot wind bullets into his back.* - Sun Nov  8 17:35:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Sun Nov  8 17:35:34 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) followed behind Ryutaro, and as he deviated from the man's path and headed south--he would form a shadow clone seal. That being said, its eyes would be upon him.* - Sun Nov  8 17:36:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Eh, sorry about the wait... - Sun Nov  8 17:39:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't get tired before you have to deal with me. - Sun Nov  8 17:43:15 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) formed a seal, and with that, he kneaded and thereafter expelled a minute amount of chakra as four clones were molded from the terrain around him. They would all be stationed in front of him, apart from one that remained five or so feet from the north once he positioned himself. "Come at me," he'd say, readying himself for the battle which he felt he would have little to do other than spit out chakra like normal.* - Sun Nov  8 17:44:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then come on! - Sun Nov  8 17:47:31 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) Yan says: Don't get tired before you have to deal with me.
(*Yan formed a seal, and with that, he kneaded and thereafter expelled a minute amount of chakra as four clones were molded from the terrain around him. They would all be stationed in front of him, apart from one that remained five or so feet from the north once he positioned himself. "Come at me," he'd say, readying himself for the battle which he felt he would have little to do other than spit out chakra like normal.*)* - Sun Nov  8 17:56:03 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Oi. - Sun Nov  8 18:11:24 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Hello ma'am. - Sun Nov  8 18:11:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: ....? - Sun Nov  8 18:11:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes? - Sun Nov  8 18:11:24 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: So, - Sun Nov  8 18:12:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Barf corrected me - Sun Nov  8 18:12:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: He said your not a man. - Sun Nov  8 18:12:16 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Your a "Tommy Boy" - Sun Nov  8 18:12:16 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) shrugs as she protests his clones. "Your dads right, relying on your opponent to give you the time of day to prepare is something that will get you killed." He'd reply. That being said, he'd break into weaving seals as she attacked the clones. With Yan's physical prowess being mediocre at best, the clones which were attacked were no match for Chikyu. The clone was driven through, and reverted into mud. The mud would explode and encroach the girl's sword and arm, serving as a restraint to at the very least slow her down. 

Meanwhile, the clone to the north would form a number of seals before expelling his chakra. The result were earthern pillars which shot from the ground in every direction adjacent to the sword-wielding kunoichi. These pillars, normally spears, were formed from loosened soil and earth, condensed and hardened with a blunt point that would cause nothing but blunt damage. Additionally, it would serve as a restraint to lock her into place. * - Sun Nov  8 18:13:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  8 18:13:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: How old are you kid? - Sun Nov  8 18:13:58 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Fifteen, according to the orphanage. - Sun Nov  8 18:13:58 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  8 18:13:58 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: But I like to think i'm thirty-four. - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: He's like mentaly retarded chipmunk... - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: Er...sure. - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Who what's your name? - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Lera(Bailey42) says: Lera... - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Lera ? - Sun Nov  8 18:14:49 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: I'm Shira. - Sun Nov  8 18:15:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: It means White. - Sun Nov  8 18:15:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Right...nice to meet you...I think? - Sun Nov  8 18:15:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: So, - Sun Nov  8 18:15:40 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Do you have a brother? - Sun Nov  8 18:16:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yes I do. - Sun Nov  8 18:16:32 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: What's his name? - Sun Nov  8 18:16:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: Fujitora.. - Sun Nov  8 18:16:32 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: --. - Sun Nov  8 18:16:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...That scares you? - Sun Nov  8 18:17:23 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: He's evil. - Sun Nov  8 18:18:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: Is he now. - Sun Nov  8 18:18:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: I think he's rather nice actually. - Sun Nov  8 18:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: WRONG! - Sun Nov  8 18:18:14 2015
<br><br><font color=teal>*Shira(Osmanesanogo) says: Come with me ... - Sun Nov  8 18:18:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  8 18:19:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Sun Nov  8 18:25:55 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) releases the technique he was holding and simply rubbed the back of his head. * - Sun Nov  8 18:25:55 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) the spears and mud also dissipate.* - Sun Nov  8 18:26:46 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oww... those are going to leave some bruises. Hahaha. - Sun Nov  8 18:26:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah, sorry about that. - Sun Nov  8 18:27:37 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Its all good, still easier on me then my dad. - Sun Nov  8 18:27:37 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) looks towards Lera. "What was he going on about?" He'd ask, referencing words aimed about Fujitora.* - Sun Nov  8 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: He seems to believe that Fujitora has done something 'evil' with zenaki. - Sun Nov  8 18:28:28 2015
<br><br><font color=teal>*Lera(Bailey42) says: He said he intends kill him in about...six years. - Sun Nov  8 18:29:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Can't say I'm worried. - Sun Nov  8 18:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh-huh... - Sun Nov  8 18:29:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Truth be told, Zenaki does have a rather unsettling presence. - Sun Nov  8 18:29:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: True, but I wouldn't say she's evil. - Sun Nov  8 18:30:11 2015
<br><br><font color=teal>*Kurt(Zygman) says: She sent spills down my spine for the few seconds that she was in the area near me. - Sun Nov  8 18:30:11 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'd still tap that -omit- - Sun Nov  8 18:30:11 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I agree with Lera -omit- - Sun Nov  8 18:30:11 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence)  ofventured to the side line since the spar was finished. He would venture into his satchel and pull out a joint he had rolled before leaving his home. Bringing a zippo to it, he'd light the joint to a bright cherry as he stuck it in his mouth--inhaling the enriching smoke as it encroached the entirety of his throat. After inhaling, it'd be as though he swallowed the smoke, thereafter exhaling it from his mouth as he felt the haze wash over his body. He would continue smoking throughout any actions following this.* - Sun Nov  8 18:47:15 2015
<br><br><font color=teal>*Kurt(Zygman) says: Yan, Would you be interested in a spar against me? - Sun Nov  8 18:48:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Uh, let me hit this a few more times. - Sun Nov  8 18:48:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: YOu would ask after I spark up some herb. - Sun Nov  8 18:48:06 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) would hit his weed quietly, inhaling and then swallowing. By this point, he was totally stoned.* - Sun Nov  8 18:50:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Nov  8 18:50:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: That stuff smells like mouldy foot... - Sun Nov  8 18:50:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Why do you think I'm not even going to rest near the wall. - Sun Nov  8 18:50:40 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...Yeah....I'm offf. - Sun Nov  8 18:51:31 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) motions himself towards the other side. He wasn't bothered by their dislike of his weed.* - Sun Nov  8 18:51:31 2015
<br><br><font color=teal>*Lera(Bailey42) says: Cya later - Sun Nov  8 18:51:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You off too, Chikyu? - Sun Nov  8 18:51:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Yeah, I was going to learn a new techinique from my dad. I told him to save it later, since if I'm not full strength against him well... I probably would die! HAhAHA! - Sun Nov  8 18:52:22 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami! - Sun Nov  8 18:53:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Spar that guy right there..I'm too high for this shit. - Sun Nov  8 18:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: 'Guess not. - Sun Nov  8 18:54:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Ah, right... - Sun Nov  8 18:54:56 2015
<br><br><font color=teal>*Kurt(Zygman) says: Come, It'll be fun. - Sun Nov  8 18:54:56 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) takes one last hit before smushing the cherry between two fingers. He'd put it back into his satchel and make his way to the middle of the field. "Alright then..I could use some fun." He'd say, referencing indirectly that he hadn't been challenged in a spar in quite a while.* - Sun Nov  8 18:56:38 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence)  readies himself "G-oohh" he burped. Smoke seeped into the air as the excess smoke that was lingering within his stomach after hitting the weed earlier. Nevertheless, after the burping incident, he fluidly moved into the match.

With a t, he created three shadow clones. This was a ninja who he was unaware of, and since he had no knowledge of his skill level, Yan would ensure he had more versatility that would be given to him through mud clones. That being said, with his chakra kneaded, he would expel the energy as plumes of smoke ignited in multitudes of billowing smoke ambient to his postion.

A total of three clones would be created, in a tiangular formation before him. That being said, the four would them become a diamond, to which Yan would be at the lower point of said formation.  The clone to the right of Yan would push chakra into the ground, slipping into it. If the ninja had experience, he would know that the most common earth release technique, Hidden Mole, was rather slow. Yan hoped that would factor into the man's strategy.

Meanwhile, with Yan performing seals, he readied to prepare a technique. The other two clones transitioned so that Yan and them would then be in a tiangular formation with their guard up and their chakra readied.* - Sun Nov  8 19:07:44 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) wasn't ready. His lips parted and his jaw gaped slightly as the kenjutsu specialist seemingly blurred out of view after chakra erupted around their form briefly. He hadn't fought anyone this fast, yet. To be honest, he reminded him of Sanoke right off when referencing speed. 

While Yan didn't see it, he saw the reaction of his clone as his head went back and he was destroyed. He perhaps saw a blur which was the man pausing to attack, before he left off again. He had no vision upon the man, and so, he would lessen the field of vision necessary. The clone in which hadn't been killed and wasn't already engaged in and also wasn't forming seals at the moment would break into action to quell this issue for him.

Forming a single seal, and then stomping the ground underneath the clone, the terrain would animate. An earthern construct with lift up and rise around Yan, a corridor of sorts, with only one opening. Yan was on the other side of that opening alongside his two clones. One had just performed the technique, and the other was held onto a single seal. 

