<br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Rice Cake anyone? - Wed Oct  7 07:51:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Al-Saachez-Chan.. I look pretty nifty, amirite? - Thu Oct  8 23:51:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Thu Oct  8 23:51:28 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: My cloak. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: You really do smell. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Go take a shower. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I just did. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Take another. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No. - Thu Oct  8 23:52:19 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I've -earned- this robe. - Thu Oct  8 23:53:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Another one. <*Dj Khaled voice*> - Thu Oct  8 23:53:10 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Go -wash- the robe. - Thu Oct  8 23:53:10 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No. - Thu Oct  8 23:53:10 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What yall doing. - Thu Oct  8 23:54:52 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Well, atleast I know the range. - Fri Oct  9 00:04:16 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) strolls in all casually and shit, his hands in his pockets as he glanced around, noticing shit taking place maybe. * - Fri Oct  9 00:04:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: ALLYOU NINJAS UGLY! - Fri Oct  9 00:07:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: HAHAHA!SEXY NINJA PRIVILEGES@ - Fri Oct  9 00:08:32 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Fri Oct  9 00:08:32 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) stood still because a real ass nigga and runs from no bitch.* - Fri Oct  9 00:25:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Welp. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: Sulphur.. Hn.. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: We outchea. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I HAVE COME TO DO BATTLE - Fri Oct  9 01:09:58 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: DIE - Fri Oct  9 01:09:58 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: YOU TALKING SHIT - Fri Oct  9 01:09:58 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes - Fri Oct  9 01:09:58 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) was chilling as everyone got the hands from Kenshin, he moved at an incredible speed. One that Baen himself could only barely register with his own eyes. But even so, seeing something was fairly different than reacting to it. He would help out, but he literally didn't have the speed, so he figured he'd just wait until he was the only one left. * - Fri Oct  9 01:30:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: YOU KILLEd - Fri Oct  9 01:33:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Note to self, write a letter to Kenshin...from the afterlife... - Fri Oct  9 01:38:59 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: This nigga's on my nuts. - Fri Oct  9 01:40:41 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Yo. - Fri Oct  9 01:42:24 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Play dead. - Fri Oct  9 01:42:24 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Ah, so they didn't kill Koeki! - Fri Oct  9 01:50:56 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It- - Fri Oct  9 02:01:10 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Next time no come back! - Fri Oct  9 02:04:35 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: So.... - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Where are those... - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Healing tanks... - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: When you need them? - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Everyone see my post? - Fri Oct  9 02:07:08 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: These ninjas ain't shit. - Fri Oct  9 02:12:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: I don't give a fuck, I don;t give a fuck about you or anything that you do. - Fri Oct  9 02:12:16 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ................ - Fri Oct  9 02:13:58 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Damn..... - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Well. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: What happened here? - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: We got destroyed. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Deez nutz. - Fri Oct  9 02:16:32 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Does that mean I can get his jacket? - Fri Oct  9 02:17:23 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: @Kojiro* - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ..... - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ........... - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: To soon? - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: .................. - Fri Oct  9 02:24:12 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Anyone stoppiong me? - Fri Oct  9 02:33:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Why? - Fri Oct  9 02:33:36 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Alright then. .  - Fri Oct  9 02:33:36 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . - Fri Oct  9 02:42:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Well. - Fri Oct  9 02:54:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This was a very interesting day. - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I bet no one saw this coming when they woke up this morning. - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: So I don't get the jacket? - Fri Oct  9 02:54:56 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Kill...yourself. - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Atleast no one di-..Atleast we've still go the vi-...At least we've still got..each oth-....Atleast we still have our healt-...At least we still have our m-memories..? - Fri Oct  9 02:55:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What should we do.....? - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You should rebuild. - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Nice save. - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I try. - Fri Oct  9 02:56:38 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: .... - Fri Oct  9 02:58:20 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: I thought he already took a pill...... - Fri Oct  9 02:59:12 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: My name is Marrisa. . I know of no one with the skill to save you. . Shall I make it swift? - Fri Oct  9 03:06:01 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . . . - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ........ - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .......... - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Someone, help Niza. - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Hahaha. - Fri Oct  9 03:06:52 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: He has a hole in his chest. . I seriously doubt anyone could save him at this point. - Fri Oct  9 03:07:44 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . . . - Fri Oct  9 03:07:44 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Then why did you give him a pill? - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Mild anastheic - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: The pill won't reach is stomach if there is a hole in his chest. - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: . . .  - Fri Oct  9 03:08:35 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Admitidly, I hadn't thought of that - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Wait so yall were giving him pills not knowing that? - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Pfft. - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Move him, and he'll bleed to death - Fri Oct  9 03:09:26 2015
<br><br><font color=teal>*Yamanshi, Genesis(Pokemon Bradley) says: rip - Fri Oct  9 03:19:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....... - Fri Oct  9 03:19:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: The Raikage needs a hospital? - Fri Oct  9 03:22:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Miss. - Fri Oct  9 03:23:56 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Can you treat Lord Niza afterwards for me? - Fri Oct  9 03:23:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..... - Fri Oct  9 03:28:12 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) stabs fuji in the back. "HEARD YOU WAS TALKING SHIT!" *Omit* 

But on an actual note, Baen walks into the scene, chilling and such, his hands in his pockets as he surveyed the once vibrant square that resided in his place of origin. He noticed a few people, Ambrocio, Fujitora, some fodder Mizukage, and Violet. The latter of which he had a few issues. 

Chuckling to himself he'd delver further into the area, raising an eyebrow as he considered Violet. * - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mmnh.. - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Fri Oct  9 03:35:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Meat pie?.. - Fri Oct  9 03:35:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Its human meat -omit- - Fri Oct  9 03:35:53 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What? - Fri Oct  9 03:35:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm...Chopped steak in a soft bread pie. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Steak and cheese. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Steamed and baked. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Nevermind. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Baen it is good to see you here. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I need everyones help. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Will you help me? - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who is Fujitora foolin. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Bitch, who are you? - Fri Oct  9 03:40:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: With what?..The crops not growing? - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can help fertilize. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some herbs here. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some water, so on. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You look better with the lights off. - Fri Oct  9 03:41:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, what's good. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Here trying to rebuild this place. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Will you help me? - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Called me here to help rebuild? - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He has a fight with Tetsujin to worry about..I don't really think he can help. - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I called you here because of the blades left on Tethy's will. - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I gave this place three million Yen, where did it al go? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What can you offer me? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When was this? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Before Tethys death...But in his will he left people TONS of money... - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That money i gave him was meant for the village.. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is gone. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tsk.. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The village was destroyed as you can se Fujitora. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know anything about any money. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What would you want Baen? - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: There is not much I can offer you. - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'm not even sure. I have no use for money. I'm already powerful. Tetsujin's giving me his title and by extension his life. - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Speaking of the blades of the will... - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: How is Niza doing? - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then there is nothing I can offer you. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I read Tethys Will....Kiba Blades sound interesting. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have been here. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But Kirie... - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Niza almost died. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Kumogakure got destroyed essentially. - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ... - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was there several days ago. - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This was very recent. - Fri Oct  9 03:47:50 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Kenshin came in and killed himself and a few people. - Fri Oct  9 03:48:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Almost killed Niza, but hey, shinobi life. - Fri Oct  9 03:48:41 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) rolled up on Violet, all smooth like. "So what's up."* - Fri Oct  9 03:52:06 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Didn't you say you would kill me, Violet? - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: A while ago? Where was your resolve in Sunagakure? - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You fear me, Violet. - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hey Mr.Bean -omit- - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Is that why you're backing up. - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Is that why you're stuttering? - Fri Oct  9 04:05:45 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... Im n-not scared... I-im a warrior... - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Baen... - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Please. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I need her. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Sounds like your scared. - Fri Oct  9 04:06:36 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Fri Oct  9 04:07:28 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Listen Violet. - Fri Oct  9 04:09:10 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You will apologize to me, here, and now. - Fri Oct  9 04:09:10 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Or I will kill you. - Fri Oct  9 04:09:10 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Fri Oct  9 04:09:10 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: F-For? - Fri Oct  9 04:09:10 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: For your blatant disrespect. - Fri Oct  9 04:09:10 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'll give you till the count of 10 to approach me, kneel, and beg for mercy and my forgiveness. - Fri Oct  9 04:10:01 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: One. - Fri Oct  9 04:10:01 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Two. - Fri Oct  9 04:10:01 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Three. - Fri Oct  9 04:10:01 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Four. - Fri Oct  9 04:10:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Five. - Fri Oct  9 04:10:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: This is low even for you Violet.... - Fri Oct  9 04:16:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Oh hell no... - Fri Oct  9 04:16:51 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) nodded in her direction and ushered her to rise with his right hand, his eyes settled upon her orange hair. 

"Satisfactory, you live this day, Violet." 

Glancing towards the Mizukage, he'd raise an eyebrow. "If you're trying to return Kirigakure to it's former glory, word of advice. Don't interfere in others personal matters, it gets you killed." * - Fri Oct  9 04:17:42 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Where is that strong girl that was a a swordmaster in training? You arent even  able to project a single kage - Fri Oct  9 04:17:42 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are always welcomed here Baen. - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If you wish to stay do so. - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If you wish to leave then I will not stop you. - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'll come and go, help out when it's necessary.  - Fri Oct  9 04:20:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I won't kill her, unless she does something stupid again. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: During which time, no apologies will save her.  - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Fortunately, she's learned her lesson and we can move past it. - Fri Oct  9 04:21:07 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Never again... - Fri Oct  9 04:26:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Penalty set... - Fri Oct  9 04:27:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I will call on you Baen. - Fri Oct  9 04:27:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: When the time is right. - Fri Oct  9 04:27:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: For now I wish for you to tell no one that there is a Mizukage. - Fri Oct  9 04:27:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: What would Tethys say? ... o god - Fri Oct  9 04:28:48 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Sure.  - Fri Oct  9 04:29:39 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Violet come here. - Fri Oct  9 04:31:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Kirie.. - Fri Oct  9 04:33:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll need to borrow some shinobi to visit Kumo.. - Fri Oct  9 04:35:37 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Yo. - Sat Oct 10 20:52:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Nice of you to drop by this deadman wonderland. - Sat Oct 10 20:52:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What? - Sat Oct 10 20:52:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Nice of you to drop by and visit. - Sat Oct 10 20:52:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: As you can see nothing has changed. - Sat Oct 10 20:53:07 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yeap. - Sat Oct 10 20:53:07 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Only a few more rubble piles and some holes that have been filled. - Sat Oct 10 20:53:07 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How long are you planning on staying here for? - Sat Oct 10 20:56:32 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Not long. - Sat Oct 10 20:57:23 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I see. - Sat Oct 10 20:58:14 2015
<br><br><font color=yellow>*Ossa, Baen(Ama No Murakumo) activates his defensive jutsu.* - Sat Oct 10 21:11:53 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What yall hoes doing. - Sat Oct 10 21:29:48 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: STanding around like dumb asses. - Sat Oct 10 21:35:47 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hello. - Sat Oct 10 21:51:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hi Baen. - Sat Oct 10 21:51:08 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Hmm.. - Sat Oct 10 21:51:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: How's it going. - Sat Oct 10 21:52:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Is Hideki the Hokage? - Sat Oct 10 21:52:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: He is. - Sat Oct 10 21:52:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: How unfortunate. - Sat Oct 10 21:52:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..No comment. - Sat Oct 10 21:52:51 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Hm?.. - Sat Oct 10 21:52:51 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: That in itself is a comment. - Sat Oct 10 21:52:51 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: What brings you here Baen? - Sat Oct 10 21:53:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: inb4deeznuts -omit- - Sat Oct 10 21:53:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I thought you were fighting someone important by this time last month. - Sat Oct 10 21:54:33 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yeah, so did I. - Sat Oct 10 21:54:33 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Maybe he got cold feet. - Sat Oct 10 21:54:33 2015
