<br><font color=yellow>*Bernadotte(Iron Zorro) laughed even more "So the prude did get offendend which is kind of cute, it really brings out your features." he commented as she was pushed against the wall again. Using both of his hands he aimed to push her away "I will talk about what I want, when I want and however I want you understand me? I do not need you telling me what I can or can't do because the only one that can do that is my Lord Lucifer so I would suggest you stop barking noise and start falling into place as you are in the presense of a superior being." 

If he had successfuly manage to push her away he would move foward bringin his right arm up to grab at her neck aiming to push her against the opposite wall of where he had been pushed "Now here is how things will work from here on out. One, I will stop commenting about your graverobbing anticts while we are in public. Two, we are stuck here together so I suggest you stop being the prude you are and start being nicer to me as dictated by my lord. Three, enough of your supperiority complex as we both know that you are nothing more than simple trash compared to a superior being like me." he would lean in closer to her "Is that understood?" he asked her with a harsh tone of voice.* - Tue Sep 29 16:40:57 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) kept his right hand against her neck and was going to let go when he heard her comment that belittled his Lord. Reaching over with his left hand to unsheeth his blade he would point it at her left eye "Jashing reigns supreme? HA! Don't make me laugh, my Lord Lucifer is the one that reigns supreme above all else. Jashin is a mere peasant compared to him and do not think I do not notice the sarcasm in your voice. Either you start treating me like the superior being that I am or there will be consecuences graverobber."* - Tue Sep 29 16:59:44 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) released her and sheethed his blade as he was nudged away. "I would be invading more than your personal space but there is that corpse you need to loot so get going."* - Tue Sep 29 17:06:33 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) raised a brow "Hmm? The prude is asking me to show her my dick. Now that is something that you do not see every day." he commented amused by the development that was happening before her. He would bring his right hand down to unhinge his right blade from his belt and attempted to thrust it into the girls stomatch. Since the blade was had not been unsheeth she was in no danger as to get stabbed by it since he was not about to kill someone he knew from his home village but he would inflict pain upon her since he had challenged him to something that his Lord encouraged.

Assuming the hit had gone off without a hitch he would being his left hand up to grab and pull her by the hair with intentions of throwing her against a bed "Be careful for what you wish for graverobber~ It might just come true." he would tease at her as he quickly followed after her to pin her down against the bed leaving the Katana he had used to hit her on the floor since at the moment his focus was on something else more important than his blade.* - Tue Sep 29 17:20:12 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I want to learn fire techniques. - Tue Sep 29 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: What do you know? - Tue Sep 29 19:13:42 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: So far. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: To flare up my arrow, that is all. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Chakra flow? - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Indeed. - Tue Sep 29 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Then, I suppose it's time I teach you something new. - Tue Sep 29 19:15:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: In anycase. . . We'll be seeing more of each other later. I'll beb ack. - Tue Sep 29 19:23:56 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: Did you get the thing? - Tue Sep 29 19:24:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) whispers: Indeed. - Tue Sep 29 19:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) whispers: You can be rest asured that next time I see you your ass wil be mine. - Tue Sep 29 19:25:39 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) hated to see her go but loved to watch her leave.* - Tue Sep 29 19:31:37 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: You lack hatred... - Tue Sep 29 19:35:53 2015
<br><br><font color=teal>*Reguel(Airide) says: No. - Thu Oct  1 00:37:32 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: An object of interest. - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Its an object of interest that I see as a weapon! - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Right? - Sat Oct  3 20:07:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Its so cool! - Sat Oct  3 20:08:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Do you want to train with it or something? - Sat Oct  3 20:08:19 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yep. - Sat Oct  3 20:08:19 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Ask Chiharu first. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You said we could take it - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: If she doesn't mind, I don't mind. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Where are they? - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I said you could carry it. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I didn't say you could take it. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: I'll show them how much credit we deserve for that. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: well we are carrying it out of here. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: It still falls under carrying it - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Carrying it is two words. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Carry it out of here is five. - Sat Oct  3 20:09:10 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Where is this Chiharu person then? - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We shall carry it to her. - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: To ask her. - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Probably outside. - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Outside.. where? - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Arena. - Sat Oct  3 20:10:52 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I'll come with you. - Sat Oct  3 20:11:44 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Onwards! - Sat Oct  3 20:11:44 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) helps him carry the blade well in reallity he only acted like he did since he was nowhere near strong enough to carry it and wasnot about that life.* - Sat Oct  3 20:12:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: That blade seems way too large... - Sat Oct  3 20:12:35 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: She isn't here apparently... - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You two okay with carrying it a bit further? - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Hnnn... - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Yep! - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: DOnt really see anyone here. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We got this. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: And by we i mean he. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Bernadotte is providing moral support. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Uh huh. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: He did that the other day. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's keep going. - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Maybe at the mall? - Sat Oct  3 20:13:26 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ..... - Sat Oct  3 20:14:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: She isn't here either. - Sat Oct  3 20:14:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Maybe at my house. - Sat Oct  3 20:14:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Not here either. - Sat Oct  3 20:14:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Maybe at Hanabi's grave. - Sat Oct  3 20:14:17 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: There's a new gra-- - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ... - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Oh. - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: It's the owner of the blade's body. - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Oh. - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: The guy we helped take down. That is. - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Right. - Sat Oct  3 20:15:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: The guy we -took- down - Sat Oct  3 20:16:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Let's wait for her here for now. - Sat Oct  3 20:16:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: You okay? - Sat Oct  3 20:16:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Carrying that all this way. - Sat Oct  3 20:16:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Impressive. - Sat Oct  3 20:18:33 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: This thing is fuckin' heavy though. - Sat Oct  3 20:19:24 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Jesus. - Sat Oct  3 20:19:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It does. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: It totally doesn't. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I just want the fuck out of here. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: Just accept it before he engulfs you in black flames. - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Tokisaki, Chiharu(Cheesy Cakey) thinks: -omit- - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What Chiharu said - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: omit - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sun Oct  4 01:01:00 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ........ - Sun Oct  4 01:03:34 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why does he suddenly hate me... - Sun Oct  4 01:04:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: When did he get so dumb... - Sun Oct  4 01:04:25 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: He got so complicated.... - Sun Oct  4 01:05:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ughhh...... - Sun Oct  4 01:05:16 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hm. - Sun Oct  4 01:09:32 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Hideki... - Sun Oct  4 01:11:15 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) headbutts* - Sun Oct  4 01:19:47 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We call that the three heads are better than one. - Sun Oct  4 01:20:38 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Technique - Sun Oct  4 01:20:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Sun Oct  4 01:20:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Eyyy - Sun Oct  4 01:20:38 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Lunch money ain't a subject to talk about. - Sun Oct  4 01:20:38 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Give us all you have on you. - Sun Oct  4 01:21:29 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ...I'm sorry, all I got are Deez Nuts.... - Sun Oct  4 01:21:29 2015
<br><br><font color=teal>*Storm(Sisbro55) says: GOT EM - Sun Oct  4 01:21:29 2015
<br><br><font color=teal>*Storm(Sisbro55) says: omit - Sun Oct  4 01:21:29 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: GOTTEM - Sun Oct  4 01:21:29 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: LOL! - Sun Oct  4 01:21:29 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) headbutt* - Sun Oct  4 01:26:36 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: That  hulk jump. - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) says: Gang Bang? - Sun Oct  4 01:27:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Aiyana... - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Chill out. - Sun Oct  4 01:28:19 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: You are fucking idiot Hiroshi! - Sun Oct  4 01:29:10 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Fuck you! - Sun Oct  4 01:29:10 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: I'm so confused. - Sun Oct  4 01:30:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey. - Sun Oct  4 01:30:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Listen, I know what you're going through. - Sun Oct  4 01:35:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Believe me...I do. - Sun Oct  4 01:35:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But he woudn't want to see you like this. - Sun Oct  4 01:35:08 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) V- lines for Asteroth.* - Sun Oct  4 04:06:11 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yo. - Sun Oct  4 04:09:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I have a treat for you. - Sun Oct  4 04:09:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Come. - Sun Oct  4 04:09:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: You my next victim, chile. - Sun Oct  4 04:09:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: A treat. . ? - Sun Oct  4 04:10:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Whatever. - Sun Oct  4 04:10:27 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Come along now. - Sun Oct  4 04:10:27 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) whistled to her as if she was his pet.* - Sun Oct  4 04:10:27 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You. - Sun Oct  4 04:10:27 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: It is information you -want- - Sun Oct  4 04:10:27 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: regarding the thing we were speaking about. - Sun Oct  4 04:11:18 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Now be good and follow me you prissy pants. - Sun Oct  4 04:11:18 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Right. .  - Sun Oct  4 04:13:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: <*Grab me, fool!*> - Sun Oct  4 04:13:00 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) entered his home and pushed her inside then locked the door behind him "Well you prissy graverobber, several days ago a male attacked this village and was killed. His body is burried next to one of the graves you have already defiled."* - Sun Oct  4 04:16:25 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: He was strong. - Sun Oct  4 04:18:59 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: carried a giant blade. - Sun Oct  4 04:18:59 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: So you might want to go and defile his grave - Sun Oct  4 04:18:59 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Or you can stay here and I can show you what I can do with my stick. - Sun Oct  4 04:19:50 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Oct  4 04:26:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I think I'll pass. You know how I am.' - Sun Oct  4 04:26:40 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Hmm. - Sun Oct  4 04:26:40 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Well you now  - Sun Oct  4 04:26:40 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Know* - Sun Oct  4 04:27:31 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: We could play the rape game. - Sun Oct  4 04:27:31 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Oh? - Sun Oct  4 04:28:22 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You'll be staying here? - Sun Oct  4 04:28:22 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Why is that? - Sun Oct  4 04:28:22 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You miss me that much? - Sun Oct  4 04:28:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: That's what I said -- my last base of operation got blown up. - Sun Oct  4 04:28:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: No. . . And my last accomplice got himself killed. - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You want to carry the seed of my lord? - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: How thought full of you. - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: NO! - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Right right. - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You do not have to express your true feelings. - Sun Oct  4 04:29:13 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I understand. - Sun Oct  4 04:29:13 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) raised a brow as he placed his hands on his Katana "Oh?"* - Sun Oct  4 04:30:04 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Katanas* - Sun Oct  4 04:30:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Oct  4 04:30:04 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Heh. - Sun Oct  4 04:31:47 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) would have tried to not move as the spikes flew past him and damaged his house but on the inside he was panicing due to the display of power that Asteroth had just shown >Fuck she is powerfull.< he thought to himself as he slowly lowered his hands from his katanas "Tch. Learn to take a joke you filthy graverobber." he would tell her with a somewhat shakey voice "I was trying to lighten up the mood as you always seem to have a dick stuck up your ass."* - Sun Oct  4 04:34:20 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) looked away as his neck was grabed "Haaaii." he would simply say.* - Sun Oct  4 04:38:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Oct  4 04:38:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What the fuck does that mean? - Sun Oct  4 04:38:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Dunno. - Sun Oct  4 04:38:36 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: But you need to seriously get laid. - Sun Oct  4 04:39:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: This guy is irritating. . . - Sun Oct  4 04:39:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: The anger you have inside of you is real. - Sun Oct  4 04:39:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I just said! -- Stop it. .  - Sun Oct  4 04:39:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: And it- - Sun Oct  4 04:39:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Well then. - Sun Oct  4 04:39:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: Someone is on her rag. - Sun Oct  4 04:39:28 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: All I am saying is that it wouldn't hurt. - Sun Oct  4 04:41:10 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Also if yu are going ot be staying here try not to stink up the place. - Sun Oct  4 04:41:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Sun Oct  4 04:47:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Whatever. - Sun Oct  4 04:47:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Are we done here? - Sun Oct  4 04:47:08 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yeah. - Sun Oct  4 04:59:56 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: He should've stated I was his brother as well. - Sun Oct  4 05:15:18 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I'm not talking about my Injuries Hideki..It is irrelevant. - Sun Oct  4 05:15:18 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Oh. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Reguel(Airide) says: Raikage, that's going on? - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Speaking out loud. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Once again. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hold on.. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: This village is very interesting. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Seisuke. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Come summertime, no female is safe. - Sun Oct  4 05:17:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Anyways. - Sun Oct  4 05:17:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: As for what's going on? - Sun Oct  4 05:17:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I've no idea. - Sun Oct  4 05:17:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Some people have returned from the Private Exams. - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: That is all. - Sun Oct  4 05:17:52 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) headbutts
* - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Reguel(Airide) says: How dull. - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki is utilizing his training. - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: MESS ON SOMEONE YOUR OWN SIZE! - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: To subdue these two. - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Reguel(Airide) says: Raikage, I still want Taijutsu training, as for now, I'm going back to study Medical ninjutsu, I'll send you money and a list of things I'll need for experiments. - Sun Oct  4 05:19:34 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) was choked.* - Sun Oct  4 05:19:34 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Please. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Stop this. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Everyone. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Stop this. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Before I stop it. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Reguel(Airide) says: I can stop them myself. - Sun Oct  4 05:20:25 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) threw up on Hideki's chest due to that.* - Sun Oct  4 05:21:16 2015
<br><br><font color=teal>*Reguel(Airide) says: Some exam. - Sun Oct  4 05:21:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: There is no exam. - Sun Oct  4 05:21:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: That exam's over. - Sun Oct  4 05:21:16 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) since he did not RP letting go of me the sidestep would just cause the vomit to spread everywhere getting on Niza, Kojiro and Amon.* - Sun Oct  4 05:23:50 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) projectile vomiting intensifies.* - Sun Oct  4 05:24:41 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) would have been stunned but was still projectile vomiting due to the knee to the gut.* - Sun Oct  4 05:28:06 2015
<br><br><font color=yellow>*Bernadotte(Iron Zorro) Since everyone ignored it they all get vomited on so enjoy that smelly shit all over yer bodies.* - Sun Oct  4 05:34:04 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Fuck these people. - Sun Oct  4 05:36:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Reguel, if my name comes out of your mouth.. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: One more time.. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Hideki. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Hideki. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Hideki. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Stop it. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why must we act in such a maner? - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Reguel(Airide) says: He just hates me for no reason, such an emotional person. - Sun Oct  4 05:40:03 2015
<br><br><font color=teal>*Reguel(Airide) says: Is it because something I said? - Sun Oct  4 05:40:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: If I get hit with one more thing... I'm going to fucking lose it....... - Sun Oct  4 05:40:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: No, that's what you'd want.. I'm not letting you do shit to me. - Sun Oct  4 05:40:54 2015
