<br><font color=teal>*Trilliam(VantetheGreat) says: Its law. - Sat Nov  7 01:38:33 2015
"I apologize for my rudeness today, I should have taken your word. This world has made me skeptical of many things."

 Koji would bow and if Yan was ready they'd search else where for the criminals.* - Sat Nov  7 07:37:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alright Koji. - Sat Nov  7 07:43:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Leaf is clear? - Sat Nov  7 07:43:47 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: So far yes, no sign of anyone we're looking for. - Sat Nov  7 07:44:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuma has our soldiers occupying it, Ame is a hostile village and obviously they aren't in Suna. - Sat Nov  7 07:44:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If you want to make a quick round, you can go but otherwise I think we should head to Kiri. - Sat Nov  7 07:44:38 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) just hopped off he likes to see the view of the world, so he didn't sleep on the trip.* - Sat Nov  7 07:54:52 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yups! - Sat Nov  7 07:54:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Sat Nov  7 07:58:17 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: What do you want? - Sat Nov  7 07:59:08 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Looking for a rogue possibly walking around with a blindfold. - Sat Nov  7 07:59:08 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Konohagakure. - Sat Nov  7 07:59:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So I imagine you saw her there? - Sat Nov  7 08:00:00 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: What do you think? - Sat Nov  7 08:00:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: She's a doll... - Sat Nov  7 08:00:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We are also looking for another rogue. Her name is Katsune...She's worth 2 million alive and 500k dead. If you want to give me information on her, and I kill hermyself, I'd happily split my portion of the money. - Sat Nov  7 08:00:51 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: If she comes by I'll notify you. - Sat Nov  7 08:02:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Right...Koji, ready? - Sat Nov  7 08:02:33 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Thank you. - Sat Nov  7 08:03:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yup. - Sat Nov  7 08:03:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Where do we go? - Sat Nov  7 08:03:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: Konoha or home? I think we need some official paperwork, at the same time, they could alert the rogue and allow her toe escape. What do you think? - Sat Nov  7 08:05:58 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: And yes, I did see her in Konohagakure. - Sat Nov  7 08:06:49 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Best to report and come back. This does break our code of alliance. - Sat Nov  7 08:07:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Right. Good day, kunoichi.  - Sat Nov  7 08:08:32 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Whatever. - Sat Nov  7 08:08:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I miss Konoha already. - Sat Nov  7 08:12:48 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) gets off caravan as well.* - Sat Nov  7 08:13:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Didn't anticipate seeing you so soon.. - Sat Nov  7 08:14:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm sure ya' do. He's a good dude. - Sat Nov  7 08:16:12 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Ugly. - Sat Nov  7 08:16:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Seems Mizora has returned... - Sat Nov  7 08:16:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...The girl in front of us? - Sat Nov  7 08:17:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Mhmm.. - Sat Nov  7 08:17:04 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: This is the second time I attempted to get in. - Sat Nov  7 08:17:55 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) was shielded by Yan. Koji was confused how someone with such a heroic aura could attack innocent so easily... Totally threw him off guard.* - Sat Nov  7 08:31:34 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) moved out the way.* - Sat Nov  7 08:37:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I guess I get to die to someone who has a level of irrelevance more abundant than the sand storms in this land. - Sat Nov  7 08:55:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I never want blood on my hands... or else I'd never be able to differentiate myself from these people.. - Sat Nov  7 09:07:24 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: 10mins and you are good - Sat Nov  7 09:39:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hassan has ordered her dead. We could bring her to him first but there's no need to prolong her life. It's tortuous. Let's just kill her and be done with it. - Sat Nov  7 09:41:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Gah. . .She -- - Sat Nov  7 09:41:32 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Come to daddy tetsu -omit- - Sat Nov  7 09:42:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I will come alongside you. - Sat Nov  7 09:44:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Grab Marissa while you're at it. - Sat Nov  7 09:44:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Y'don't know what these wild Desert Coons will do to some chick who's all tied up. - Sat Nov  7 09:44:06 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: this nigga sais desert coons - Sat Nov  7 09:44:57 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Hm - Sat Nov  7 09:45:48 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) takes his seat and continues to report for files that'll lead to Lord Hassan'a desk for further review.* - Sat Nov  7 09:47:31 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: This seal... - Sat Nov  7 09:49:13 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You know the punishment for defecing. - Sat Nov  7 09:50:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I... just wanted to visit Konoha. - Sat Nov  7 09:50:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Regardless. There is some legitimance to my words. Allow her to be healed. . then allow me to break the seal. - Sat Nov  7 09:51:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The information could be invaluable.. - Sat Nov  7 09:51:47 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: What information? - Sat Nov  7 09:51:47 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He doesn't know. But he may be right. - Sat Nov  7 09:51:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The information that could be hidden. Someone has sought to silence her. - Sat Nov  7 09:51:47 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Fine. - Sat Nov  7 09:52:38 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Let her live, cut the seal. - Sat Nov  7 09:52:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hassan, nevertheless. - Sat Nov  7 09:52:38 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I want to hear what she has to say. - Sat Nov  7 09:52:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sanoke attacked a jounin at the gate. - Sat Nov  7 09:52:38 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Sanoke has...Special...Privliges. - Sat Nov  7 09:52:38 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: It was an old deal we had made. - Sat Nov  7 09:53:29 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) thinks: Why is it always me. . First, I lose an arm. . Then my boyfriend dumps me. . Now I am getting attack by my so called friends. .  - Sat Nov  7 09:53:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ......Hm. - Sat Nov  7 09:53:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So she is going to be spared? - Sat Nov  7 09:54:20 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) whispers: Not exacly, you didn't pass or fail. - Sat Nov  7 10:00:19 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) whispers: Denied. - Sat Nov  7 10:08:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Alright. - Sat Nov  7 10:13:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Talk up. What happened? - Sat Nov  7 10:13:07 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: After I left..? - Sat Nov  7 10:13:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uhm. - Sat Nov  7 10:13:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why were you root-sealed? - Sat Nov  7 10:14:49 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I told the Hokage about how bad I am at social interaction.. and I accepted his offering to help me get better.. I guess he was going to teach me more.. but he disappeared. - Sat Nov  7 10:14:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sat Nov  7 10:15:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: And why the heck does that mean root sealing? - Sat Nov  7 10:15:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm not sure.. - Sat Nov  7 10:15:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hassan. - Sat Nov  7 10:18:14 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Hm? - Sat Nov  7 10:18:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: This kunoichi doesn't seem to have any information. - Sat Nov  7 10:19:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I see that. - Sat Nov  7 10:19:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: It's like she's mocking me. - Sat Nov  7 10:19:56 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: What really annoys me is it's as if she's spitting on Sanoke's kindness. - Sat Nov  7 10:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The fact that she came back means she has little respect for our laws. - Sat Nov  7 10:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That she thought she'd be able to get off without being punished. - Sat Nov  7 10:20:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Eactly. - Sat Nov  7 10:20:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: This isn't something you want to make a habbit of. - Sat Nov  7 10:20:48 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I never have. - Sat Nov  7 10:20:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: .... - Sat Nov  7 10:21:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Community service. Indentured servitude. . .There is a lot that can be done with Root Sealing. - Sat Nov  7 10:21:39 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: My lord HAssan? - Sat Nov  7 10:21:39 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Sanoke, do you know why I have all people who leave without permission killed? - Sat Nov  7 10:21:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Because. . It will set a bad example. - Sat Nov  7 10:21:39 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Wait Marrissa. - Sat Nov  7 10:21:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If one can leave without being killed. - Sat Nov  7 10:22:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Then everyone has a ticket to leave. - Sat Nov  7 10:22:30 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Not even that Sanoke. - Sat Nov  7 10:22:30 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I allow people to leave with passports. - Sat Nov  7 10:22:30 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: And those passports are flexible. - Sat Nov  7 10:22:30 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I don't mind people leaving. - Sat Nov  7 10:22:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sat Nov  7 10:22:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Damn.  - Sat Nov  7 10:22:30 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: It's wrong to keep someone in one place all the time. - Sat Nov  7 10:22:30 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: This isnt a jail cell. - Sat Nov  7 10:22:30 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You all have the right to expirience the world. - Sat Nov  7 10:23:21 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Take another guess. - Sat Nov  7 10:23:21 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: If I may speak..? - Sat Nov  7 10:23:21 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: No you may not. - Sat Nov  7 10:23:21 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I suggest you stay quiet. - Sat Nov  7 10:24:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. . .Because. They'r-- . . I. . I don't know. - Sat Nov  7 10:24:12 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Allow me to explain. - Sat Nov  7 10:24:12 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I have a guess... - Sat Nov  7 10:24:12 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Because them leaving without permission can endanger the lives of people within this village. - Sat Nov  7 10:24:12 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) writes sxcessively* - Sat Nov  7 10:25:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: As the Kazekage my number one priority is to keep everyone in this village safe. - Sat Nov  7 10:25:04 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You don't realize how much it hurt me to hear my own grandaughter ask me if she could go to sleep safe a couple nights ago. - Sat Nov  7 10:25:55 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: .... - Sat Nov  7 10:26:46 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: This one exeption? - Sat Nov  7 10:29:20 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You've gone on countless missions for me, and have done plenty of dirty work. - Sat Nov  7 10:30:11 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You've saved my life, and have been named a Hero of the Sand along with Yan and Jiki. - Sat Nov  7 10:30:11 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I'm sure you understand that I have a great deal of respect for you, what will you truely give me for this girl's life? - Sat Nov  7 10:31:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anything. Name it. I understand the seriousness. - Sat Nov  7 10:31:02 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I have half of the ninja world at the moment. - Sat Nov  7 10:31:53 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I own a bank that runs the world economy. - Sat Nov  7 10:31:53 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I have everything i've ever wanted as a kid. - Sat Nov  7 10:31:53 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: When I was too poor to even buy food for the night. - Sat Nov  7 10:32:44 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Name what you will give me. - Sat Nov  7 10:32:44 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Name 3 things you think I may want. - Sat Nov  7 10:32:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: What do you offer to a man that has everything? - Sat Nov  7 10:32:44 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: A wife. - Sat Nov  7 10:33:36 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: This nigga loneyl af - Sat Nov  7 10:33:36 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) thinks: True Loyality. .  - Sat Nov  7 10:33:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The prize money from the tournament. What if I can win it? Ten Million is nothing to sneeze at. - Sat Nov  7 10:33:36 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: That's over. - Sat Nov  7 10:33:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It was postponed. - Sat Nov  7 10:34:27 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: I'll just put this out, my apologies if it's rude or anything. <Not that I care or anything> What if Mizora was to suck your dick? - Sat Nov  7 10:34:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sat Nov  7 10:34:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Please. I'm engaged. - Sat Nov  7 10:34:27 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Not you, dumbass. - Sat Nov  7 10:34:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*coughs*> - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: . . . - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Suck my dick? - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I don't know where her mouth has been. - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: . . . .  - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I'm not trying to catch those Konoha iseases. - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That is true. She may have poor dental hygene. Hrm.. - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: What?... Where did this come from?.. - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: What about your secrets SAnoke - Sat Nov  7 10:35:18 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: Your secrets for her life. .  - Sat Nov  7 10:36:09 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: And if she was to clean her mouth with soap? - Sat Nov  7 10:36:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Sat Nov  7 10:36:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well. I. . I dunno. I could -- show you a new technique? - Sat Nov  7 10:36:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: What the hell?... - Sat Nov  7 10:36:09 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I'm not losing my mouth virginity to an old man. - Sat Nov  7 10:36:09 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I'd rather rub bars of soap across my dick honestly. - Sat Nov  7 10:36:09 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Then wash her mouth. - Sat Nov  7 10:36:09 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Sat Nov  7 10:36:09 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) proceeds to write in details//* - Sat Nov  7 10:37:00 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: So if she was to suck your dick for twenty-four hours. - Sat Nov  7 10:37:00 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I still havent even read this scroll. - Sat Nov  7 10:37:00 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Without any pauses. - Sat Nov  7 10:37:00 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: For a new techique. - Sat Nov  7 10:37:00 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Would you let her go? - Sat Nov  7 10:37:00 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Sat Nov  7 10:37:00 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: No Kana. - Sat Nov  7 10:37:00 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) thinks: I got enough money to pay for a harem. - Sat Nov  7 10:37:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm having a hard time, sir. I don't know what to offer to a man that has everything. - Sat Nov  7 10:37:00 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) thinks: Why would I want her to sloppily suck my dick? - Sat Nov  7 10:37:52 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) thinks: She's probably toothy. - Sat Nov  7 10:37:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm. ..  - Sat Nov  7 10:38:43 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Try to find anything. - Sat Nov  7 10:38:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Perhaps. -- Do you want more private? I can change the nature of our agreements. - Sat Nov  7 10:38:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Even become a Gezo Private for Sunagakure. - Sat Nov  7 10:38:43 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) says: . . . . - Sat Nov  7 10:38:43 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Hmm,  that would be helpful and prosperous for Sunagakure. - Sat Nov  7 10:39:34 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) thinks: HE is offering to take that exam . .  - Sat Nov  7 10:39:34 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: At the end of the day, I only want to ensure this villages safety. - Sat Nov  7 10:39:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm going to conquer the Private Exams. Simple. - Sat Nov  7 10:40:25 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) thinks: That horriable test. .  - Sat Nov  7 10:40:25 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: One more thing. - Sat Nov  7 10:41:16 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: I want you to promise to protect Sunagakure as well. - Sat Nov  7 10:41:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*clenches hands to a fist. He holds it towards his heart*> Always. This is like a second home to me -- And I won't fail it like I've done Kiri. - Sat Nov  7 10:42:08 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: I feel guilty for him having to do all of these things for my sake.. - Sat Nov  7 10:42:08 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: Our original deal we made last year, it still stands. - Sat Nov  7 10:42:08 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: That won't be changed. - Sat Nov  7 10:42:08 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: If you remember it. - Sat Nov  7 10:42:08 2015
<br><br><font color=teal>*Ryujin, Marrisa(Roxinea) thinks: now I feel like a tool for doing my job - Sat Nov  7 10:42:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*nods*> I understand. - Sat Nov  7 10:42:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I've been meaning to give a report. Eh. . shit would be easier if I stopped fucking around and got that jutsu. - Sat Nov  7 10:42:59 2015
<br><br><font color=teal>*Muhammed Hassan(Ziare1) says: You're al dismissed. - Sat Nov  7 10:43:50 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) heads out* - Sat Nov  7 10:45:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yo'. - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji! - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's up, man? - Sun Nov  8 01:30:27 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Oh, that's Koji. - Sun Nov  8 01:31:18 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: I thought he was talking about a female. - Sun Nov  8 01:31:18 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) thinks: Oh thats Koji. *cricket noises* - Sun Nov  8 01:32:09 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) meets with a dap of his own. 

"Noting much just woke up man long day yesterday needed that rest."* - Sun Nov  8 01:32:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yeah...I remember you had alot on your plate.  - Sun Nov  8 01:33:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Are you satisfied with the Trilliam situation? - Sun Nov  8 01:33:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Meh, It's better than putting him in a medical insitution... Better than death as well. The people of Sunagakure seems to appreciate it. - Sun Nov  8 01:33:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Koji..... could you show me a thing or two sometime around..? - Sun Nov  8 01:34:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fair...Uh, this is Kiyoko and Chikyu...I invited them to our party this friday. - Sun Nov  8 01:35:34 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hi there! - Sun Nov  8 01:35:34 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Like I said, Koji is an accomplished ninja..Head of the Desert Owl police force. - Sun Nov  8 01:36:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And he's my roommate. He's a good guy. - Sun Nov  8 01:36:25 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) thinks: It was worth a try. - Sun Nov  8 01:36:25 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) be bombarded today more than he had expected he's not anything special a villager like everyone else, but Yan be upp'n his status like a big brother. Koji would hear Mizora's question and answer, "No problem, I'll ask Hassan if it's okay I want to make sure he hasn't put you on the shinobi suspension list." 

Koji would then turn and bow to the two ladies introduced to him by Yan. As Koji bowed he woud miss the extended hand shake, but would rise quickly enough to approach her as she left it out. As he came forward he would say, 

