<br><font color=teal>*Nina(Ninasky115) says: Want me to help you? - Fri Oct  9 14:35:31 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well he has something of mine so I hope he does... - Sun Oct 11 01:28:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .... - Sun Oct 11 01:31:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: It would be best if you keep them there Violet. - Sun Oct 11 01:31:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: There is no telling if Edge might come back - Sun Oct 11 01:32:09 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Sets- ... <looks down and tightens her fist> You right... I am still not strong enough - Sun Oct 11 01:32:09 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... I will see to some more training... - Sun Oct 11 01:35:34 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll come along.. - Sun Oct 11 01:35:34 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You can train there Violet. - Sun Oct 11 01:35:34 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Just for your own safety keep the blades there - Sun Oct 11 01:36:25 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Violet have you done your missions? - Sun Oct 11 01:37:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: No my Lady I will continue that now - Sun Oct 11 01:38:08 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: She told me she was coming.... - Sun Oct 11 01:39:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Who is she? - Sun Oct 11 01:40:41 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Lera. - Sun Oct 11 01:40:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Lera told me she was not. - Sun Oct 11 01:40:41 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: When.. - Sun Oct 11 01:40:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Several days ago. - Sun Oct 11 01:40:41 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Earlier today she said she was coming back soon. - Sun Oct 11 01:40:41 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Actually yesterday... - Sun Oct 11 01:41:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Doubt Hassan will let her. - Sun Oct 11 01:41:32 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Sesuko... how are you feeling? - Sun Oct 11 01:42:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Setsuko - Sun Oct 11 01:42:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hi... - Sun Oct 11 01:43:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Who is he? - Sun Oct 11 01:43:15 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) whispers: Do you know him Kirie? - Sun Oct 11 01:44:06 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Is there something that you need? - Sun Oct 11 01:44:06 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I come to Kirigakure to ask for one thing! - Sun Oct 11 01:44:06 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: --- - Sun Oct 11 01:44:06 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm feeling...hm... - Sun Oct 11 01:44:06 2015
<br><br><font color=teal>*Gojiro(Hellgatez) thinks: I sound too elated. - Sun Oct 11 01:44:57 2015
<br><br><font color=teal>*Gojiro(Hellgatez) thinks: Kind of creepy. - Sun Oct 11 01:44:57 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Drained. - Sun Oct 11 01:44:57 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Er... - Sun Oct 11 01:44:57 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I come to Kirigakure to ask for one thing. - Sun Oct 11 01:44:57 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: The sleep medicine that Zenaki used on me during my leg surgery is still in my system... - Sun Oct 11 01:44:57 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I'm in search of deceased bodies that I may use for my studies. - Sun Oct 11 01:44:57 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: ----To note, I'm studying the anatomy of the human body. - Sun Oct 11 01:45:48 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Thats disrespectful... - Sun Oct 11 01:45:48 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Well. - Sun Oct 11 01:46:40 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What is this, a girl group? - Sun Oct 11 01:46:40 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: That's why I ask first. - Sun Oct 11 01:46:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hi random guys!~ - Sun Oct 11 01:46:40 2015
<br><br><font color=teal>*Gojiro(Hellgatez) thinks: Ey...It's that guy from Konohagakure... - Sun Oct 11 01:46:40 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I think so. - Sun Oct 11 01:46:40 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: You guys should sing and dance, or be assasins. Call yourself the Valkyries. - Sun Oct 11 01:46:40 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Shit... he is back... - Sun Oct 11 01:46:40 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Heh, classic! - Sun Oct 11 01:46:40 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: .... - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What're valkyries? - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: .... - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Female Norse Warriors. - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Yo... - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Keep up on your mythos. - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Look around you... there are bodies everywhere... - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*Nina(Ninasky115) says: A horse can't be a warrior silly! - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Yes. - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Deadman wonderland, blah, blah, blah. - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: But I'm not taking bodies without approval. - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Bodies aren't new to me, i've dropped a few. In fact. I've probably dropped a few of these. - Sun Oct 11 01:47:31 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Sun Oct 11 01:48:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Bitc-.... - Sun Oct 11 01:48:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I said Horse. - Sun Oct 11 01:48:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hehe, you're a funny girl. - Sun Oct 11 01:48:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I said horse too! - Sun Oct 11 01:48:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: "Norse". - Sun Oct 11 01:48:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: "Horse." - Sun Oct 11 01:48:22 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hehe. - Sun Oct 11 01:48:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What's so funny? - Sun Oct 11 01:49:13 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Hah. - Sun Oct 11 01:49:13 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Good one. - Sun Oct 11 01:49:13 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: They rhyme. - Sun Oct 11 01:49:13 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I dont know what Kirie would say so you have to wait until she speaks - Sun Oct 11 01:50:04 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her head towards Kirie. "What's so funny? What're they talking about?"* - Sun Oct 11 01:50:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Who's your friend, Violet. - Sun Oct 11 01:50:04 2015
<br><br><font color=teal>*Gojiro(Hellgatez) thinks: She's rather...slow. - Sun Oct 11 01:50:04 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Nine year old naivety... - Sun Oct 11 01:50:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She is a... new child that has joined our village - Sun Oct 11 01:50:04 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Please watch your words around her - Sun Oct 11 01:50:56 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Words? - Sun Oct 11 01:50:56 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Words hurt no one. - Sun Oct 11 01:50:56 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Unless it's a genjutsu. - Sun Oct 11 01:50:56 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Heh. - Sun Oct 11 01:50:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Sun Oct 11 01:51:47 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: What? - Sun Oct 11 01:52:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I meant the girl with the blonde hair but, hey. - Sun Oct 11 01:52:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So, why are you here? - Sun Oct 11 01:52:38 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Oh, thats setsuko... she has been here - Sun Oct 11 01:52:38 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: I'm Setsuko of the Nakahara family.. nice to meet you. - Sun Oct 11 01:52:38 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Baen of the Ossa.  - Sun Oct 11 01:54:20 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I own that little spot of land to the north west. - Sun Oct 11 01:54:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What's an ossa? - Sun Oct 11 01:54:20 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Oh, introductions? - Sun Oct 11 01:54:20 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: My clan name. - Sun Oct 11 01:54:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And what's those red things on you? - Sun Oct 11 01:54:20 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: A cape~ - Sun Oct 11 01:55:12 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: My name's Gojiro, heh. - Sun Oct 11 01:55:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hehe, it looks funny.~ - Sun Oct 11 01:55:12 2015
<br><br><font color=teal>*Gojiro(Hellgatez) thinks: Doubt they heard it over these two...All the better. - Sun Oct 11 01:55:12 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hehe. - Sun Oct 11 01:56:03 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Guys, guys! - Sun Oct 11 02:00:19 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Stop being so quiet! - Sun Oct 11 02:00:19 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: .... - Sun Oct 11 02:00:19 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Nah. - Sun Oct 11 02:01:10 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well I can talk to the Ossa guy! - Sun Oct 11 02:02:01 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Yeah. - Sun Oct 11 02:02:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Hehe. - Sun Oct 11 02:03:44 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Eh... - Sun Oct 11 02:08:00 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: I'll come back later. - Sun Oct 11 02:08:00 2015
<br><br><font color=teal>*Gojiro(Hellgatez) says: Nice meeting you all. - Sun Oct 11 02:08:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hello again Bean - Sun Oct 11 02:14:49 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What'd you call me? - Sun Oct 11 02:16:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Baen* - Sun Oct 11 02:17:23 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Was that a friend of yours? - Sun Oct 11 02:18:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Who? - Sun Oct 11 02:18:14 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: The guy in the cloak - Sun Oct 11 02:18:14 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, nah. Don't even know his name. - Sun Oct 11 02:19:05 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Ah I see. - Sun Oct 11 02:19:05 2015
<br><br><font color=teal>*Index(Jjking217) says: Hello? - Sun Oct 11 19:47:50 2015
<br><br><font color=yellow>*Nina(Ninasky115) waved at them both with a big smile. "Hiii! Where did all of you guys go? I thought we were staying here." She looked at them both, not knowing where the mizukage was so ignoring it completely. She was most likely asleep anyway.* - Sun Oct 11 20:09:10 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked a little and pointed out her right hand, pointing directly at Ortho with the utmost child intensity. "Why didn't you take me!? I want to be with everybody too!"* - Sun Oct 11 20:11:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You were no where to be found at the time. - Sun Oct 11 20:11:44 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Besides, it wasn't something that was planned.. - Sun Oct 11 20:12:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I too found out that Hideki left Kirigakure when it was too late. - Sun Oct 11 20:12:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I had to travel there myself. - Sun Oct 11 20:12:35 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well I want to go with you! - Sun Oct 11 20:12:35 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Not like I'm planning to go back.. - Sun Oct 11 20:13:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'll let you know if something comes up. - Sun Oct 11 20:13:26 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Good, I'll keep my ear wide open!!! - Sun Oct 11 20:13:26 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And I think Miss Mizukage is sleeping. - Sun Oct 11 20:13:26 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very well. - Sun Oct 11 20:15:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Takeda and I will simply go some place else and discuss some things. - Sun Oct 11 20:16:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Come along, Takeda. - Sun Oct 11 20:16:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Don't leave me! We can play and stuff. - Sun Oct 11 20:16:00 2015
<br><br><font color=yellow>*Nina(Ninasky115) smiled and ran forward towards them. "Where are we going anyway? We can go to the waterfall where I train at.~"* - Sun Oct 11 20:17:42 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Thought she said the Mizukage was asleep. - Sun Oct 11 20:18:33 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh......I guess they're here then... - Sun Oct 11 20:18:33 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Interesting technique. - Sun Oct 11 20:19:24 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sure. - Sun Oct 11 20:26:14 2015
<br><br><font color=teal>*Lera(Bailey42) says: Right. - Sun Oct 11 20:28:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .... - Sun Oct 11 20:29:39 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm? - Sun Oct 11 20:35:37 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Partial citizenship? - Sun Oct 11 20:35:37 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (nickynick1011 [had this skype since i was like 9].) - Sun Oct 11 20:35:37 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Correct. - Sun Oct 11 20:35:37 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Partial due to the often misunderstanding of betrayal that circulates. - Sun Oct 11 20:36:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You are free to stay here as long as you pull your share of the work. - Sun Oct 11 20:36:28 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: So partial, if such a situation were to arise, would show that neither Takeda or eye had any intent to disband from Konohagak- - Sun Oct 11 20:36:28 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Understood. - Sun Oct 11 20:36:28 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: As you can see the village needs to be repeaired. - Sun Oct 11 20:37:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Much like many villages i've been to. - Sun Oct 11 20:38:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Ohh..? I haven't noticed.. - Sun Oct 11 20:38:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Index? - Sun Oct 11 20:43:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Are you from this village or do you come from another village> - Sun Oct 11 20:43:18 2015
<br><br><font color=yellow>*Nina(Ninasky115) turns and pokes Ortho in the side. "What do you wanna do?~"* - Sun Oct 11 20:43:18 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm from here. - Sun Oct 11 20:43:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Sun Oct 11 20:45:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well you will pull your own weight like everyone else. - Sun Oct 11 20:45:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Hmm? Let me see if I can get some possible jutsu scrolls from the Mizukage then us three will go off and train. - Sun Oct 11 20:45:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Now. - Sun Oct 11 20:45:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: As for the announcement. - Sun Oct 11 20:45:52 2015
<br><br><font color=teal>*Index(Jjking217) says: As you wish. - Sun Oct 11 20:45:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Who would like to go. - Sun Oct 11 20:45:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't know if I should. - Sun Oct 11 20:45:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll go. - Sun Oct 11 20:45:52 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll consider it pulling my weight. - Sun Oct 11 20:45:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: The village, I'd assume.~ - Sun Oct 11 20:47:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The village. - Sun Oct 11 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: If we were better off then you would be able to keep it. - Sun Oct 11 20:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Ortho. - Sun Oct 11 20:49:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You will go. - Sun Oct 11 20:49:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Along with Index. - Sun Oct 11 20:49:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What request? - Sun Oct 11 20:50:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: If Ortho is going, I will accompany him. - Sun Oct 11 20:52:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Only two participants per Village. - Sun Oct 11 20:52:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I will merely be watching the contest. - Sun Oct 11 20:52:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: All within due time Index. - Sun Oct 11 20:53:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: For now focus on the event. - Sun Oct 11 20:53:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll uhh, stay here and train I suppose. - Sun Oct 11 20:53:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You will Nina. - Sun Oct 11 20:54:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You will do more missions today. - Sun Oct 11 20:55:15 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Will it be a good one!? - Sun Oct 11 20:55:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You will burry more bodies. - Sun Oct 11 20:55:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Also fill up the holes you dig. - Sun Oct 11 20:56:06 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ugh, I don't want to. - Sun Oct 11 20:56:06 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Its for the village Nina. - Sun Oct 11 20:56:06 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But I want a better one! - Sun Oct 11 20:56:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You will. - Sun Oct 11 20:56:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Do those two missions then you will get a better one. - Sun Oct 11 20:56:57 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm interested in missions as well. - Sun Oct 11 20:56:57 2015
<br><br><font color=teal>*Index(Jjking217) thinks: Is this little girl really a Shinobi? - Sun Oct 11 20:57:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You will aslo dig up holes to burry bodies in. - Sun Oct 11 20:57:48 2015
<br><br><font color=teal>*Index(Jjking217) says: So be it. - Sun Oct 11 20:57:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: The most I'd do is spectate.. - Sun Oct 11 20:58:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Whenever I gamble someone dies. - Sun Oct 11 20:58:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is a Gezo event. - Sun Oct 11 20:58:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Most of the time they wont allow people to get killed. - Sun Oct 11 20:58:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: As for now. - Sun Oct 11 21:00:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Ortho. - Sun Oct 11 21:00:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: And whoever your friend is. - Sun Oct 11 21:00:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You will also dig up holes. - Sun Oct 11 21:00:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Burry bodies in them - Sun Oct 11 21:00:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then cover them up. - Sun Oct 11 21:00:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Understood? - Sun Oct 11 21:00:22 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Sun Oct 11 21:01:13 2015
<br><br><font color=teal>*Index(Jjking217) says: *catches* - Sun Oct 11 21:01:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sun Oct 11 21:01:13 2015
<br><br><font color=yellow>*Nina(Ninasky115) frowned and grabbed the scrolls, kicking the ground under her. "I want something fun!"* - Sun Oct 11 21:01:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I already told you Nina. - Sun Oct 11 21:02:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Do those missions. - Sun Oct 11 21:02:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then you will get a fun mission. - Sun Oct 11 21:02:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Don't worry, Takeda.. - Sun Oct 11 21:09:45 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: You won't have to lift a finger.. - Sun Oct 11 21:09:45 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Watch. - Sun Oct 11 21:09:45 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (This is why I love Shadow Clone jutsu.) - Sun Oct 11 21:10:36 2015
<br><br><font color=yellow>*Nina(Ninasky115) frowned as she walked home from the area into the house that she had built. Walking in, she'd grab her orange hard hat and the shovel that she had, and turn around back to the door. "Back to digging...." She'd sigh and walk out of the door, walking out towards the field where she had to dig the hole.

With a frown, she'd turn and stab the tip of the shovel into the ground, jumping up and landing on the edge to push a bigger portion of the shovel into the ground. Pulling back hard, she'd lift the large chunk of dirt and grass out of the ground and throw it behind her, She'd continue doing this, pulling the dirt back and throwing it back over her shoulder.

Wonderfully, all of the dirt would land on top of each other instead of falling around or anything like that. She'd continue the digging, bouncing on the shovel and pushing it deeper into the hole so that she could pull it back and throw it back on the big mound of dirt that had accumulated behind her.* - Sun Oct 11 21:16:35 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed loudly as she turned around and saw the bodies on the ground, feeling sorry for them. Using all of her strength, she tried to pull the two bodies into the grave, hopefully they were together so that they could stay that way forever. And, she'd attempt to lightly lay them into their grave that Nina had just dug, laying them down with a thud after the bodies had slipped.

She'd sigh and turn her head over to the big mound of dirt, stabbing it with the big shovel that she held in her hands. Flicking it back into the ground, she'd allow the dirt to flow over the bodies, landing pretty hard and a small audible sound could hear about it.  Turning her body back towards the dirt mound, she'd shove her hands forward hard to get the shovel into the dirt.

Pulling it back from the mound, she'd spin around and flick the giant wad of dirt back into the hole and on top of the bodies. She'd do this continuously, spinning back and forth to grab more dirt and throw more dirt into the hole, covering the bodies quite quickly as she moved around to grab more and more dirt.

After she had finally filled it entirely, she'd smile and pat it down with the bottom of her shovel, turning back and running off somewhere for a while. After coming back, she'd smile and crouch down on the hole, putting those small petals of flowers on the hole. Hopefully this would help them rest more peacefully with each other and that they'd be alright in the afterlife.* - Sun Oct 11 21:31:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm done. - Sun Oct 11 21:32:48 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I am sorry for making you burry bodies but it is necessarry - Sun Oct 11 21:34:30 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What's the next one?~ - Sun Oct 11 21:35:21 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Find someone who is willing to spar you Nina. - Sun Oct 11 21:37:55 2015
